time,Denmark,EU,Germany,Norway,Sweden
2017M09,5.6,8.1,3.5,4.2,6.8
2017M10,5.5,8.0,3.5,4.2,6.8
2017M11,5.4,7.9,3.4,4.1,6.7
2017M12,5.4,7.9,3.4,4.1,6.6
2018M01,5.3,7.8,3.3,4.1,6.6
2018M02,5.3,7.7,3.3,4.1,6.5
2018M03,5.2,7.6,3.3,4.1,6.4
2018M04,5.2,7.5,3.3,4.1,6.4
2018M05,5.1,7.4,3.2,4.1,6.4
2018M06,5.0,7.4,3.2,4.1,6.4
2018M07,5.0,7.3,3.2,4.1,6.5
2018M08,5.0,7.2,3.2,4.1,6.5
2018M09,5.0,7.2,3.2,4.0,6.6
2018M10,5.0,7.2,3.1,4.0,6.6
2018M11,5.1,7.2,3.1,3.9,6.7
2018M12,5.2,7.1,3.1,3.9,6.7
2019M01,5.2,7.1,3.1,3.9,6.8
2019M02,5.2,7.1,3.0,3.8,6.8
2019M03,5.2,7.0,3.0,3.8,6.8
2019M04,5.1,6.9,3.0,3.8,6.9
2019M05,4.9,6.9,2.9,3.8,6.9
2019M06,4.8,6.8,2.9,3.9,7.0
2019M07,4.8,6.7,2.9,3.9,7.0
2019M08,4.9,6.7,2.9,3.9,7.1
2019M09,4.9,6.7,2.9,3.9,7.1
2019M10,4.9,6.7,3.0,4.0,7.2
2019M11,5.0,6.7,3.1,4.0,7.2
2019M12,5.0,6.7,3.2,4.0,7.3
2020M01,5.0,6.7,3.2,4.0,7.3
2020M02,5.1,6.7,3.3,3.9,7.4
2020M03,5.1,6.6,3.4,3.9,7.5
2020M04,5.3,6.8,3.5,4.2,8.1
2020M05,5.5,7.0,3.6,4.7,8.1
2020M06,5.8,7.4,3.7,5.3,9.3
2020M07,6.0,7.6,3.8,5.4,9.3
2020M08,6.1,7.7,3.9,5.5,9.2
2020M09,6.1,7.7,3.9,5.3,9.1
2020M10,6.1,7.6,3.9,5.3,9.1
2020M11,6.1,7.5,3.9,5.2,9.1
2020M12,6.1,7.5,3.9,5.0,9.1
2021M01,6.0,7.5,3.9,5.0,9.1
2021M02,5.9,7.5,3.9,4.9,9.1
2021M03,5.7,7.5,3.8,4.9,9.1
2021M04,5.4,7.4,3.8,5.0,9.1
2021M05,5.1,7.3,3.7,5.0,9.1
2021M06,4.9,7.1,3.6,5.0,9.0
2021M07,4.8,6.9,3.5,4.5,8.9
2021M08,4.8,6.8,3.5,4.2,8.7
2021M09,4.7,6.7,3.4,3.8,8.6
2021M10,4.6,6.6,3.3,3.8,8.4
2021M11,4.6,6.5,3.3,3.6,8.2
2021M12,4.5,6.4,3.2,3.5,8.1
2022M01,4.4,6.3,3.1,3.3,7.9
2022M02,4.4,6.3,3.1,3.3,7.8
2022M03,4.3,6.2,3.0,3.2,7.7
2022M04,4.2,6.1,3.0,3.1,7.6
2022M05,4.2,6.1,3.0,3.1,7.5
2022M06,4.3,6.1,3.0,3.1,7.4
2022M07,4.4,6.1,3.0,3.1,7.3
2022M08,4.5,6.1,3.0,3.1,7.3
2022M09,4.6,6.1,3.0,3.1,7.3
2022M10,4.6,6.0,3.0,3.2,7.3
