time,Denmark,EU,Germany,Norway,Sweden
2017M09,12.4,18.1,6.9,12.3,16.8
2017M10,11.9,18.0,7.0,12.0,16.6
2017M11,11.5,17.8,7.0,11.7,16.3
2017M12,11.2,17.6,7.0,11.5,16.0
2018M01,10.9,17.4,7.0,11.3,15.8
2018M02,10.7,17.3,6.9,11.2,15.7
2018M03,10.6,17.0,6.9,11.1,15.7
2018M04,10.4,16.8,6.8,11.1,15.8
2018M05,10.4,16.6,6.7,11.2,16.1
2018M06,10.5,16.7,6.6,11.3,16.5
2018M07,10.7,16.6,6.5,11.4,17.0
2018M08,10.8,16.7,6.5,11.5,17.5
2018M09,10.7,16.6,6.4,11.6,18.1
2018M10,10.5,16.5,6.4,11.7,18.5
2018M11,10.3,16.2,6.3,11.7,18.9
2018M12,10.3,16.2,6.3,11.7,19.1
2019M01,10.2,16.2,6.2,11.7,19.2
2019M02,10.1,16.1,6.2,11.6,19.2
2019M03,9.9,15.9,6.1,11.6,19.2
2019M04,9.6,15.9,6.1,11.6,19.2
2019M05,9.5,15.7,6.1,11.6,19.2
2019M06,9.6,15.5,6.1,11.7,19.2
2019M07,9.9,15.5,6.1,11.7,19.2
2019M08,10.1,15.3,6.1,11.8,19.3
2019M09,10.1,15.5,6.2,11.8,19.4
2019M10,10.0,15.5,6.2,11.9,19.5
2019M11,9.9,15.5,6.3,12.0,19.7
2019M12,9.8,15.5,6.4,12.0,19.8
2020M01,9.9,15.5,6.5,12.1,19.9
2020M02,10.0,15.5,6.7,12.1,19.9
2020M03,10.3,15.7,6.9,11.7,20.8
2020M04,10.7,16.5,7.2,12.0,23.1
2020M05,11.4,17.4,7.5,13.5,22.6
2020M06,12.1,18.1,7.7,14.4,27.0
2020M07,12.6,18.6,7.9,14.9,26.4
2020M08,12.8,18.8,8.1,14.5,25.7
2020M09,12.7,18.4,8.2,14.4,25.2
2020M10,12.6,18.2,8.2,13.6,24.7
2020M11,12.5,18.1,8.2,13.4,24.4
2020M12,12.4,18.2,8.2,12.2,24.3
2021M01,12.3,18.3,8.1,13.2,24.3
2021M02,12.2,18.3,8.0,12.7,24.4
2021M03,11.8,18.1,7.7,13.5,24.6
2021M04,11.1,17.9,7.5,13.5,24.9
2021M05,10.6,17.4,7.2,13.6,25.1
2021M06,10.4,16.8,6.9,13.9,25.2
2021M07,10.4,16.2,6.6,12.5,25.1
2021M08,10.5,15.8,6.4,12.5,24.9
2021M09,10.5,15.5,6.2,11.4,24.6
2021M10,10.3,15.1,6.0,11.6,24.2
2021M11,9.9,14.9,5.9,11.3,23.8
2021M12,9.6,14.7,5.8,11.2,23.3
2022M01,9.3,14.4,5.7,10.6,22.8
2022M02,9.0,14.2,5.6,9.8,22.3
2022M03,8.8,14.3,5.6,9.5,21.9
2022M04,8.7,14.1,5.6,9.8,21.5
2022M05,9.0,14.0,5.6,9.8,21.1
2022M06,9.6,14.2,5.6,9.8,20.9
2022M07,10.5,14.3,5.7,9.8,20.8
2022M08,11.4,14.3,5.7,9.7,20.7
2022M09,12.3,14.5,5.7,9.7,20.6
2022M10,,,,,
