geo,Females,Males,Total
Austria,47.2,10.5,27.8
Belgium,40.3,11.1,24.8
Denmark,33.6,16.3,24.4
Estonia,18.3,8.8,13.4
European Union - 27 countries (from 2020),30.2,9.3,18.9
Finland,20.9,12.3,16.4
France,27.4,8.3,17.6
Germany (until 1990 former territory of the FRG),48.6,11.8,29.0
Greece,12.8,5.6,8.6
Iceland,35.9,12.9,23.5
Ireland,28.9,10.6,19.0
Italy,32.1,8.5,18.4
Netherlands,75.8,30.0,51.5
Norway,36.9,16.6,26.2
Portugal,11.1,6.9,9.0
Spain,22.7,6.7,14.0
Sweden,33.2,16.2,24.2
Switzerland,62.2,19.7,39.6
