,Time frequency,International Standard Classification of Occupations 2008 (ISCO-08),Activity and employment status,Working time,Age class,Sex,Unit of measure,Geopolitical entity (reporting),Time,value
0,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,European Union - 27 countries (from 2020),2021-Q4,38.8
1,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,European Union - 28 countries (2013-2020),2021-Q4,
2,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,European Union - 15 countries (1995-2004),2021-Q4,
3,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,Euro area - 19 countries  (2015-2022),2021-Q4,38.6
4,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,Belgium,2021-Q4,37.5
5,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,Bulgaria,2021-Q4,39.5
6,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,Czech Rep.,2021-Q4,38.2
7,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,Denmark,2021-Q4,38.3
8,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,Germany,2021-Q4,39.3
9,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,Estonia,2021-Q4,39.1
10,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,Ireland,2021-Q4,39.2
11,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,Greece,2021-Q4,41.2
12,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,Spain,2021-Q4,38.0
13,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,France,2021-Q4,38.3
14,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,Croatia,2021-Q4,38.7
15,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,Italy,2021-Q4,38.6
16,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,Cyprus,2021-Q4,39.7
17,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,Latvia,2021-Q4,39.3
18,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,Lithuania,2021-Q4,39.2
19,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,Luxembourg,2021-Q4,38.7
20,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,Hungary,2021-Q4,38.7
21,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,Malta,2021-Q4,39.1
22,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,Netherlands,2021-Q4,38.0
23,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,Austria,2021-Q4,37.9
24,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,Poland,2021-Q4,40.0
25,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,Portugal,2021-Q4,38.1
26,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,Romania,2021-Q4,39.9
27,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,Slovenia,2021-Q4,40.6
28,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,Slovakia,2021-Q4,37.8
29,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,Finland,2021-Q4,37.2
30,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,Sweden,2021-Q4,38.2
31,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,Iceland,2021-Q4,39.8
32,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,Norway,2021-Q4,36.9
33,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,Switzerland,2021-Q4,43.5
34,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,United Kingdom,2021-Q4,
35,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,Montenegro,2021-Q4,
36,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,North Macedonia,2021-Q4,
37,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,Serbia,2021-Q4,43.5
38,Quarterly,Total,Employed persons,Full-time,15 years or over,Total,Hour,Turkey,2021-Q4,
