geo,2007,2011,2016
AL,,,9.2
AT,41.9,48.2,59.9
BA,,,8.7
BE,40.5,37.7,45.2
BG,36.4,26.0,24.6
CH,49.0,65.5,69.1
CY,40.6,42.3,48.1
CZ,37.6,37.1,46.1
DE,45.4,50.2,52.0
DK,44.5,58.5,50.4
EE,42.1,49.9,44.0
EL,14.5,11.7,16.7
ES,30.9,37.7,43.4
EU27_2020,32.8,40.2,43.7
FI,55.0,55.7,54.1
FR,35.1,50.5,51.3
HR,21.2,,31.8
HU,9.0,41.1,55.7
IE,,24.4,53.9
IT,22.2,35.6,41.5
LT,33.9,28.5,27.9
LU,,70.1,48.1
LV,32.7,32.3,47.5
MK,,,12.7
MT,33.7,35.9,36.3
NL,44.6,59.3,64.1
NO,54.6,60.0,60.0
PL,21.8,24.2,25.5
PT,26.4,44.4,46.1
RO,7.4,8.0,7.0
RS,,16.5,19.8
SE,73.4,71.8,63.8
SI,40.6,36.2,46.1
SK,44.0,41.6,46.1
TR,14.1,17.8,20.9
UK,49.3,35.8,52.1
