geo,Females,Males
Albania,9.5,8.8
Austria,58.8,61.1
Belgium,46.2,44.2
Bosnia and Herzegovina,8.5,8.9
Bulgaria,24.7,24.5
Croatia,31.1,32.5
Cyprus,40.4,56.6
Czech Rep.,42.6,49.5
Denmark,52.6,48.3
EU,43.8,43.6
Estonia,50.7,37.0
Finland,60.2,48.0
France,53.8,48.7
Germany,52.2,51.8
Greece,17.5,15.9
Hungary,52.7,58.7
Ireland,54.1,53.6
Italy,39.1,44.0
Latvia,51.9,42.7
Lithuania,31.9,23.5
Luxembourg,48.1,48.1
Malta,35.7,36.7
Netherlands,63.5,64.7
North Macedonia,11.9,13.5
Norway,60.4,59.6
Poland,25.7,25.2
Portugal,44.7,47.6
Romania,7.5,6.4
Serbia,21.4,18.0
Slovakia,45.3,46.8
Slovenia,48.3,44.1
Spain,42.9,44.0
Sweden,68.2,59.5
Switzerland,67.7,70.4
Turkey,17.0,24.8
United Kingdom,53.9,50.2
