geo,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Austria,33.2,34.1,34.7,35.4,35.7,35.9,36.0,36.2,36.5,36.7,36.6,36.7,37.1,37.2,37.5,37.7,37.5,37.9,38.3,38.6
Belgium,30.5,31.4,31.5,31.9,32.1,32.1,32.5,32.1,32.2,32.5,32.6,32.6,32.6,32.9,33.3,33.6,33.4,34.0,34.5,34.7
Bulgaria,29.9,29.6,30.7,31.6,32.5,32.1,31.6,31.1,31.6,32.0,32.0,32.1,31.7,33.1,33.1,34.0,33.3,32.7,34.1,34.5
Croatia,31.4,31.4,31.2,31.5,31.7,31.8,31.6,31.4,31.2,31.1,32.3,32.6,32.2,32.5,32.4,32.6,32.8,33.4,34.0,34.0
Cyprus,36.1,35.7,36.0,36.5,36.4,36.8,36.9,36.6,36.3,36.3,36.7,36.2,36.0,36.3,37.2,37.4,37.1,37.7,38.8,39.0
Czech Rep.,33.3,33.7,33.9,33.8,33.7,33.9,33.9,33.9,34.3,34.7,34.9,35.2,35.6,35.9,36.3,36.3,36.0,35.9,36.6,37.1
Denmark,38.9,39.0,39.5,39.5,39.5,39.3,39.0,39.0,38.7,38.4,38.5,38.7,39.0,39.3,39.5,40.1,40.0,40.3,40.9,41.3
EU,32.7,32.9,33.2,33.4,33.7,33.8,34.0,34.1,34.5,34.7,34.8,34.9,35.1,35.4,35.7,35.9,35.6,35.9,36.5,36.9
Estonia,34.0,34.0,35.2,35.1,35.9,35.8,35.8,36.0,36.2,36.5,36.4,37.0,37.7,38.5,38.9,38.9,39.0,38.8,40.4,40.8
Finland,36.5,35.9,36.4,36.8,37.3,36.9,36.8,37.2,37.4,37.2,37.4,37.7,37.7,38.0,38.7,38.9,38.8,39.3,39.9,39.9
France,32.7,32.9,33.1,33.4,33.6,33.9,34.0,34.1,34.5,34.7,34.7,34.9,35.0,35.2,35.4,35.4,35.2,36.1,36.6,36.8
Germany,34.9,35.6,36.1,36.4,36.5,36.6,36.8,37.4,37.5,37.8,38.0,37.9,38.2,38.4,38.7,39.1,38.7,38.7,39.4,39.6
Greece,31.7,31.6,31.7,31.7,31.8,32.1,32.3,32.0,32.0,32.1,32.1,32.3,32.5,32.7,32.9,33.2,32.8,32.8,34.0,34.2
Hungary,28.0,28.4,28.7,28.7,28.7,28.8,29.2,29.6,30.3,30.8,31.8,32.6,33.3,33.7,34.1,34.5,34.3,35.7,36.5,37.0
Iceland,45.3,45.1,45.4,45.5,45.5,44.3,44.6,44.4,44.5,45.5,46.2,46.6,47.4,47.0,46.2,45.8,44.9,44.6,45.4,45.7
Ireland,33.7,34.6,35.1,36.8,36.7,35.7,35.3,35.1,35.1,35.6,35.7,36.0,36.5,36.7,37.0,37.5,36.9,38.4,39.5,40.0
Italy,29.9,29.6,29.7,29.6,30.0,29.7,29.7,29.7,30.5,30.3,30.7,30.7,31.3,31.7,31.9,32.0,31.2,31.6,32.2,32.9
Latvia,33.3,33.1,33.9,34.7,35.7,35.0,34.5,34.3,35.0,34.8,34.6,35.4,35.6,36.2,36.7,37.0,37.3,35.9,36.8,37.0
Lithuania,32.6,31.9,31.4,31.5,32.0,32.8,33.1,33.8,34.0,34.1,34.8,34.9,35.7,36.1,36.7,37.2,37.2,36.9,37.7,37.8
Luxembourg,29.7,30.4,30.8,30.7,30.8,32.1,31.6,31.9,32.5,32.7,33.3,33.5,33.0,33.2,33.5,33.9,34.1,34.9,34.8,35.2
Malta,28.0,28.3,28.5,29.0,29.3,29.8,30.3,31.1,31.9,33.1,33.5,33.7,34.0,34.8,35.8,35.8,36.2,36.9,38.0,38.4
Netherlands,37.2,36.6,37.0,37.9,38.6,39.0,38.9,39.0,39.5,39.7,39.6,39.9,39.9,40.1,40.5,41.0,41.0,42.4,43.2,43.7
Norway,38.4,38.4,38.8,39.5,40.0,39.7,39.5,39.3,39.6,39.5,39.6,39.8,39.6,39.3,39.6,39.8,39.7,41.1,41.1,41.1
Poland,30.3,30.6,30.2,30.2,30.6,31.0,31.6,31.8,32.1,32.2,32.6,32.6,33.0,33.3,33.5,33.6,33.5,34.2,34.8,35.2
Portugal,36.3,36.5,36.8,37.0,37.1,36.8,36.9,36.9,36.9,36.6,36.7,36.9,37.1,37.7,38.0,38.3,37.5,37.5,38.3,39.1
Romania,31.8,31.1,31.7,31.7,31.5,31.4,32.3,32.0,32.4,32.6,32.8,32.8,32.4,33.3,33.5,33.8,33.7,31.1,32.0,32.2
Serbia,,,,,,,29.9,30.1,30.4,31.0,31.3,31.3,32.3,32.8,33.3,33.4,32.9,33.6,34.4,34.8
Slovakia,32.6,32.3,32.1,32.0,32.3,32.3,32.4,32.5,32.8,33.0,33.2,33.4,33.9,34.1,34.1,34.2,34.0,34.6,35.4,35.7
Slovenia,33.2,33.5,33.6,33.9,34.0,34.1,34.2,33.7,33.6,33.7,34.2,34.3,34.2,35.7,36.1,35.9,35.7,36.1,36.8,36.6
Spain,32.1,32.9,33.4,33.7,34.2,34.3,34.5,34.6,34.8,34.8,34.8,35.0,35.1,35.1,35.2,35.4,34.7,35.6,35.9,36.3
Sweden,38.4,38.9,39.4,39.8,40.0,39.8,40.0,40.3,40.6,40.9,41.1,41.2,41.3,41.7,41.8,42.0,42.0,42.2,42.6,43.1
Switzerland,40.1,40.1,40.5,40.9,41.2,41.4,40.8,41.2,41.4,41.5,41.9,42.0,42.4,42.5,42.7,42.7,42.5,42.3,42.0,42.7
