Country,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3
Austria,65.3,65.7,65.1,65.3,65.3,65.7,
Belgium,58.0,57.8,58.1,58.1,58.3,57.6,
Colombia,58.2,59.9,59.3,58.6,59.6,61.0,61.0
Costa Rica,54.6,55.9,56.8,56.3,54.2,54.4,53.1
Czechia,65.0,65.1,65.1,65.0,64.8,65.1,
Denmark,67.7,68.5,68.1,68.4,68.6,68.3,
Estonia,69.1,68.9,69.3,69.5,69.8,69.5,
European Union â 27 countries (from 01/02/2020),60.6,60.8,60.8,61.0,61.2,61.3,
Finland,63.6,64.1,63.8,64.2,64.2,64.4,
France,58.4,58.5,58.8,58.7,58.9,59.0,
Germany,67.3,67.6,67.5,67.7,68.2,68.1,
Greece,52.5,53.0,52.8,52.9,53.1,54.1,
Hungary,63.9,64.1,64.1,64.2,64.5,64.6,
Iceland,76.8,77.3,76.4,77.7,77.5,78.4,
Ireland,67.0,67.4,66.8,67.0,67.4,68.1,
Israel,64.9,65.1,65.7,65.2,66.0,66.2,66.2
Italy,51.7,52.3,52.1,52.6,53.0,53.2,
Japan,71.1,71.4,71.7,71.8,72.0,72.2,72.4
Latvia,63.5,64.0,64.3,64.0,64.0,64.4,
Lithuania,65.3,66.6,67.1,65.6,64.6,65.9,
Luxembourg,64.0,63.7,63.2,63.0,64.1,64.5,
Netherlands,71.6,72.3,72.2,72.6,72.8,73.1,
Norway,70.4,70.4,70.3,70.1,69.8,70.2,
Poland,60.6,60.9,60.8,61.1,61.3,61.3,
Portugal,62.8,62.8,63.0,62.8,63.0,63.4,
Slovak Republic,61.8,62.2,62.2,62.4,62.2,62.6,
Slovenia,62.8,62.6,62.7,62.2,62.2,62.9,
Spain,56.3,56.8,56.7,56.4,56.6,57.5,
Sweden,68.5,69.1,69.1,69.2,69.5,69.9,
Switzerland,71.4,71.3,71.2,71.5,71.9,72.7,
TÃ¼rkiye,48.8,49.5,49.5,50.4,50.4,50.2,50.5
United Kingdom,67.5,67.5,67.3,67.6,67.8,67.7,
United States,64.6,64.8,65.0,65.1,65.4,65.5,65.6
