Country,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3
Austria,69.8,70.0,69.5,69.5,69.6,69.8,
Belgium,61.4,61.1,61.5,61.8,61.9,60.7,
Colombia,71.7,73.4,72.2,71.6,72.5,74.0,73.7
Costa Rica,66.8,68.4,69.7,68.9,66.8,67.2,66.3
Czech Republic,72.3,72.3,72.1,72.1,72.0,72.2,
Denmark,70.7,71.7,71.2,71.4,72.2,71.6,
Estonia,71.9,70.8,71.8,71.8,71.8,72.0,
European Union â 27 countries (from 01/02/2020),65.8,66.1,66.1,66.2,66.3,66.4,
Finland,65.2,65.5,65.5,65.3,65.7,65.6,
France,61.4,61.5,61.7,61.6,61.7,61.6,
Germany,71.4,71.8,71.7,72.0,72.3,72.2,
Greece,62.0,62.5,61.7,61.9,62.5,62.9,
Hungary,69.7,69.8,70.0,69.9,70.1,70.3,
Iceland,80.0,80.0,79.3,80.2,80.3,81.0,
Ireland,72.0,72.4,72.3,72.2,72.4,72.1,
Israel,67.2,67.2,68.1,68.0,68.7,68.6,68.4
Italy,60.4,60.9,60.8,61.2,61.4,61.8,
Japan,78.0,78.2,78.3,78.4,78.5,78.6,78.7
Latvia,66.1,66.9,67.4,66.6,67.4,67.3,
Lithuania,67.8,67.9,68.6,67.3,66.9,68.5,
Luxembourg,66.8,66.6,65.6,66.4,67.7,68.6,
Netherlands,75.6,76.4,76.3,76.8,76.9,77.4,
Norway,73.2,73.4,72.9,72.9,72.7,72.7,
Poland,67.9,68.0,67.8,67.9,68.1,68.1,
Portugal,66.2,65.9,66.4,66.0,66.0,66.7,
Slovak Republic,66.2,66.9,66.7,66.6,66.4,67.0,
Slovenia,66.5,66.2,66.1,66.1,65.8,66.1,
Spain,61.2,61.7,61.7,61.1,61.1,62.3,
Sweden,71.5,71.8,72.1,72.0,71.9,72.2,
Switzerland,76.0,75.7,76.0,76.0,76.1,76.9,
TÃ¼rkiye,66.4,67.3,67.1,68.1,68.1,67.7,
United Kingdom,71.1,71.1,70.9,71.2,71.8,71.6,
United States,69.8,69.9,70.0,70.2,70.3,70.3,70.2
