Time,Australia,Austria,Belgium,Canada,Chile,Colombia,Costa Rica,Czech Republic,Denmark,Estonia,Euro area (19 countries),European Union â 27 countries (from 01/02/2020),Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Mexico,Netherlands,Norway,OECD - Total,Poland,Portugal,Slovak Republic,Slovenia,Spain,Sweden,TÃ¼rkiye,United Kingdom,United States
Apr-2012,5.0,4.9,7.3,7.4,6.7,10.8,10.0,6.9,8.4,10.0,11.3,10.9,7.6,9.6,5.1,23.5,10.7,7.1,15.7,7.0,10.7,4.5,3.3,16.4,13.7,5.0,5.0,6.8,3.5,8.1,10.2,16.2,13.9,8.1,24.2,7.7,8.5,8.1,8.2
Apr-2013,5.6,5.4,8.6,7.2,6.3,10.1,10.1,6.9,8.3,8.1,12.2,11.7,8.2,10.5,5.0,28.0,9.8,6.1,14.5,6.7,12.3,4.1,3.0,11.5,11.9,5.7,5.1,8.0,4.1,8.2,11.0,17.9,14.3,10.8,26.3,8.4,9.1,7.8,7.6
Apr-2014,5.8,5.5,8.6,7.1,6.1,9.0,8.8,6.3,6.7,7.6,11.8,11.2,8.3,10.1,4.8,27.1,7.5,5.7,12.4,5.8,12.7,3.6,3.6,10.9,11.0,5.9,4.9,8.6,3.6,7.5,9.7,15.2,13.5,9.7,24.9,8.3,9.7,6.4,6.2
Apr-2015,6.1,6.2,8.9,6.9,6.5,9.3,9.7,5.2,6.5,7.0,11.2,10.4,9.5,10.4,4.4,25.4,6.9,4.8,10.3,4.9,12.2,3.4,3.6,9.6,9.3,6.4,4.4,8.1,4.6,7.0,7.9,13.2,11.7,9.4,22.7,8.0,10.5,5.6,5.4
Apr-2016,5.6,6.2,8.2,7.3,6.8,8.8,9.6,4.0,6.0,6.6,10.3,9.4,8.9,10.1,4.0,23.9,5.2,3.6,8.9,5.1,11.8,3.2,3.6,9.5,7.9,6.3,3.9,7.4,5.0,6.5,6.4,11.9,10.0,8.1,20.3,6.9,10.1,4.9,5.1
Apr-2017,5.6,5.8,7.4,6.5,7.1,8.5,8.5,3.3,5.9,6.1,9.3,8.4,9.4,9.5,3.6,22.1,4.3,3.2,6.8,4.3,11.2,2.8,3.9,8.8,7.5,5.6,3.6,6.1,4.6,6.0,5.2,9.8,8.4,6.7,17.6,7.0,11.6,4.4,4.4
Apr-2018,5.5,5.1,6.4,5.8,7.1,9.0,9.3,2.3,5.1,5.2,8.4,7.6,7.7,9.2,3.3,20.1,3.5,3.2,5.9,4.0,11.0,2.5,3.8,7.7,6.2,5.5,3.5,4.9,4.2,5.5,3.8,7.3,6.8,5.4,15.7,6.6,10.2,4.2,4.0
Apr-2019,5.2,4.9,5.6,5.7,7.0,9.7,11.3,2.1,5.4,5.0,7.7,6.9,7.2,8.5,3.0,18.1,3.3,3.7,5.1,3.9,10.3,2.4,4.1,6.3,6.1,5.6,3.6,4.3,3.2,5.4,3.4,6.7,5.7,4.3,14.2,6.6,13.8,3.8,3.6
Apr-2020,6.3,6.1,4.9,13.6,10.9,18.3,20.0,2.2,4.3,6.3,7.4,6.8,7.2,7.6,3.5,18.2,4.2,5.6,4.7,3.6,7.5,2.6,3.9,8.3,8.0,7.3,4.9,4.5,4.1,8.8,3.1,6.4,6.5,5.3,15.3,8.1,13.5,4.1,14.7
Apr-2021,5.4,7.3,6.4,8.2,9.8,14.6,17.7,3.3,5.1,6.5,8.2,7.5,8.6,8.2,3.8,17.2,4.2,6.4,7.6,5.4,10.2,2.9,3.8,7.8,7.9,5.9,4.9,4.5,5.1,6.7,3.7,7.0,7.0,4.8,15.4,9.0,13.4,4.9,6.1
Apr-2022,3.9,4.4,5.7,5.3,7.6,10.6,12.0,2.5,4.1,5.5,6.7,6.1,6.3,7.5,3.0,12.7,3.5,3.7,4.6,3.5,8.2,2.6,2.8,6.6,5.5,4.4,3.2,3.2,2.6,5.0,2.8,5.9,6.3,4.4,12.9,7.7,11.0,3.8,3.6
Aug-2012,5.2,5.7,7.6,7.4,6.3,10.1,10.0,7.2,8.1,9.6,11.6,11.2,8.4,9.7,5.0,26.0,10.4,6.6,15.5,6.8,10.9,4.2,3.2,13.8,13.1,5.0,5.0,6.8,3.3,8.1,10.6,17.0,13.8,9.5,25.2,8.3,8.2,7.9,8.1
Aug-2013,5.8,5.6,8.4,7.2,5.7,9.8,8.9,7.1,7.1,7.9,12.1,11.5,8.2,10.1,4.9,28.0,9.4,5.9,13.3,5.8,12.4,4.1,3.2,12.1,11.8,5.9,4.8,8.5,4.3,8.0,10.5,16.7,14.0,9.7,26.1,8.2,9.2,7.6,7.2
Aug-2014,6.1,5.8,8.6,7.0,6.5,9.2,10.0,6.2,7.1,7.6,11.5,10.8,8.5,10.2,4.7,26.3,7.3,5.5,11.7,6.1,12.5,3.5,3.6,10.9,10.3,6.0,4.8,8.1,3.6,7.4,8.7,14.0,12.9,9.5,24.1,8.2,10.2,6.0,6.1
Aug-2015,6.1,6.0,8.1,7.0,6.3,9.3,9.3,4.7,6.1,5.6,10.7,10.0,9.5,10.3,4.3,24.2,6.2,4.4,9.5,5.1,11.7,3.4,3.7,10.0,9.2,6.5,4.4,7.7,4.2,6.8,7.5,12.6,11.3,8.8,21.6,7.1,10.1,5.3,5.1
Aug-2016,5.6,7.0,7.7,6.9,6.8,9.1,9.7,3.7,5.8,7.6,10.0,9.1,8.4,9.9,3.9,23.9,4.7,3.4,8.3,4.7,11.5,3.1,4.0,9.8,7.9,6.3,3.7,6.8,5.2,6.4,6.3,11.2,9.5,7.5,19.3,7.3,11.1,4.8,4.9
Aug-2017,5.5,5.9,7.1,6.2,6.8,9.3,9.4,2.7,6.0,5.2,9.0,8.2,8.3,9.5,3.5,21.1,3.9,3.2,6.6,4.1,11.3,2.8,4.0,8.7,6.7,5.5,3.3,5.7,4.4,5.9,4.9,8.9,7.9,6.4,16.7,6.6,10.5,4.3,4.4
Aug-2018,5.3,5.4,5.6,6.0,7.3,9.2,10.2,2.4,5.0,5.3,8.0,7.2,7.4,8.9,3.2,19.4,3.5,3.1,5.7,3.9,10.1,2.5,4.6,7.1,6.0,5.7,3.2,4.9,4.1,5.5,3.9,7.1,6.3,5.1,14.9,6.5,11.2,4.1,3.8
Aug-2019,5.3,5.1,5.1,5.8,7.1,10.9,11.4,2.1,4.9,4.0,7.5,6.7,7.0,8.3,2.9,17.4,3.2,4.1,5.0,3.6,9.4,2.3,3.5,6.2,6.3,5.8,3.5,4.5,4.4,5.4,3.2,6.5,5.7,4.8,14.1,7.3,14.1,3.8,3.7
Aug-2020,6.8,6.4,6.4,10.2,12.0,16.8,21.8,2.8,6.2,7.7,8.6,7.8,8.8,9.0,3.9,17.0,4.3,6.5,7.3,4.9,10.0,3.0,3.7,8.6,9.3,6.7,4.9,5.5,5.4,7.6,3.4,8.2,7.1,5.1,16.4,9.3,12.9,4.9,8.4
Aug-2021,4.6,6.0,6.3,7.2,8.2,13.2,15.3,2.8,5.1,5.8,7.5,6.9,7.0,7.8,3.4,13.7,4.0,5.1,5.5,5.0,9.1,2.8,3.2,7.3,6.7,5.0,4.0,4.2,4.1,5.9,3.1,6.3,6.8,4.4,14.8,8.9,11.9,4.3,5.2
Aug-2022,3.5,5.3,5.4,5.3,7.8,10.9,12.0,2.4,4.4,5.7,6.7,6.1,7.2,7.2,3.1,12.5,3.6,3.8,4.4,3.5,8.1,2.5,2.6,7.0,6.0,4.5,3.3,3.8,3.6,4.9,3.0,6.0,6.0,3.9,12.7,7.0,9.7,3.6,3.7
Dec-2012,5.4,5.3,8.5,7.2,6.5,10.6,10.1,7.1,7.4,9.6,12.0,11.5,7.6,10.3,5.0,26.8,10.5,6.3,14.8,6.8,11.6,4.3,3.1,13.9,12.8,5.4,5.0,7.4,3.7,8.2,10.6,18.2,14.3,9.8,26.0,8.3,8.8,7.8,7.9
Dec-2013,5.9,5.8,8.7,7.4,6.6,9.2,8.9,6.7,6.9,8.5,12.0,11.4,8.5,10.2,4.9,27.7,8.2,5.8,12.8,5.8,12.6,3.7,3.2,11.4,11.6,6.0,4.8,8.5,4.4,7.7,10.2,15.7,13.9,9.9,25.6,8.2,9.1,7.2,6.7
Dec-2014,6.1,6.2,8.7,6.7,6.6,9.6,10.0,5.8,7.1,6.5,11.5,10.7,9.4,10.5,4.6,25.9,7.0,5.1,10.8,5.7,12.4,3.4,3.6,10.1,10.2,6.2,4.2,8.2,3.9,7.1,8.4,14.0,12.4,9.5,23.6,7.7,10.3,5.7,5.6
Dec-2015,5.7,6.2,8.8,7.2,6.3,9.3,9.5,4.6,6.3,6.7,10.6,9.8,9.7,10.2,4.2,24.2,5.7,3.8,9.1,5.2,11.7,3.3,3.5,10.0,8.6,6.5,4.4,7.6,5.2,6.7,7.0,12.5,10.7,8.5,20.8,7.4,10.4,5.1,5.0
Dec-2016,5.8,6.1,7.3,6.9,6.8,9.6,9.5,3.6,5.6,6.4,9.7,8.8,8.5,10.0,3.7,23.7,4.3,3.4,7.5,4.3,11.8,3.0,3.4,9.4,7.6,6.3,3.7,6.4,4.2,6.3,5.5,10.4,8.8,8.1,18.6,7.1,12.1,4.7,4.7
Dec-2017,5.6,5.8,6.2,6.0,7.2,9.4,9.0,2.3,5.3,6.1,8.7,7.8,9.0,9.0,3.4,21.2,3.7,3.3,6.3,4.1,10.9,2.7,3.6,8.2,6.8,5.6,3.4,5.4,4.5,5.7,4.4,8.1,7.5,5.7,16.6,6.8,9.9,4.3,4.1
Dec-2018,5.0,5.2,5.7,5.7,7.5,10.5,12.4,2.2,5.7,4.3,7.9,7.1,5.9,8.8,3.1,19.0,3.4,3.2,5.5,4.2,10.3,2.5,3.7,6.9,6.0,5.3,3.6,4.6,3.7,5.6,3.9,6.8,5.9,4.4,14.4,6.8,12.7,3.9,3.9
Dec-2019,5.1,4.7,5.3,5.6,7.9,10.5,12.4,1.9,5.1,4.6,7.5,6.7,6.5,8.2,3.2,17.0,3.2,4.5,4.8,3.6,9.7,2.2,3.5,6.5,6.9,5.7,3.2,4.3,4.0,5.3,3.0,6.9,5.7,4.0,13.9,6.9,13.4,3.9,3.6
Dec-2020,6.6,6.8,6.0,8.9,10.8,14.7,19.2,3.0,5.9,7.2,8.2,7.5,8.2,7.9,3.9,16.8,4.3,7.1,6.2,4.8,9.8,3.0,4.3,7.9,8.1,6.4,4.2,4.9,4.7,6.9,3.4,6.9,7.0,5.4,16.2,9.2,12.6,5.1,6.7
Dec-2021,4.2,4.8,5.6,6.0,7.7,12.4,13.1,2.2,4.5,5.5,7.0,6.4,7.2,7.4,3.2,12.9,3.8,4.3,5.0,4.0,8.8,2.7,3.6,7.4,6.5,4.8,3.9,3.8,3.2,5.3,3.0,5.8,6.5,4.5,13.3,7.9,11.0,4.0,3.9
Dec-2022,3.5,4.9,5.8,5.0,8.5,11.4,11.8,2.3,4.8,5.3,6.7,6.1,7.2,7.2,3.0,11.8,3.8,3.9,4.4,4.2,7.9,2.5,3.1,6.8,6.1,4.7,3.0,3.5,3.4,4.9,2.9,6.7,6.1,3.4,13.0,7.5,10.3,3.7,3.5
Feb-2012,5.2,5.3,7.3,7.6,6.8,10.8,10.6,7.2,8.1,11.1,11.0,10.7,7.4,9.5,5.1,22.4,10.8,7.3,16.1,6.9,10.1,4.5,3.4,15.8,14.1,4.9,5.3,6.5,3.7,8.1,10.1,15.5,13.8,8.1,23.6,8.0,8.6,8.2,8.3
Feb-2013,5.4,5.6,8.5,7.0,6.4,10.7,9.7,7.5,7.2,9.7,12.2,11.7,8.5,10.4,5.1,27.3,10.6,6.2,14.6,6.8,12.1,4.3,3.2,12.6,12.0,5.6,4.9,7.7,4.0,8.2,10.9,18.2,14.4,10.5,26.4,8.2,8.8,7.8,7.7
Feb-2014,5.9,5.7,8.7,7.2,6.5,9.8,9.8,6.5,6.9,8.2,12.0,11.4,8.8,10.2,4.8,27.6,7.8,5.8,12.9,5.9,13.0,3.6,3.6,11.5,11.3,5.9,4.7,8.7,3.3,7.7,10.2,15.5,13.7,10.3,25.3,8.2,9.5,6.8,6.7
Feb-2015,6.1,5.8,8.8,6.9,6.2,9.0,10.1,5.9,6.5,6.6,11.4,10.6,9.7,10.3,4.5,25.8,7.1,5.0,10.7,5.3,12.5,3.5,3.6,9.8,9.3,6.4,4.4,8.1,4.7,7.1,8.3,14.0,12.1,9.2,23.2,8.1,10.7,5.5,5.5
Feb-2016,5.7,6.4,8.2,7.3,6.5,9.1,9.5,4.2,6.1,6.5,10.5,9.6,9.2,10.4,4.1,24.1,5.5,3.7,8.9,5.3,11.8,3.3,3.9,9.9,8.0,6.4,4.2,7.5,5.6,6.6,6.7,12.5,10.3,8.3,20.4,7.3,10.1,5.1,4.9
Feb-2017,5.8,6.1,7.8,6.6,7.0,9.5,9.1,3.3,6.3,5.6,9.6,8.7,9.0,9.6,3.7,23.1,4.2,3.3,7.3,4.3,11.6,2.9,3.9,9.0,7.8,5.9,3.4,6.3,4.5,6.2,5.2,10.1,8.5,7.3,18.2,7.1,11.9,4.6,4.6
Feb-2018,5.6,5.2,6.1,6.0,7.3,9.7,10.2,2.3,4.6,6.6,8.6,7.7,8.4,9.3,3.3,21.3,3.7,3.2,5.9,3.9,10.8,2.5,3.7,7.8,6.7,5.6,3.2,5.1,4.0,5.6,4.0,7.8,7.1,5.6,16.3,5.9,10.0,4.2,4.1
Feb-2019,5.0,5.0,5.6,5.8,7.2,10.6,11.3,1.7,5.1,4.6,7.8,7.0,7.0,8.7,3.0,19.3,3.4,3.4,4.9,4.0,10.5,2.4,3.8,6.6,6.2,5.5,3.3,4.4,4.3,5.5,3.8,6.7,5.8,4.6,14.2,7.0,13.8,3.8,3.8
