REF_AREA,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2000-2007,2010-2022
Australia,1.11759,3.466884,1.494835,2.319298,-0.335073,0.372677,0.510248,1.139095,3.470381,-0.81246,1.595134,1.176883,2.416253,1.745754,0.470958,2.546967,-0.249481,1.164112,0.02811,0.926265,1.764759,1.621854,-1.95436,,1.26069425,1.0194775384615384
Østerrike,2.379035,1.276166,1.895743,0.788648,1.953463,2.409757,2.658618,2.509437,0.0045,-0.70154,1.512726,0.992252,1.087207,0.64328,0.358781,1.42878,-0.125688,1.230402,0.466828,-0.145295,2.242191,-0.544168,1.806886,,1.983858375,0.8426293846153847
Belgia,0.794643,0.229044,0.68576,0.842988,3.231169,1.522921,0.518987,1.848551,-0.614202,-0.647906,1.518472,-0.683018,0.497549,0.86254,1.432672,1.547212,0.097921,-0.196369,0.206349,0.805819,3.274783,-0.94924,-1.346152,,1.209257875,0.5437336923076923
Canada,3.15905,1.691452,1.592994,0.217219,0.837265,2.218922,1.262292,0.02722,-0.231617,0.340598,1.087103,1.735585,-0.021668,1.44244,2.858817,-0.206828,0.711582,1.565457,0.109338,0.458519,7.924793,-4.917067,-0.757966,,1.37580175,0.9223157692307695
Sveits,3.232927,2.296295,0.515124,-0.475055,0.580948,2.30426,2.506164,1.930301,0.973987,-2.241841,2.842837,-0.572279,0.391579,1.847035,0.985547,-0.660173,0.642001,1.603831,2.307977,0.555262,1.650785,2.820436,0.97366,,1.6113705,1.1837306153846157
Chile,3.697202,3.091906,0.944917,1.455368,3.980957,5.542991,3.947925,4.06002,2.367503,0.62313,-4.667695,2.161876,4.987222,1.478845,1.729491,0.463601,1.40208,-0.302316,2.119263,-0.086838,12.850371,1.390827,-6.301216,,3.34016075,1.3250393076923077
Colombia,-3.748455,0.391285,-2.146638,0.193674,5.806248,1.789381,6.434372,4.193783,0.115498,-2.611691,0.464216,3.437116,1.151253,3.642238,2.641467,0.945041,1.89573,1.080774,1.464981,3.146209,19.456103,-10.777383,-0.729377,,1.6142062500000003,2.1398744615384615
Costa Rica,1.802835,-0.588318,0.679352,1.409289,2.504043,-1.740078,3.944701,1.360772,3.150387,2.834583,11.682433,4.80069,-1.394062,5.231701,2.542483,3.215565,4.38458,2.356606,1.849871,2.762121,15.231493,-5.267439,-4.611371,,1.1715745,3.291128538461538
Tsjekkia,4.33184,7.677927,1.555754,5.176794,4.167527,5.193672,6.153752,4.239151,-0.322283,-2.313646,2.337742,1.678646,0.41426,0.319222,1.155667,5.229985,-0.351676,3.425115,1.392493,2.70012,2.406207,0.445277,-2.128979,,4.812052125,1.4633906923076927
Tyskland,2.478991,2.51138,0.92708,0.769179,0.91072,1.578152,1.599242,1.18148,0.026011,-3.01009,2.305172,2.600992,0.616968,0.474731,1.036425,0.509462,1.355337,1.782613,0.207027,0.713467,1.158848,0.579701,0.500696,-0.868319,1.4945279999999999,1.064726076923077
Danmark,2.316299,-0.353033,0.822161,1.650364,3.193264,1.368854,1.317917,0.184416,-1.488722,-0.921726,3.913554,0.346245,1.911281,0.786338,1.584132,1.427971,1.19061,1.869077,2.201011,0.742592,0.558118,0.738532,-1.32865,,1.31253025,1.2262162307692308
Spania,0.464813,0.160202,0.155039,0.297613,0.320507,0.390641,0.584765,1.105267,0.257453,2.410077,2.54208,1.476256,1.929107,1.475647,0.309601,0.794266,0.457181,0.873724,-0.228542,0.55471,-0.175137,-0.758582,1.808905,,0.434855875,0.850708923076923
Estland,,5.803975,6.670752,5.044212,6.793501,5.925236,5.041183,7.513128,-3.456144,2.106579,5.324402,-1.647492,3.36296,1.27473,2.581255,-0.574239,2.659699,2.939183,6.509118,3.215886,5.78197,-0.067809,-5.795423,,6.113141000000001,1.9664800000000002
Finland,4.329956,1.926264,0.906909,2.132152,3.367686,1.880106,2.432147,3.252046,-1.16367,-4.453335,3.468791,1.408522,-1.592836,0.324432,0.233118,0.769232,2.402464,2.502732,-1.176772,0.28111,0.17125,0.973123,0.518549,,2.52840825,0.7910550000000001
Frankrike,2.648651,1.871008,2.919445,0.570758,1.10513,0.887587,2.48965,-0.468669,-0.638008,-1.022803,1.294486,1.001301,0.326726,1.354258,0.9622,0.811302,0.279427,2.109769,0.409723,0.390128,0.29711,-1.749705,-1.916964,,1.502945,0.42844315384615383
