REF_AREA,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2
Østerrike,,69.32797,69.47681,69.40817,69.18143
Belgia,,61.39257,61.76233,61.36516,61.46413
Sveits,,76.88856,76.91389,76.23509,76.35812
Colombia,,73.52846,71.92597,72.39325,73.25564
Costa Rica,,66.29632,65.92355,66.6489,67.41822
Tsjekkia,,72.076,71.99625,71.94408,71.91367
Tyskland,71.86954,71.82137,71.8729,71.87582,
Danmark,,71.2337,72.21227,73.27352,73.48807
Spania,,62.26541,61.99967,62.03624,62.41134
Estland,,71.18724,71.3336,70.62282,71.23565
EU27,,66.45927,66.53856,66.59242,66.65927
Finland,,64.54754,64.4239,64.67313,64.00208
Frankrike,61.6123,61.83549,61.71732,62.04908,
Storbritannia,,70.85247,70.66897,70.31406,70.03137
Hellas,,62.22857,62.18863,63.27036,63.60368
Ungarn,,70.41319,70.36358,70.19379,70.28332
Irland,72.31373,72.50665,72.56913,72.47184,
Island,81.11475,81.03634,81.89015,80.82275,
Israel,,68.36851,67.7131,67.6222,67.76882
Italia,61.86541,61.91637,62.49956,62.45677,
Japan,,78.74828,78.97132,79.13158,79.18634
Litauen,68.21179,68.38004,68.06131,67.85683,
Luxembourg,68.59341,67.30859,65.51893,66.09787,
Latvia,67.26254,66.94572,66.73874,66.47992,
Nederland,77.3279,77.35498,77.32635,77.32016,
Norge,72.80743,73.13672,72.71528,72.2197,
Polen,68.44884,68.42935,68.43731,68.30165,
Portugal,66.81505,67.0457,66.38158,66.66305,
Slovakia,66.91014,67.01535,67.88766,67.98409,
Slovenia,66.0533,65.79105,66.8203,67.57881,
Sverige,72.05141,71.83799,71.54667,71.34519,
Tyrkia,,68.04818,68.33293,69.05804,69.16393
USA,,70.20924,70.1494,70.06749,69.96409
