TIME,Denmark,European Union 27,Norway,OECD countries,Sweden,United States
1970,1845.0,,1835.0,1966.0,1565.0,1907.0
1971,1810.0,,1813.4,1960.0,1536.0,1894.0
1972,1752.0,,1780.5,1951.0,1500.0,1890.0
1973,1710.0,,1766.2,1949.0,1485.0,1891.0
1974,1691.0,,1745.0,1928.0,1468.0,1860.0
1975,1617.0,,1728.1,1917.0,1446.0,1839.0
1976,1624.0,,1674.5,1918.0,1455.0,1841.0
1977,1598.0,,1638.4,1913.0,1430.0,1844.0
1978,1575.0,,1601.9,1905.0,1394.0,1836.0
1979,1564.0,,1580.1,1901.0,1384.0,1834.0
1980,1577.0,,1579.8,1893.0,1382.0,1816.0
1981,1546.0,,1570.2,1884.0,1374.0,1812.0
1982,1553.0,,1558.9,1877.0,1387.0,1803.0
1983,1546.0,,1553.3,1877.0,1396.0,1822.0
1984,1541.0,,1548.3,1878.0,1399.0,1839.0
1985,1527.0,,1542.3,1876.0,1402.0,1838.0
1986,1531.0,,1538.2,1872.0,1400.0,1829.0
1987,1493.0,,1510.7,1872.0,1409.0,1839.0
1988,1471.0,,1513.3,1872.0,1427.0,1837.0
1989,1455.0,,1510.4,1871.0,1426.0,1848.0
1990,1441.0,,1502.6,1860.0,1423.0,1833.0
1991,1437.0,,1500.3,1852.0,1410.0,1823.0
1992,1452.0,,1510.1,1883.0,1427.0,1968.0
1993,1449.0,,1506.8,1875.0,1443.0,1968.0
1994,1407.0,,1505.0,1847.0,1477.0,1839.0
1995,1419.0,1701.0,1487.8,1842.0,1483.0,1839.0
1996,1412.0,1702.0,1482.6,1846.0,1493.0,1840.0
1997,1428.0,1699.0,1477.6,1845.0,1498.0,1843.0
1998,1441.0,1696.0,1475.5,1836.0,1497.0,1842.0
1999,1456.0,1686.0,1474.4,1834.0,1506.0,1839.0
2000,1466.0,1678.0,1456.6,1825.0,1486.0,1832.0
2001,1469.0,1666.0,1424.1,1811.0,1465.0,1811.0
2002,1463.0,1655.0,1406.7,1807.0,1445.0,1806.0
2003,1458.0,1649.0,1389.7,1798.0,1432.0,1796.0
2004,1458.0,1656.0,1405.1,1798.0,1454.0,1798.0
2005,1451.0,1652.0,1405.9,1793.0,1453.0,1794.0
2006,1456.0,1650.0,1399.3,1792.0,1451.0,1796.0
2007,1433.0,1651.0,1405.6,1789.0,1463.0,1795.0
2008,1430.0,1651.0,1406.6,1787.0,1472.0,1786.0
2009,1417.0,1628.0,1387.1,1753.0,1459.0,1761.0
2010,1422.0,1632.0,1395.1,1772.0,1484.0,1772.0
2011,1437.0,1631.0,1399.9,1771.0,1484.0,1778.0
2012,1423.0,1615.0,1396.3,1770.0,1472.0,1782.0
2013,1426.0,1605.0,1386.7,1765.0,1464.0,1780.0
2014,1414.0,1605.0,1389.5,1764.0,1465.0,1782.0
2015,1407.0,1607.0,1391.9,1764.0,1466.0,1783.0
2016,1412.0,1608.0,1394.7,1763.0,1478.0,1778.0
2017,1404.0,1599.0,1380.4,1756.0,1466.0,1778.0
2018,1381.0,1598.0,1379.3,1753.0,1466.0,1782.0
2019,1381.0,1593.0,1381.4,1743.0,1452.0,1777.0
2020,1346.0,1513.0,1368.7,1687.0,1424.0,1767.0
