TIME,Finland,Norway,Sweden
1955-01,,12692.01,
1955-02,,12061.09,
1955-03,,11641.39,
1955-04,,12160.88,
1955-05,,13110.12,
1955-06,,11311.81,
1955-07,,9995.658,
1955-08,,11427.14,
1955-09,,11097.76,
1955-10,,12733.97,
1955-11,,13135.53,
1955-12,,14870.74,
1956-01,,13736.37,
1956-02,,14427.91,
1956-03,,14016.06,
1956-04,,13358.46,
1956-05,,13049.64,
1956-06,,11033.86,
1956-07,,13567.17,
1956-08,,14936.53,
1956-09,,13807.84,
1956-10,,13931.77,
1956-11,,14140.52,
1956-12,,13397.14,
1957-01,,14091.57,
1957-02,,13882.71,
1957-03,,14801.64,
1957-04,,14584.12,
1957-05,,12933.38,
1957-06,,13127.72,
1957-07,,12755.63,
1957-08,,12603.87,
1957-09,,13844.86,
1957-10,,14421.61,
1957-11,,15505.19,
1957-12,,16415.25,
1958-01,,19477.03,
1958-02,,21686.55,
1958-03,,22207.2,
1958-04,,21852.89,
1958-05,,26604.25,
1958-06,,27440.46,
1958-07,,30728.8,
1958-08,,26951.1,
1958-09,,26744.05,
1958-10,,26149.24,
1958-11,,24362.74,
1958-12,,23924.12,
1959-01,,22460.8,
1959-02,,21613.53,
1959-03,,21180.31,
1959-04,,21408.77,
1959-05,,23142.6,
1959-06,,24583.56,
1959-07,,25768.19,
1959-08,,26949.68,
1959-09,,28870.3,
1959-10,,26185.39,
1959-11,,21527.24,
1959-12,,19456.66,
1960-01,,18036.79,
1960-02,,17186.04,
1960-03,,17112.45,
1960-04,,17677.95,
1960-05,,17473.14,
1960-06,,15785.93,
1960-07,,15919.49,
1960-08,,16445.51,
1960-09,,16638.43,
1960-10,,16879.51,
1960-11,,16762.15,
1960-12,,16213.47,
1961-01,,15087.71,
1961-02,,13743.92,
1961-03,,13672.25,
1961-04,,12653.71,
1961-05,,12227.77,
1961-06,,12166.42,
1961-07,,11793.24,
1961-08,,11157.79,
1961-09,,10811.38,
1961-10,,11194.09,
1961-11,,11805.72,
1961-12,,13203.37,
1962-01,,13150.58,
1962-02,,14464.96,
1962-03,,14523.89,
1962-04,,17338.45,
1962-05,,15573.66,
1962-06,,16686.51,
1962-07,,13042.16,
1962-08,,14517.42,
1962-09,,15522.39,
1962-10,,16209.53,
1962-11,,16066.34,
1962-12,,16482.27,
1963-01,,19543.26,
1963-02,,20225.34,
1963-03,,17552.2,
1963-04,,17290.11,
1963-05,,16540.13,
1963-06,,16081.86,
1963-07,,16803.42,
1963-08,,16899.78,
1963-09,,17447.3,
1963-10,,16662.09,
1963-11,,16827.44,
1963-12,,16338.26,
1964-01,,15704.8,
1964-02,,15715.65,
1964-03,,15829.45,
1964-04,,14484.74,
1964-05,,15996.47,
1964-06,,16929.06,
1964-07,,16925.31,
1964-08,,17181.82,
1964-09,,16791.29,
1964-10,,15950.67,
1964-11,,15239.68,
1964-12,,14355.2,
1965-01,,13988.71,
1965-02,,13574.21,
1965-03,,13738.42,
1965-04,,13762.99,
