,Faktisk utvikling,SSB,Norges Bank,FIN,NAV,OECD,LO,NHO,Danske Bank,DNB,Handelsbanken,Nordea,SEB,Konsensus
2017,2.2,,,,,,,,,,,,,
2018,1.9,,,,,,,,,,,,,
2019,2.3,,,,,,,,,,,,,
2020,-2.8,,,,,,,,,,,,,
2021,4.5,,,,,,,,,,,,,
2022,3.7,,,,,,,,,,,,,
2023,0.7,,,,,,,,,,,,,
2024,0.7749999999999999,0.5,0.5,0.9,1.0,0.5,0.9,0.9,1.1,0.6,0.8,1.0,0.6,0.7749999999999999
2025,1.4999999999999998,2.4,1.2,1.9,1.5,1.6,1.4,1.1,2.1,1.4,1.2,1.7,1.5,1.4999999999999998
2026,1.6666666666666667,2.9,1.3,,,,2.2,1.4,,1.8,1.5,,,1.6666666666666667
2027,1.6,2.9,1.6,,,,,,,1.9,,,,1.6
