,2022,2023,2024,2025,Dato
SSB,5.7,3.5,1.0,1.8,09.09.2022
Norges Bank,5.4,4.5,3.1,2.5,22.09.2022
FIN,3.5,3.4,,,12.05.2022
IMF,3.5,1.8,2.1,2.0,19.04.2022
OECD,4.6,3.3,,,08.06.2022
NHO,3.3,2.8,2.2,,15.06.2022
LO,5.5,3.5,1.9,2.1,22.09.2022
Danske Bank,4.6,2.0,,,21.06.2022
DNB,5.3,4.0,2.7,2.7,25.08.2022
Handelsbanken,5.5,3.7,2.0,,21.09.2022
Nordea,5.5,3.8,2.5,,07.09.2022
SEB,5.7,4.0,2.0,,30.08.2022
Swedbank,5.1,3.1,1.9,,24.08.2022
Konsensus,4.861538461538462,3.338461538461538,2.1399999999999997,2.22,
