region,Antall,Endring i antall,Endring i prosent
Agder,158959,8273,5.49022470567936
Innlandet,188053,6426,3.538020228270026
Møre og Romsdal,143163,5379,3.903936596411775
Nordland,131144,4044,3.181746656176239
Oslo,527837,28433,5.69338651672794
Rogaland,276674,12159,4.596714742075118
Troms og Finnmark,138761,5225,3.912802540138989
Trøndelag,254804,9817,4.007151399870197
Vestfold og Telemark,205640,8439,4.279390063944908
Vestland,349534,14110,4.206616103796986
Viken,591204,26970,4.779931730452259
