region,Antall,Endring i antall,Endring i prosent
Alstahaug,4252,52,1.2380952380952381
Alta,13295,194,1.4808029921380048
Alvdal,1481,17,1.1612021857923498
Alver,12346,341,2.8404831320283215
Andøy,2336,26,1.1255411255411256
Aremark,333,-2,-0.5970149253731344
Arendal,23384,668,2.940658566649058
Asker,42400,1077,2.6062967354741913
Askvoll,1163,20,1.7497812773403325
Askøy,9544,165,1.7592493869282437
Aukra,1516,74,5.131761442441054
Aure,1754,14,0.8045977011494253
Aurland,1137,25,2.2482014388489207
Aurskog-Høland,6118,52,0.8572370590174745
Austevoll,3113,16,0.5166289958023894
Austrheim,1256,17,1.3720742534301855
Averøy,2348,14,0.5998286203941731
Balsfjord,2529,112,4.633843607778237
Bamble,5505,-18,-0.32590983161325365
Bardu,2165,-30,-1.366742596810934
Beiarn,520,16,3.1746031746031744
Bergen,193611,5828,3.1035823264086737
Berlevåg,435,-102,-18.994413407821227
Bindal,497,10,2.0533880903490758
Birkenes,1975,29,1.4902363823227132
Bjerkreim,1308,46,3.6450079239302693
Bjørnafjorden,9776,251,2.6351706036745406
Bodø,33312,329,0.9974835521329171
Bokn,332,8,2.4691358024691357
Bremanger,1603,21,1.3274336283185841
Brønnøy,4124,4,0.0970873786407767
Bygland,533,34,6.813627254509018
Bykle,785,23,3.0183727034120733
Båtsfjord,1243,-34,-2.662490211433046
Bærum,80710,1225,1.5411712901805372
Bø (Nordland),1106,53,5.0332383665717
Bømlo,5198,43,0.8341416100872939
Deatnu - Tana,1478,-60,-3.901170351105332
Dovre,1385,45,3.3582089552238807
Drammen,51577,1095,2.1690899726635235
Drangedal,1284,-49,-3.675918979744936
Dyrøy,354,-43,-10.831234256926953
Dønna,571,-3,-0.5226480836236934
Eidfjord,485,21,4.525862068965517
Eidskog,2167,20,0.9315323707498836
Eidsvoll,7938,134,1.7170681701691441
Eigersund,7620,-43,-0.561137935534386
Elverum,11198,205,1.8648230692258712
Enebakk,3342,-35,-1.036422860527095
Engerdal,610,9,1.497504159733777
Etne,1770,93,5.545617173524151
Etnedal,415,-13,-3.0373831775700935
Evenes - Evenássi,771,40,5.471956224350205
Evje og Hornnes,2018,35,1.7650025214321734
Farsund,4174,23,0.5540833534088172
Fauske - Fuossko,4385,-125,-2.771618625277162
Fedje,210,-4,-1.8691588785046727
Fitjar,1317,49,3.8643533123028395
Fjaler,1418,32,2.3088023088023086
Fjord,1410,-23,-1.6050244242847174
Flakstad,550,-25,-4.3478260869565215
Flatanger,675,23,3.52760736196319
Flekkefjord,4634,-80,-1.6970725498515062
Flesberg,871,5,0.5773672055427251
Flå,692,41,6.29800307219662
Folldal,555,-13,-2.2887323943661975
Fredrikstad,38043,170,0.4488685871201119
Frogn,5153,175,3.5154680594616314
Froland,2254,45,2.0371208691715705
Frosta,1065,-70,-6.167400881057269
Frøya,3625,45,1.2569832402234637
Fyresdal,514,-12,-2.2813688212927756
Færder,7881,0,0.0
Gamvik,507,-7,-1.3618677042801557
Gausdal,2402,55,2.343417128248828
Gildeskål,978,-7,-0.7106598984771574
Giske,2908,64,2.250351617440225
Gjemnes,928,16,1.7543859649122806
Gjerdrum,1932,20,1.0460251046025104
Gjerstad,1210,162,15.458015267175574
Gjesdal,4505,54,1.2132105144911256
Gjøvik,19098,431,2.308887341297477
Gloppen,3013,-31,-1.0183968462549275
Gol,3344,83,2.5452315240723706
Gran,6584,117,1.8091850935518787
Grane,564,-15,-2.5906735751295336
Gratangen,609,79,14.90566037735849
Grimstad,10701,123,1.1627906976744187
Grong,1363,-38,-2.7123483226266956
Grue,1973,74,3.896787783043707
Gulen,1431,31,2.214285714285714
Guovdageaidnu - Kautokeino,1309,63,5.056179775280898
Gáivuotna - Kåfjord - Kaivuono,855,64,8.091024020227561
Hadsel,4127,90,2.229378251176616
Halden,14499,-19,-0.13087202093952335
Hamar,22851,267,1.1822529224229543
Hamarøy,1466,-111,-7.038681039949271
Hammerfest,7072,-286,-3.8869257950530036
Hareid,1957,63,3.3262935586061246
Harstad,14168,463,3.378329076979205
Hasvik,394,-10,-2.4752475247524752
Hattfjelldal,605,1,0.16556291390728478
Haugesund,25261,1022,4.216345558810182
Heim,3037,-36,-1.171493654409372
Hemnes,1731,-62,-3.4578918014500837
Hemsedal,1499,40,2.7416038382453736
Herøy (Møre og Romsdal),4773,144,3.1108230719377836
Herøy (Nordland),959,35,3.787878787878788
Hitra,3010,-150,-4.746835443037975
Hjartdal,800,13,1.6518424396442184
Hjelmeland,1447,72,5.236363636363636
Hol,2686,81,3.109404990403071
Hole,2735,83,3.129713423831071
Holmestrand,9045,468,5.456453305351522
Holtålen,659,15,2.329192546583851
Horten,12624,280,2.268308489954634
Hurdal,1089,49,4.711538461538462
Hustadvika,5129,93,1.8467037331215252
Hvaler,1283,-2,-0.1556420233463035
Hyllestad,615,-58,-8.618127786032689
Hå,9244,91,0.9942095487818202
Hægebostad,846,33,4.059040590405904
Høyanger,1869,-47,-2.4530271398747394
Høylandet,487,-17,-3.373015873015873
Ibestad,568,-41,-6.732348111658457
Inderøy,2460,-10,-0.4048582995951417
Indre Fosen,4448,-37,-0.8249721293199554
Indre Østfold,17332,115,0.6679444734855086
Iveland,407,-46,-10.154525386313466
Jevnaker,2327,-50,-2.103491796381994
Karlsøy,1080,-17,-1.5496809480401095
Karmøy,17050,28,0.1644930090471155
Kinn,9974,115,1.1664469013084493
Klepp,10101,5,0.04952456418383518
Kongsberg,17253,112,0.6534041187795344
Kongsvinger,9626,83,0.8697474588703761
Kragerø,4494,-1,-0.02224694104560623
Kristiansand,68414,2167,3.2710915211254847
Kristiansund,12394,179,1.465411379451494
Krødsherad,1291,27,2.1360759493670884
Kvam,4112,-66,-1.5797032072762087
Kvinesdal,2450,-17,-0.6890960680989056
Kvinnherad,6569,133,2.06650093225606
Kviteseid,1116,38,3.525046382189239
Kvitsøy,350,10,2.941176470588235
Kvæfjord,1338,-33,-2.4070021881838075
Kvænangen,694,153,28.280961182994456
Kárásjohka - Karasjok,1554,48,3.187250996015936
Larvik,20872,347,1.6906211936662605
Lebesby,577,-4,-0.6884681583476765
Leirfjord,631,-4,-0.6299212598425197
Leka,303,-1,-0.3289473684210526
Lesja,924,64,7.441860465116279
Levanger,10842,119,1.1097640585656998
Lier,17895,1386,8.395420679629293
Lierne,780,-15,-1.8867924528301887
Lillehammer,18237,39,0.21430926475436862
Lillesand,5690,361,6.774254081441171
Lillestrøm,47571,1340,2.8984880275140057
Lindesnes,10552,-45,-0.424648485420402
Loabák - Lavangen,387,0,0.0
Lom,1114,31,2.862419205909511
Loppa,447,26,6.175771971496437
Lund,1491,31,2.1232876712328768
Lunner,2381,109,4.797535211267605
Lurøy,1193,53,4.649122807017544
Luster,2521,-4,-0.15841584158415842
Lyngdal,5437,113,2.122464312546957
Lyngen,1236,-44,-3.4375000000000004
Lærdal,1155,13,1.138353765323993
Lødingen,924,-23,-2.428722280887012
Lørenskog,26576,864,3.360298693217175
Løten,2098,-5,-0.23775558725630053
Malvik,3927,270,7.383100902378999
Marker,1379,15,1.0997067448680353
Masfjorden,678,-12,-1.7391304347826086
Melhus,5549,93,1.7045454545454544
Meløy,2939,0,0.0
Meråker,965,18,1.9007391763463568
Midt-Telemark,4724,98,2.1184608733246866
Midtre Gauldal,2785,1,0.035919540229885055
Modalen,249,9,3.75
Modum,6047,10,0.1656451880072884
Molde,22216,798,3.7258380801195257
Moskenes,523,38,7.835051546391752
Moss,23310,439,1.9194613265707663
Målselv,4135,60,1.4723926380368098
Måsøy,532,-8,-1.4814814814814816
Namsos,8587,-58,-0.670908039329092
Namsskogan,458,20,4.5662100456621
Nannestad,4086,245,6.378547253319448
Narvik,11316,61,0.541981341625944
Nes,6563,-49,-0.7410768300060496
Nesbyen,1711,18,1.06320141760189
Nesna,885,68,8.32313341493268
Nesodden,5417,221,4.253271747498076
Nissedal,720,34,4.956268221574344
Nittedal,9108,466,5.39227030779912
Nome,2379,-35,-1.4498757249378624
Nord-Aurdal,4816,48,1.006711409395973
Nord-Fron,2603,-5,-0.19171779141104295
Nord-Odal,1686,-118,-6.541019955654102
Nordkapp,1540,-25,-1.5974440894568689
Nordre Follo,27823,732,2.7020043556900815
Nordre Land,2923,-63,-2.1098459477561957
Nordreisa,2253,-28,-1.2275317843051292
Nore og Uvdal,1350,-39,-2.8077753779697625
Notodden,6191,117,1.9262430029634507
Nærøysund,5399,217,4.187572365881899
