næring (SN2007),Antall,Endring sist mnd,Endring sist år,Endring fra feb.20,Endring siste 3 år,Endring siste 5 år
Bergverksdrift og utvinning,64431,-391,3207,2203,2721,9352
Bygge- og anleggsvirksomhet,259176,4960,11074,19244,20942,33635
"Elektrisitet, vann og renovasjon",36843,126,1311,2728,3162,4214
Finansiering og forsikring,51156,129,1884,3639,3690,5207
Forretningsmessig tjenesteyting,169629,951,6169,6208,4923,12575
Helse- og sosialtjenester,670391,-52,3982,31058,39144,43640
Industri,225375,1709,4741,4502,5187,12074
Informasjon og kommunikasjon,116546,43,6880,16513,16667,26000
"Jordbruk, skogbruk og fiske",39946,803,1489,3611,3915,6756
"Off.adm., forsvar, sosialforsikring",190913,-616,-2729,5434,5924,7359
Overnattings- og serveringsvirksomhet,127202,-1227,15759,6763,6388,14212
Personlig tjenesteyting,127100,-493,6087,8856,8845,14696
"Teknisk tjenesteyting, eiendomsdrift",190873,469,8874,15722,16372,27360
Transport og lagring,141310,370,4917,-1619,-1837,-396
Undervisning,257053,-567,-595,8869,11112,12935
"Varehandel, reparasjon av motorvogner",385487,836,3821,14915,14150,11686
