næring (SN2007),Antall,Endring sist år,Endring siste 3 år,Endring siste 5 år
"Agentur- og engroshandel, unntatt med motorvogner",105789,2107,827,2053
Aktiviteter i medlemsorgansiasjoner,33349,1981,719,2064
Anleggsvirksomhet,28101,577,-151,606
"Annen faglig, vitenskapelig og teknisk virksomhet",12980,778,802,1943
Annen industri,3533,125,94,203
Annen personlig tjenesteyting,19415,596,-340,123
Arbeidskrafttjenester,60191,8637,1101,10443
Arkitekter og tekniske konsulenter,58444,3645,4208,7789
Avfallshåndtering,11966,449,1010,2053
Bekledningsindustri,1375,118,-53,229
"Bibliotek, muséer o.a. kulturvirksomhet",11004,1206,1243,1387
Bryting av metallholdig malm,687,5,69,81
Bryting av steinkull og brunkull,97,-8,-10,-18
Bryting og bergverksdrift ellers,3782,75,59,212
Data- og elektronisk industri,8577,227,697,902
"Detaljhandel, unntatt med motorvogner",220665,9447,4603,1712
Drikkevareindustri,3144,158,-154,-317
Elektroteknisk industri,7625,442,226,1
Farmasøytisk industri,2810,127,105,331
"Film- og TV-produksjon, musikkutgivelse",7012,1362,955,1546
"Finans-, forsikringshjelpetjenester",9714,350,1382,1402
Finansieringsvirksomhet,28869,449,710,912
"Fiske, fangst og akvakultur",13365,904,2517,4142
Forlagsvirksomhet,20427,1104,624,787
Forretningsmessig tjenesteyting ellers,14596,482,355,374
Forsikring og pensjonskasser,10999,366,755,686
Forskning og utviklingsarbeid,19183,1025,2068,2385
Gummivare- og plastindustri,4721,44,42,88
Handel med og reparasjon av motorvogner,51379,2087,2206,4467
Helsetjenester,261638,10448,22517,33184
"Hovedkontortjenester, administrativ rådgivning",14513,1304,1358,2833
Håndtering av avløpsvann,3116,79,11,82
IT-tjenester,60108,6270,12544,19507
Informasjonstjenester,6230,486,1385,1172
"Jordbruk og tilhørende tjenester, jakt",17082,517,233,663
Juridisk og regnskapsmessig tjenesteyting,34681,910,2006,4148
Kjemisk industri,9809,233,127,368
Kraftforsyning,17009,467,986,907
Kunstnerisk virksomhet og underholdning,9951,1682,359,1468
Landtransport og rørtransport,62947,2444,-111,2442
Lotteri og totalisatorspill,1503,182,-131,-245
Lufttransport,6309,1435,-384,-16
Lær- og lærvareindustri,107,-9,-34,-13
Lønnet arbeid i private husholdninger,2539,-369,-833,-571
Maskinindustri,17628,352,-363,-150
Maskinreparasjon og -installasjon,20029,559,75,1470
Metallindustri,10345,100,-17,345
Metallvareindustri,23363,1317,266,2072
Miljørydding og miljørensing,156,43,86,98
Mineralproduktindustri,9821,761,-25,324
Motorkjøretøyindustri,2795,102,-65,97
Møbelindustri,5044,289,253,226
Næringsmiddelindustri,49417,1952,2718,3142
"Off.adm., forsvar, sosialforsikring",191361,3512,7813,11720
Omsetning og drift av fast eiendom,29653,1628,1123,2788
"Omsorg uten botilbud, barnehager mv.",215411,1415,1352,1787
Oppføring av bygninger,78645,3227,2395,8274
Overnattingsvirksomhet,26331,7403,-4596,-3773
Papir- og papirvareindustri,2665,-27,-81,123
Petroleums- og kullvareindustri,1001,-185,-175,-160
Pleie og omsorg i institusjon,187421,5588,3258,9466
Post og distribusjonsvirksomhet,17252,452,-463,-1774
Radio- og fjernsynskringkasting,6231,427,232,525
Reisebyråer og reisearrangører,4609,946,-1423,-1065
Reklamevirksomhet og markedsundersøkelser,8931,684,-775,-12
Reparasjon av varer til personlig bruk,1639,3,-198,-88
Serveringsvirksomhet,79725,24774,1505,7226
Sjøfart,19505,1889,-1678,-2047
Skogbruk og tilhørende tjenester,2840,133,150,324
Spesialisert bygge- og anleggsvirksomhet,141257,6906,9730,23384
Sports- og fritidsaktiviteter,40403,5510,3189,6364
Tekstilindustri,2881,228,184,366
Telekommunikasjon,11839,-67,229,-199
Tjenester til bergverk og utvinning,33105,594,3982,7009
Tjenester tilknyttet eiendomsdrift,59249,2440,2198,5726
Transportmiddelindustri ellers,15659,-774,-2851,-2359
Transporttjenester og lagring,30872,1801,-2388,-2702
Trelast- og trevareindustri,13624,634,811,889
"Trykking, grafisk industri",3844,1,-882,-1092
Undervisning,259059,6446,8673,16979
Utleie- og leasingvirksomhet,8196,981,371,1043
Utvinning av råolje og naturgass,24140,-68,369,251
Vakttjeneste og etterforsking,12617,1113,-654,-151
Vannforsyning,2971,42,246,373
Veterinærtjenester,3517,260,650,1039
