næring (SN2007),Antall,Endring sist mnd,Endring sist år,Endring fra feb.20,Endring siste 3 år,Endring siste 5 år
Bergverksdrift og utvinning,68281.0,0.5359482898243445,4.12816055143807,9.547569388737367,11.339214375397459,17.616357184690116
Bygge- og anleggsvirksomhet,255628.0,-0.08208319327074165,-1.7106472313968557,4.104679717693821,5.5716391959923515,4.980698151950719
"Elektrisitet, vann og renovasjon",38805.0,0.3283520347484358,3.909492569286384,13.203419002888065,10.96019672881162,14.746584659057307
Finansiering og forsikring,53843.0,0.3036512667660209,3.705772453244477,13.079911792502363,10.642363965148775,14.838117988312078
Forretningsmessig tjenesteyting,164979.0,0.18703961231789448,-1.7531844952746198,-0.8932755037064626,10.049094814360233,-0.777641454965358
Helse- og sosialtjenester,698443.0,0.34509461367936656,2.145299470292816,7.837999746787756,6.7294718102703985,8.397663323679955
Industri,228840.0,-0.040186605629619274,0.9324029886294469,2.3645293754529106,5.583212988894477,2.439220917583967
Informasjon og kommunikasjon,118668.0,-0.037064492216456635,0.5516154452324665,17.800984752223634,14.078617228882074,21.147897461027227
"Jordbruk, skogbruk og fiske",42669.0,0.2090183184593706,3.8276231263383296,13.351751985760965,12.417009168510909,15.731373240391658
"Off.adm., forsvar, sosialforsikring",195244.0,-0.10590889788233368,1.1973006313039694,4.691839951955559,3.3967060318805276,5.241483398016386
Overnattings- og serveringsvirksomhet,133625.0,-0.4136234908332091,1.596654628397643,7.546137192251044,81.60999211720895,13.527267784168629
Personlig tjenesteyting,133453.0,0.008243281725393804,1.8896303195956574,10.37930920399656,19.9448149413097,12.236865344019915
"Teknisk tjenesteyting, eiendomsdrift",197472.0,-0.05769639549360785,1.6131771098658514,11.391776711022862,12.83727415060055,13.558181661347366
Transport og lagring,147710.0,0.011510362711841454,1.7188425358436514,1.3830261848381895,13.010213840327456,2.1655980467426112
Undervisning,262337.0,-0.038485280332878624,0.15423791580289617,4.381992965256004,4.869780735943715,5.517679662455404
"Varehandel, reparasjon av motorvogner",392112.0,0.14455517359390724,0.4642582628747118,4.173452390124415,6.217646054951931,3.589732751423952
