næring (SN2007),2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09,2020M10,2020M11,2020M12,2021M01,2021M02,2021M03,2021M04,2021M05,2021M06,2021M07,2021M08,2021M09,2021M10
Bergverksdrift og utvinning,57707.0,56557.0,55878.0,55327.0,54301.0,54276.0,55555.0,55499.0,55471.0,56299.0,56683.0,56774.0,56353.0,56007.0,56057.0,56230.0,54676.0,54741.0,54836.0,55175.0,55432.0,55705.0,56281.0,56527.0,56606.0,55945.0,56833.0,56990.0,56863.0,57342.0,57838.0,58054.0,58392.0,58952.0,60359.0,60602.0,60778.0,61939.0,62018.0,62185.0,62054.0,62330.0,62575.0,61344.0,61345.0,61205.0,59907.0,61531.0,61380.0,61790.0,61736.0,61680.0,61595.0,61215.0,61437.0,61327.0,61423.0,61665.0,62085.0,61942.0,62325.0,
Bygge- og anleggsvirksomhet,217592.0,218712.0,219526.0,221613.0,221144.0,221301.0,222779.0,223719.0,224317.0,226307.0,227154.0,227976.0,228681.0,229455.0,229882.0,231590.0,230941.0,231177.0,231601.0,231812.0,233565.0,234598.0,235169.0,236592.0,237539.0,238142.0,239363.0,240201.0,240981.0,242004.0,242845.0,243477.0,243185.0,243213.0,243784.0,243809.0,243925.0,244383.0,244588.0,244832.0,245384.0,245735.0,245325.0,241962.0,239680.0,238859.0,239526.0,239198.0,242046.0,240516.0,242607.0,244209.0,244954.0,243169.0,243304.0,242010.0,241290.0,241312.0,244955.0,244361.0,247162.0,
"Elektrisitet, vann og renovasjon",32256.0,32143.0,32385.0,32544.0,32487.0,32284.0,32523.0,32414.0,32466.0,32373.0,32533.0,32494.0,31910.0,32351.0,32523.0,32639.0,32806.0,32940.0,32986.0,33010.0,33076.0,33182.0,33078.0,33275.0,33280.0,33247.0,33304.0,33565.0,33472.0,33505.0,33669.0,33818.0,33834.0,33945.0,34011.0,34042.0,34081.0,34155.0,34275.0,33892.0,34207.0,34324.0,34441.0,34207.0,34245.0,34179.0,34312.0,34271.0,34537.0,34653.0,34748.0,34999.0,34809.0,34802.0,34931.0,34963.0,34986.0,35028.0,35200.0,34942.0,35254.0,
Finansiering og forsikring,46874.0,46799.0,46714.0,46727.0,46590.0,46659.0,46632.0,46576.0,46539.0,46574.0,46740.0,46425.0,46439.0,46272.0,46229.0,46324.0,46116.0,46083.0,46089.0,46207.0,46240.0,46294.0,46395.0,46443.0,46442.0,46525.0,46596.0,46625.0,46692.0,46804.0,46877.0,46887.0,46972.0,47036.0,47091.0,47175.0,47229.0,47322.0,47417.0,47495.0,47584.0,47596.0,47474.0,47689.0,47395.0,47280.0,47779.0,47829.0,48114.0,48380.0,48851.0,48767.0,48390.0,48473.0,48543.0,48670.0,48617.0,48643.0,48876.0,48814.0,49110.0,
Forretningsmessig tjenesteyting,148148.0,148713.0,149366.0,149968.0,150090.0,149959.0,151143.0,151227.0,152640.0,154054.0,155928.0,156066.0,156298.0,156596.0,157131.0,157966.0,159099.0,159667.0,159711.0,160070.0,160716.0,161365.0,161178.0,161818.0,162670.0,163178.0,163535.0,164084.0,163312.0,165058.0,165959.0,167086.0,166343.0,165598.0,166627.0,166449.0,165775.0,165831.0,166221.0,165168.0,167197.0,166663.0,163685.0,152320.0,148884.0,139811.0,142527.0,143446.0,147764.0,150265.0,151051.0,152012.0,154546.0,151750.0,150583.0,150588.0,150551.0,150065.0,155834.0,156404.0,160764.0,
Helse- og sosialtjenester,625043.0,623713.0,623552.0,622639.0,625645.0,625667.0,625940.0,626649.0,627668.0,628779.0,624945.0,627004.0,626690.0,628205.0,632193.0,632789.0,632530.0,634804.0,635045.0,635438.0,636497.0,637340.0,639322.0,639508.0,638951.0,640819.0,640657.0,641702.0,644874.0,643244.0,644367.0,644320.0,644943.0,646133.0,646311.0,647638.0,649258.0,647850.0,647709.0,650636.0,644405.0,647746.0,648192.0,639996.0,629025.0,630495.0,631630.0,636461.0,634652.0,641127.0,651870.0,660396.0,656522.0,653239.0,652416.0,654529.0,657894.0,657807.0,666712.0,667218.0,668354.0,
Industri,217294.0,217707.0,216844.0,216434.0,216310.0,215965.0,215365.0,214912.0,214993.0,215282.0,215787.0,215758.0,215802.0,215968.0,216199.0,216645.0,216228.0,215885.0,216616.0,216412.0,216873.0,217503.0,217943.0,218618.0,219113.0,219212.0,219952.0,220846.0,221078.0,222246.0,222433.0,223351.0,223603.0,223237.0,223375.0,223303.0,223091.0,223427.0,223163.0,222449.0,223488.0,223729.0,222408.0,217730.0,216442.0,214581.0,213839.0,213976.0,215647.0,216526.0,217579.0,218705.0,216476.0,216308.0,217047.0,216647.0,216529.0,216672.0,218743.0,218200.0,219768.0,
Informasjon og kommunikasjon,88534.0,88744.0,88791.0,89135.0,89152.0,89062.0,89017.0,88958.0,89212.0,89454.0,89797.0,90195.0,90265.0,90523.0,90925.0,90993.0,91449.0,91979.0,92244.0,92540.0,93063.0,93352.0,93353.0,93723.0,94252.0,94900.0,94854.0,95486.0,96044.0,96505.0,96746.0,97824.0,97823.0,98479.0,98985.0,99304.0,99433.0,99341.0,100125.0,100333.0,100524.0,100811.0,101004.0,100039.0,99424.0,98866.0,99553.0,99524.0,100195.0,101739.0,102445.0,103096.0,102273.0,102975.0,103229.0,103796.0,104705.0,105653.0,107358.0,107126.0,108186.0,
"Jordbruk, skogbruk og fiske",33850.0,33758.0,34673.0,37264.0,33693.0,34315.0,34848.0,34560.0,34993.0,35252.0,35457.0,35942.0,36430.0,36428.0,35984.0,36417.0,35376.0,35829.0,36123.0,36051.0,35954.0,36354.0,36566.0,35834.0,36123.0,36031.0,36383.0,36773.0,36769.0,36891.0,36852.0,37078.0,37204.0,36906.0,36958.0,37270.0,37191.0,37303.0,37472.0,36847.0,37783.0,37987.0,37867.0,37049.0,36681.0,37049.0,37252.0,37101.0,37524.0,37555.0,37279.0,37091.0,38354.0,38331.0,38650.0,38334.0,38261.0,38340.0,39483.0,38033.0,39114.0,
"Off.adm., forsvar, sosialforsikring",180322.0,179766.0,180791.0,180323.0,181344.0,181145.0,181095.0,180349.0,181504.0,181926.0,180935.0,182199.0,183590.0,183141.0,183343.0,183469.0,183410.0,183937.0,183771.0,183809.0,183785.0,183894.0,184396.0,184554.0,184417.0,183552.0,184768.0,184940.0,185632.0,185179.0,184969.0,185263.0,185401.0,185747.0,185670.0,186013.0,185710.0,187644.0,185892.0,186487.0,186379.0,186664.0,186608.0,184100.0,184807.0,183745.0,182585.0,186018.0,186465.0,186395.0,188760.0,187687.0,188885.0,189665.0,188707.0,188475.0,190288.0,189251.0,191258.0,193373.0,194836.0,
