,næring (SN2007),foreløpige og endelig tall,statistikkvariabel,måned,value,endring,endring i pst
1,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2016M11,2789129.0,3058.0,0.1097603040267181
2,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2016M12,2795550.0,6421.0,0.23021523923776321
3,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2017M01,2794898.0,-652.0,-0.023322780848133995
4,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2017M02,2796196.0,1298.0,0.04644176639003739
5,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2017M03,2802409.0,6213.0,0.2221947245472089
6,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2017M04,2802753.0,344.0,0.012275153269913908
7,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2017M05,2808659.0,5906.0,0.21072138715041433
8,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2017M06,2818676.0,10017.0,0.35664706893929754
9,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2017M07,2817381.0,-1295.0,-0.045943556478289516
10,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2017M08,2824257.0,6876.0,0.2440564481694274
11,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2017M09,2828678.0,4421.0,0.15653674577065235
12,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2017M10,2832669.0,3991.0,0.14109064375655844
13,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2017M11,2839003.0,6334.0,0.22360537005912118
14,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2017M12,2847811.0,8808.0,0.31024976021511996
15,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2018M01,2846023.0,-1788.0,-0.0627850654414952
16,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2018M02,2850511.0,4488.0,0.15769373613636617
17,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2018M03,2853351.0,2840.0,0.09963125909704384
18,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2018M04,2856508.0,3157.0,0.11064183831572816
19,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2018M05,2863647.0,7139.0,0.24992053234229594
20,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2018M06,2870684.0,7037.0,0.24573559520428834
21,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2018M07,2875326.0,4642.0,0.16170362185459197
22,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2018M08,2878556.0,3230.0,0.11233508826478111
23,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2018M09,2882058.0,3502.0,0.12165822030212325
24,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2018M10,2885613.0,3555.0,0.12334935660558433
25,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2018M11,2894585.0,8972.0,0.310921804136588
26,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2018M12,2898786.0,4201.0,0.14513306743453303
27,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2019M01,2903157.0,4371.0,0.15078726059805092
28,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2019M02,2909314.0,6157.0,0.21207947072789946
29,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2019M03,2914002.0,4688.0,0.16113764275702547
30,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2019M04,2919892.0,5890.0,0.20212752084589614
31,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2019M05,2921437.0,1545.0,0.052912915957170625
32,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2019M06,2922609.0,1172.0,0.04011724367152247
33,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2019M07,2929820.0,7211.0,0.2467316017982668
34,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2019M08,2934257.0,4437.0,0.15144275074918667
35,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2019M09,2935768.0,1511.0,0.05149514851630066
36,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2019M10,2940647.0,4879.0,0.16619160642121766
37,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2019M11,2938235.0,-2412.0,-0.0820227657382877
38,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2019M12,2941677.0,3442.0,0.11714515687137883
39,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2020M01,2939875.0,-1802.0,-0.06125757518585795
40,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2020M02,2948620.0,8745.0,0.297461626769846
41,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2020M03,2936658.0,-11962.0,-0.40568130176150685
42,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2020M04,2842591.0,-94067.0,-3.2031990105759633
43,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2020M05,2796920.0,-45671.0,-1.6066680011299517
44,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2020M06,2766212.0,-30708.0,-1.0979219999141865
45,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2020M07,2786829.0,20617.0,0.7453152542176822
46,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2020M08,2827723.0,40894.0,1.467402556812769
47,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2020M09,2847093.0,19370.0,0.6850034462357213
48,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2020M10,2865735.0,18642.0,0.6547731317522842
49,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2020M11,2887149.0,21414.0,0.7472428539275322
50,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2020M12,2892575.0,5426.0,0.1879362651529215
51,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2021M01,2880877.0,-11698.0,-0.40441475156218765
52,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2021M02,2860630.0,-20247.0,-0.7028068188957737
53,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2021M03,2860123.0,-507.0,-0.017723368628586034
54,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2021M04,2850188.0,-9935.0,-0.34736268335312515
55,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2021M05,2858401.0,8213.0,0.28815643038284655
56,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2021M06,2881038.0,22637.0,0.791946266461574
57,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2021M07,2935745.0,54707.0,1.898864228795305
58,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2021M08,2955303.0,19558.0,0.6662022757426111
59,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2021M09,2983195.0,27892.0,0.9437949340558305
60,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2021M10,2998451.0,15256.0,0.511398014544806
61,Alle næringer,Endelige tall,"Antall jobber (arbeidsforhold), sesongjustert",2021M11,3013459.0,15008.0,0.5005251044622794
