næring (SN2007),statistikkvariabel,kvartal,value
Alle næringar,"Ledige stillingar, sesongjustert",2017K1,56000
Alle næringar,"Ledige stillingar, sesongjustert",2017K2,59000
Alle næringar,"Ledige stillingar, sesongjustert",2017K3,59800
Alle næringar,"Ledige stillingar, sesongjustert",2017K4,64000
Alle næringar,"Ledige stillingar, sesongjustert",2018K1,66100
Alle næringar,"Ledige stillingar, sesongjustert",2018K2,68300
Alle næringar,"Ledige stillingar, sesongjustert",2018K3,71700
Alle næringar,"Ledige stillingar, sesongjustert",2018K4,65400
Alle næringar,"Ledige stillingar, sesongjustert",2019K1,73200
Alle næringar,"Ledige stillingar, sesongjustert",2019K2,76700
Alle næringar,"Ledige stillingar, sesongjustert",2019K3,69200
Alle næringar,"Ledige stillingar, sesongjustert",2019K4,70400
Alle næringar,"Ledige stillingar, sesongjustert",2020K1,69400
Alle næringar,"Ledige stillingar, sesongjustert",2020K2,54300
Alle næringar,"Ledige stillingar, sesongjustert",2020K3,62600
Alle næringar,"Ledige stillingar, sesongjustert",2020K4,65200
Alle næringar,"Ledige stillingar, sesongjustert",2021K1,72400
Alle næringar,"Ledige stillingar, sesongjustert",2021K2,93500
Alle næringar,"Ledige stillingar, sesongjustert",2021K3,96200
Alle næringar,"Ledige stillingar, sesongjustert",2021K4,95400
Alle næringar,"Ledige stillingar, sesongjustert",2022K1,102400
