næring (SN2007),"Ledige stillingar, sesongjustert","Prosentdelen ledige stillingar, sesongjustert"
Anna tenesteyting,1700.0,3.2
Bergverksdrift og utvinning,1800.0,2.5
Byggje- og anleggsverksemd,7100.0,2.7
"Elektrisitet, vatn og renovasjon",1100.0,2.7
"Fagleg, vitskapleg og teknisk tenesteyting",8200.0,4.8
Finansierings- og forsikringsverksemd,1300.0,2.3
Forretningsmessig tenesteyting,7000.0,4.1
Helsetenester,8200.0,2.9
Industri,5200.0,2.3
Informasjon og kommunikasjon,4700.0,3.9
"Jordbruk, skogbruk og fiske",500.0,1.3
"Kulturell verksemd, underhaldning og fritidsaktivitetar",1100.0,1.6
"Offentleg administrasjon og forsvar, og trygdeordningar underordna offentleg forvalting",5900.0,2.9
Omsetning og drift av fast eigedom,600.0,2.0
Overnattings- og serveringsverksemd,5500.0,4.0
Pleie- og omsorgstenester i institusjon,13200.0,6.2
Sosiale omsorgstenester utan butilbod,6500.0,2.9
Transport og lagring,4400.0,2.9
Undervisning,6300.0,2.4
"Varehandel, motorvognreparasjonar",11500.0,2.9
