næring (SN2007),Endring siste kvartal,Endring siste år,Endring siste 3 år
Anna tenesteyting,1.0,1.0,0.8999999999999999
Bergverksdrift og utvinning,0.4999999999999998,1.2999999999999998,-0.5
Byggje- og anleggsverksemd,0.0,1.4999999999999998,1.2999999999999998
"Elektrisitet, vatn og renovasjon",0.40000000000000013,0.40000000000000013,0.5
"Fagleg, vitskapleg og teknisk tenesteyting",0.10000000000000009,0.7999999999999998,1.1999999999999997
Finansierings- og forsikringsverksemd,0.0,1.1,0.40000000000000036
Forretningsmessig tenesteyting,-0.10000000000000053,2.4999999999999996,1.7999999999999998
Helsetenester,0.20000000000000018,0.20000000000000018,0.20000000000000018
Industri,0.09999999999999964,0.9999999999999998,0.5999999999999999
Informasjon og kommunikasjon,-0.2999999999999998,0.5999999999999996,0.7999999999999998
"Jordbruk, skogbruk og fiske",-8.2,0.3999999999999999,0.19999999999999996
"Kulturell verksemd, underhaldning og fritidsaktivitetar",-0.8,-0.7,0.7
"Offentleg administrasjon og forsvar, og trygdeordningar underordna offentleg forvalting",-0.20000000000000018,-0.10000000000000009,0.5
Omsetning og drift av fast eigedom,-0.20000000000000018,-0.6000000000000001,0.10000000000000009
Overnattings- og serveringsverksemd,0.39999999999999947,3.8,2.9
Pleie- og omsorgstenester i institusjon,-1.2999999999999998,-0.5999999999999996,-0.5999999999999996
Sosiale omsorgstenester utan butilbod,0.30000000000000027,0.7000000000000002,1.1
Transport og lagring,-0.10000000000000009,0.7999999999999998,0.7999999999999998
Undervisning,-0.30000000000000027,0.3999999999999999,0.5
"Varehandel, motorvognreparasjonar",0.5,1.2,1.5
