næring (SN2007),Siste kvartal,Endring siste kvartal,Endring siste år,Endring siste 3 år
Anna tenesteyting,2300,300,1000,1200
Bergverksdrift og utvinning,1700,-100,500,500
Byggje- og anleggsverksemd,7300,-1200,-900,2000
"Elektrisitet, vatn og renovasjon",900,0,300,300
"Fagleg, vitskapleg og teknisk tenesteyting",6600,-2100,800,1300
Finansierings- og forsikringsverksemd,1300,-100,-100,400
Forretningsmessig tenesteyting,11000,-800,1700,3500
Helsetenester,7600,-1000,1300,1500
Industri,4700,-500,-100,400
Informasjon og kommunikasjon,6400,300,600,1700
"Jordbruk, skogbruk og fiske",900,100,-3200,200
"Kulturell verksemd, underhaldning og fritidsaktivitetar",1100,-600,-300,300
"Offentleg administrasjon og forsvar, og trygdeordningar underordna offentleg forvalting",4600,-1000,-800,500
Omsetning og drift av fast eigedom,700,-400,100,0
Overnattings- og serveringsverksemd,5500,-2100,300,3400
Pleie- og omsorgstenester i institusjon,9700,-400,200,4100
Sosiale omsorgstenester utan butilbod,6500,400,1400,2200
Transport og lagring,4100,300,800,900
Undervisning,7400,2000,400,2600
"Varehandel, motorvognreparasjonar",9700,-700,-500,3900
