yrke,Antall arbeidsforhold med lønnKvinner,Antall arbeidsforhold med lønnMenn,Kvinner,Menn,Kvinners lønn som andel av menns,Kvinners lønn sammenlignet med menns,Andel kvinner
Administrerende direktører,7558.0,26200.0,62840.0,75000.0,83.78666666666666,-12160.0,22.388767107056104
Agroteknikere,194.0,284.0,48260.0,48330.0,99.85516242499483,-70.0,40.58577405857741
Allmennpraktiserende leger,2939.0,2267.0,62010.0,72650.0,85.35443909153474,-10640.0,56.45409143296196
Altmuligmann,277.0,1482.0,34670.0,36840.0,94.10966340933767,-2170.0,15.747583854462762
Ambulansepersonell,1750.0,2339.0,46210.0,48610.0,95.06274429129809,-2400.0,42.797750061139645
Andre administrative ledere,9988.0,10659.0,61670.0,72530.0,85.02688542671997,-10860.0,48.375066595631324
Andre daglige ledere i tjenesteytende virksomheter,483.0,285.0,45000.0,55000.0,81.81818181818183,-10000.0,62.890625
Andre helseyrker,673.0,661.0,43920.0,43270.0,101.50219551652415,650.0,50.449775112443774
Andre hjelpearbeidere,163.0,183.0,30850.0,35570.0,86.73039077874614,-4720.0,47.10982658959538
Andre hjelpearbeidere i industri,665.0,4271.0,36150.0,40110.0,90.12715033657443,-3960.0,13.472447325769854
Andre ingeniører,4444.0,19349.0,54580.0,57230.0,95.36956141883628,-2650.0,18.677762367082757
Andre juridiske yrker,585.0,311.0,56510.0,61310.0,92.17093459468276,-4800.0,65.29017857142857
Andre ledere av produksjon og tjenesteyting,1780.0,3154.0,66740.0,71410.0,93.46029967791625,-4670.0,36.07620591811917
Andre lærere,814.0,963.0,47380.0,50340.0,94.11998410806515,-2960.0,45.807540799099606
Andre musikklærere,374.0,329.0,49170.0,49000.0,100.3469387755102,170.0,53.200568990042676
Andre opplysningsmedarbeidere,285.0,190.0,42880.0,38400.0,111.66666666666667,4480.0,60.0
Andre pleiemedarbeidere,6908.0,2628.0,37180.0,38650.0,96.19663648124191,-1470.0,72.44127516778524
Andre programvare- og applikasjonsutviklere,3947.0,14465.0,58330.0,62600.0,93.17891373801916,-4270.0,21.43710623506409
Andre salgsmedarbeidere,983.0,1190.0,38390.0,40000.0,95.975,-1610.0,45.236999539806725
Andre sikkerhetsarbeidere,391.0,747.0,35010.0,36200.0,96.71270718232044,-1190.0,34.3585237258348
Andre sivilingeniører (unntatt elektroteknologi),2244.0,3964.0,63330.0,70890.0,89.33559035124841,-7560.0,36.146907216494846
Andre yrker innen estetiske fag,562.0,803.0,45830.0,46150.0,99.30660888407368,-320.0,41.17216117216117
Andre yrker innen offentlig forvaltning,3702.0,1710.0,43590.0,46280.0,94.1875540190147,-2690.0,68.40354767184036
Anleggsmaskin- og industrimekanikere,766.0,18832.0,40120.0,44020.0,91.14039073148568,-3900.0,3.9085620981732827
Anleggsmaskinførere,454.0,17737.0,38810.0,42810.0,90.65638869423032,-4000.0,2.4957396514760046
Arbeidsformidlere,1280.0,1118.0,43280.0,50130.0,86.33552762816676,-6850.0,53.377814845704755
"Arbeidsleder, bygg og anlegg",283.0,10042.0,52000.0,55000.0,94.54545454545455,-3000.0,2.7409200968523004
"Arbeidsleder, industri",220.0,3039.0,47090.0,50030.0,94.12352588446932,-2940.0,6.750536974532065
Arbeidsledere for kontorpersonell,3173.0,2476.0,53640.0,62500.0,85.824,-8860.0,56.16923349265357
Arealplanleggere,532.0,711.0,54660.0,55210.0,99.00380365875748,-550.0,42.799678197908285
Arkivarer og kuratorer,684.0,333.0,47750.0,49490.0,96.48413820973934,-1740.0,67.2566371681416
Arkivassistenter,646.0,217.0,42980.0,43170.0,99.559879545981,-190.0,74.85515643105445
Audiografer og logopeder,392.0,103.0,44400.0,42870.0,103.56892932120363,1530.0,79.1919191919192
Automatikere,264.0,5125.0,41160.0,49420.0,83.28611898016997,-8260.0,4.898868064575988
"Bakere, konditorer mv.",554.0,840.0,34510.0,39120.0,88.2157464212679,-4610.0,39.74175035868006
Barnehage- og skolefritidsassistenter mv.,32823.0,6587.0,35280.0,35240.0,100.11350737797957,40.0,83.28596802841919
Bartendere,980.0,1245.0,30120.0,31850.0,94.56828885400313,-1730.0,44.04494382022472
Befal med sersjant grad,634.0,3921.0,49260.0,58570.0,84.10449035342326,-9310.0,13.918770581778267
Begravelsesbyrå- og krematoriearbeidere,213.0,340.0,43750.0,46670.0,93.74330404971073,-2920.0,38.517179023508135
Bibliotekarer og andre informasjonsarbeidere,1454.0,496.0,45240.0,44500.0,101.66292134831461,740.0,74.56410256410257
"Bil-, drosje- og varebilførere",764.0,8741.0,33450.0,35880.0,93.22742474916387,-2430.0,8.037874802735402
Bilmekanikere,414.0,18963.0,36020.0,40610.0,88.6973651809899,-4590.0,2.1365536460752437
Bilvaskere,224.0,2399.0,32270.0,34590.0,93.29285920786354,-2320.0,8.539839878002288
Bioingeniører,5041.0,1319.0,46040.0,47770.0,96.37848021770986,-1730.0,79.26100628930818
"Biologer, botanikere, zoologer mv.",652.0,686.0,55780.0,60870.0,91.63791687202234,-5090.0,48.729446935724965
Bioteknikere (ikke-medisinske laboratorier),621.0,411.0,42180.0,43780.0,96.34536317953403,-1600.0,60.17441860465116
Brannkonstabler,162.0,2992.0,48500.0,51530.0,94.11993013778381,-3030.0,5.136334812935954
"Brukerstøtte, IKT",1301.0,2925.0,45150.0,46570.0,96.95082671247584,-1420.0,30.78561287269285
Bussjåfører og trikkeførere,742.0,9681.0,38760.0,39010.0,99.35913868238913,-250.0,7.118871725990597
Butikkavdelingssjefer,2319.0,1975.0,39410.0,42360.0,93.03588290840416,-2950.0,54.0055891942245
Butikkmedarbeidere,24569.0,23783.0,35150.0,37210.0,94.4638538027412,-2060.0,50.81278954334878
Bygningsingeniører,2855.0,13880.0,52940.0,55720.0,95.01076812634601,-2780.0,17.060053779504035
Databasedesignere og -administratorer,121.0,315.0,54020.0,63610.0,84.92375412670964,-9590.0,27.75229357798165
Dataregistrere,230.0,224.0,45830.0,49040.0,93.45432300163132,-3210.0,50.66079295154186
Dekks- og maskinmannskap (skip),242.0,4652.0,39100.0,47960.0,81.52627189324437,-8860.0,4.944830404577033
Dekksoffiserer og loser,171.0,6177.0,55520.0,66540.0,83.4385332131049,-11020.0,2.6937618147448017
"Dirigenter, komponister, musikere og sangere",593.0,850.0,53380.0,54150.0,98.57802400738689,-770.0,41.09494109494109
Dommere,410.0,453.0,100420.0,100420.0,100.0,0.0,47.50869061413673
"Driftsteknikere, IKT",2574.0,11515.0,52080.0,54170.0,96.14177589071443,-2090.0,18.269572006529916
Eiendomsmeglere og - forvaltere,1917.0,3123.0,56950.0,69140.0,82.36910616141164,-12190.0,38.035714285714285
Elektrikere,850.0,29102.0,40710.0,44770.0,90.93142729506366,-4060.0,2.8378739316239314
Elektronikkingeniører,1284.0,11792.0,56700.0,58330.0,97.20555460312018,-1630.0,9.819516671765067
Elkraftingeniører,537.0,4182.0,55370.0,60220.0,91.94619727665227,-4850.0,11.379529561347743
Energimontører,175.0,4123.0,43010.0,48540.0,88.60733415739597,-5530.0,4.071661237785016
Ergoterapeuter,1955.0,289.0,45140.0,44820.0,100.71396697902722,320.0,87.12121212121212
Ernæringsfysiologer,464.0,136.0,50000.0,57360.0,87.16875871687587,-7360.0,77.33333333333333
Farmasøyter,1091.0,276.0,52490.0,54890.0,95.62761887411186,-2400.0,79.80980248719824
Fengselsbetjenter,1322.0,1922.0,44150.0,45690.0,96.62945940030642,-1540.0,40.7521578298397
Finans- og investeringsrådgivere,3390.0,3986.0,57250.0,66470.0,86.12908078832557,-9220.0,45.95986984815618
Finans- og økonomisjefer,3385.0,4420.0,74250.0,91670.0,80.99705465255809,-17420.0,43.36963484945548
Finansanalytikere,5823.0,7575.0,57490.0,66670.0,86.23068846557672,-9180.0,43.46171070309001
Finansmeglere,1310.0,2787.0,60710.0,85830.0,70.73284399394151,-25120.0,31.974615572370023
Flygeledere,115.0,337.0,84140.0,106580.0,78.94539313191969,-22440.0,25.442477876106196
"Flyverter, båtverter mv.",1048.0,430.0,35320.0,37340.0,94.59025174076058,-2020.0,70.90663058186739
Forfattere mv.,701.0,466.0,54560.0,59280.0,92.03778677462888,-4720.0,60.06855184233076
Forsikringsagenter,3572.0,4217.0,51250.0,60080.0,85.3029294274301,-8830.0,45.85954551290281
Forsknings- og utviklingsledere,762.0,2053.0,76610.0,83330.0,91.93567742709709,-6720.0,27.069271758436948
Fotografer og filmfotografer,236.0,706.0,42910.0,49900.0,85.99198396793587,-6990.0,25.05307855626327
Frisører,4450.0,605.0,32500.0,33500.0,97.01492537313433,-1000.0,88.03165182987142
Fysikere og astronomer,123.0,268.0,56670.0,65110.0,87.03732145599754,-8440.0,31.45780051150895
Fysioterapeuter,3626.0,1219.0,45670.0,46910.0,97.35664037518653,-1240.0,74.84004127966976
Førskolelærere,25620.0,3140.0,44660.0,43190.0,103.40356564019449,1470.0,89.08205841446454
Førtrykkere,307.0,456.0,41250.0,40610.0,101.57596651071165,640.0,40.23591087811271
Gartnere,1461.0,3533.0,30000.0,37510.0,79.97867235403892,-7510.0,29.255106127352825
Gatekjøkken- og kafémedarbeidere mv.,2997.0,2437.0,30090.0,30640.0,98.20496083550914,-550.0,55.152741994847254
Geistlige yrker,644.0,1120.0,55900.0,58170.0,96.09764483410693,-2270.0,36.507936507936506
Geologer og geofysikere,782.0,1538.0,69740.0,84870.0,82.17273477082597,-15130.0,33.706896551724135
Grafiske- og multimediadesignere,2019.0,1939.0,48000.0,51670.0,92.89723243661699,-3670.0,51.01061141990905
Grunnskolelærere,45237.0,16262.0,49350.0,49510.0,99.67683296303777,-160.0,73.55729361453032
"Gull- og sølvsmeder, gravører mv.",123.0,117.0,39470.0,40190.0,98.20850957949739,-720.0,51.24999999999999
Havbruksarbeidere,853.0,5000.0,43580.0,48470.0,89.91128533113266,-4890.0,14.573722877157014
Helse- og miljøkontrollører,1905.0,1866.0,51420.0,60110.0,85.54317085343537,-8690.0,50.51710421638823
Helsefagarbeidere,23995.0,6055.0,42390.0,42280.0,100.26017029328287,110.0,79.85024958402663
Hjelpearbeidere i anlegg,536.0,13830.0,35610.0,39710.0,89.67514479979853,-4100.0,3.7310316023945425
Hjelpearbeidere i bygg,255.0,6750.0,32480.0,35880.0,90.52396878483835,-3400.0,3.640256959314775
Hjelpearbeidere i gartneri mv.,217.0,978.0,33330.0,36080.0,92.3780487804878,-2750.0,18.15899581589958
Hjelpearbeidere i husdyrproduksjon,205.0,112.0,25000.0,29950.0,83.47245409015025,-4950.0,64.66876971608832
Hjemmehjelper,1011.0,307.0,35580.0,37460.0,94.98131340096101,-1880.0,76.7071320182094
Hotellresepsjonister,2499.0,1197.0,32070.0,32410.0,98.95094106757173,-340.0,67.61363636363636
Hotellsjefer,270.0,334.0,46370.0,45000.0,103.04444444444445,1370.0,44.70198675496689
Håndpakkere mv.,278.0,449.0,34270.0,37280.0,91.92596566523605,-3010.0,38.239339752407155
Høyere saksbehandlere i offentlig og privat virksomhet,45930.0,26421.0,49520.0,54230.0,91.31477042227549,-4710.0,63.48219098561181
Industrisyere,509.0,164.0,35840.0,33750.0,106.19259259259259,2090.0,75.63150074294205
Informasjonsrådgivere,2180.0,1406.0,52450.0,55240.0,94.94931209268645,-2790.0,60.7919687674289
Informasjonsskrankemedarbeidere,115.0,187.0,42550.0,42400.0,100.35377358490567,150.0,38.079470198675494
"Ingeniører innen petroleum, bergverk og metallurgi",1735.0,9845.0,62020.0,70070.0,88.51148851148851,-8050.0,14.982728842832469
Inkassomedarbeidere mv.,863.0,477.0,41730.0,42540.0,98.09590973201693,-810.0,64.40298507462686
Innkjøpere,2198.0,2995.0,51290.0,55200.0,92.91666666666667,-3910.0,42.3262083574042
Interiørdesignere og dekoratører,949.0,311.0,40250.0,45360.0,88.73456790123457,-5110.0,75.31746031746032
Internett-teknikere,106.0,109.0,50730.0,57630.0,88.02706923477356,-6900.0,49.30232558139535
Journalister,2993.0,3699.0,52590.0,54970.0,95.67036565399309,-2380.0,44.725044829647345
Jurister og advokater,5013.0,4198.0,63370.0,72770.0,87.08258897897485,-9400.0,54.42405819129302
Kjemiingeniører,1030.0,1244.0,51800.0,60060.0,86.24708624708624,-8260.0,45.294635004397534
Kjemikere,436.0,332.0,63240.0,70440.0,89.77853492333901,-7200.0,56.770833333333336
Kjøkkenassistenter,4595.0,2677.0,31460.0,30710.0,102.44220123738197,750.0,63.18756875687569
Kjøreskolelærere,382.0,1306.0,45730.0,48710.0,93.88215972079655,-2980.0,22.630331753554504
Kokker,4758.0,9000.0,35630.0,35000.0,101.8,630.0,34.58351504579154
Konduktører,499.0,767.0,52780.0,55100.0,95.78947368421052,-2320.0,39.41548183254344
Konferanse- og arrangementsplanleggere mv.,307.0,315.0,46670.0,50170.0,93.02371935419573,-3500.0,49.356913183279744
Kontormedarbeidere,29693.0,10223.0,40900.0,42980.0,95.16053978594695,-2080.0,74.3887163042389
Kontrolloperatører ved olje- og naturgassraffineringsanlegg,169.0,1526.0,59110.0,64010.0,92.34494610217153,-4900.0,9.970501474926253
Kopper- og blikkenslagere,125.0,4186.0,32480.0,41330.0,78.58698282119526,-8850.0,2.8995592669914174
Kundebehandlere lån og kreditt,6884.0,5934.0,48130.0,56120.0,85.76265146115468,-7990.0,53.70572632235918
"Kundebehandlere, bank og postkontor",166.0,175.0,39380.0,39460.0,99.79726305119108,-80.0,48.68035190615836
Kundesentermedarbeidere,2092.0,1710.0,39740.0,39870.0,99.67394030599448,-130.0,55.02367175170962
Lagermedarbeidere og material-forvaltere,4431.0,24250.0,38970.0,40890.0,95.30447542186353,-1920.0,15.449252118126983
"Landmålere, kartografer mv.",414.0,771.0,54530.0,54950.0,99.23566878980891,-420.0,34.93670886075949
Landskapsarkitekter,479.0,226.0,58250.0,63330.0,91.97852518553609,-5080.0,67.94326241134752
Laste- og lossearbeidere,238.0,2507.0,33940.0,39530.0,85.8588413862889,-5590.0,8.670309653916211
Lastebil- og trailersjåfører,657.0,22761.0,37480.0,39200.0,95.61224489795919,-1720.0,2.8055342044581093
Ledere av IKT-enheter,754.0,4141.0,78660.0,80000.0,98.32499999999999,-1340.0,15.40347293156282
Ledere av bygge- og anleggsvirksomhet,946.0,12430.0,60480.0,60730.0,99.58834184093529,-250.0,7.072368421052631
Ledere av eldreomsorg,1609.0,542.0,60050.0,64410.0,93.23086477255085,-4360.0,74.80241748024174
Ledere av forsikring og finansvirksomhet,1550.0,3061.0,81330.0,93570.0,86.91888425777493,-12240.0,33.61526783777922
Ledere av helsetjenester,6887.0,2683.0,58850.0,68450.0,85.97516435354274,-9600.0,71.9644723092999
Ledere av industriproduksjon mv.,1307.0,9807.0,71610.0,69270.0,103.37808575140754,2340.0,11.759942414972107
Ledere av logistikk og transport mv.,1286.0,6787.0,66610.0,63810.0,104.38802695502272,2800.0,15.929642016598539
Ledere av olje- og gassutvinning mv.,1539.0,5530.0,97670.0,100720.0,96.97180301826846,-3050.0,21.77111331164238
Ledere av omsorgstjenester for barn,3378.0,406.0,56260.0,58250.0,96.58369098712446,-1990.0,89.2706131078224
Ledere av sosialomsorg,728.0,888.0,55050.0,58070.0,94.79938005855003,-3020.0,45.04950495049505
Ledere av utdanning og undervisning,5878.0,4409.0,62470.0,64300.0,97.15396578538102,-1830.0,57.140079712258185
"Ledere i skogbruk, gartnerier mv.",219.0,412.0,56250.0,58330.0,96.43408194753987,-2080.0,34.7068145800317
Legespesialister,7928.0,6410.0,84570.0,97110.0,87.08680877355576,-12540.0,55.29362533128749
Lektorer mv. (videregående skole),11408.0,9643.0,52760.0,52340.0,100.8024455483378,420.0,54.192199895491896
Logistikkmedarbeidere,1882.0,5484.0,45480.0,46140.0,98.56957087126138,-660.0,25.549823513440128
Lokomotiv og T-baneførere,182.0,1590.0,52390.0,62460.0,83.87768171629844,-10070.0,10.270880361173814
Lønningsmedarbeidere,1467.0,168.0,47260.0,47900.0,98.66388308977035,-640.0,89.72477064220183
Malere og byggtapetserere,423.0,6962.0,36180.0,38320.0,94.41544885177453,-2140.0,5.727826675693974
Maskiningeniører,552.0,6426.0,54570.0,54560.0,100.01832844574781,10.0,7.910576096302665
"Matematikere, statistikere mv.",566.0,547.0,52120.0,56520.0,92.21514508138712,-4400.0,50.85354896675651
Melke- og husdyrprodusenter,529.0,1218.0,29740.0,32500.0,91.50769230769231,-2760.0,30.280480824270178
Metalldreiere mv.,142.0,2507.0,37850.0,41080.0,92.13729308666018,-3230.0,5.360513401283503
Meteorologer,108.0,133.0,52640.0,57210.0,92.01188603391014,-4570.0,44.81327800829876
Miljøarbeidere innen sosiale fagfelt,7801.0,2698.0,44180.0,44330.0,99.66162869388675,-150.0,74.30231450614345
Miljøvernrådgivere,249.0,249.0,52770.0,55530.0,95.02971366828741,-2760.0,50.0
Montører av elektriske og elektroniske produkter,954.0,2109.0,37210.0,42830.0,86.87835629231847,-5620.0,31.145935357492654
Møbelsnekkere,110.0,1752.0,35570.0,37580.0,94.65141032464076,-2010.0,5.907626208378089
Offiserer fra fenrik og høyere grad,571.0,4680.0,61430.0,70180.0,87.53206041607295,-8750.0,10.874119215387545
Operatører innen boring mv.,1018.0,11517.0,63060.0,65240.0,96.65849172286941,-2180.0,8.12126047068209
Operatører innen glass- og keramisk produksjon,122.0,879.0,33980.0,38180.0,88.99947616553169,-4200.0,12.187812187812188
Operatører innen kjemisk industri,1413.0,7608.0,45250.0,49360.0,91.67341977309562,-4110.0,15.66345194546059
Operatører innen metallurgiske prosessfag,842.0,6489.0,38620.0,40300.0,95.83126550868487,-1680.0,11.48547265038876
Operatører innen næringsmiddelproduksjon,7233.0,13560.0,35490.0,37510.0,94.61476939482804,-2020.0,34.785745202712455
Operatører innen plastprodukter,324.0,1922.0,36030.0,38590.0,93.36615703550143,-2560.0,14.425645592163846
Operatører innen tekstilproduksjon mv.,369.0,465.0,35460.0,37510.0,94.534790722474,-2050.0,44.24460431654676
Operatører innen treforedling,340.0,2458.0,35450.0,38270.0,92.63130389338909,-2820.0,12.151536812008578
Operatører innen trelastproduksjon,283.0,3229.0,35770.0,37020.0,96.62344678552134,-1250.0,8.058086560364465
Optikere,571.0,381.0,45880.0,50830.0,90.26165650206572,-4950.0,59.97899159663865
Organisasjonsrådgivere mv.,4681.0,5685.0,55000.0,65460.0,84.02077604644057,-10460.0,45.157244838896396
Overflatebehandlere og lakkerere,189.0,3182.0,37990.0,39470.0,96.25031669622498,-1480.0,5.606644912488876
"Oversettere, tolker mv.",748.0,364.0,42850.0,42220.0,101.49218379914733,630.0,67.26618705035972
PR- og informasjonssjefer,699.0,806.0,67240.0,70370.0,95.55208185306239,-3130.0,46.44518272425249
"Pakke-, tappe- og etikettmaskinoperatører",220.0,485.0,37980.0,42730.0,88.88368827521647,-4750.0,31.20567375886525
Personal- og karriererådgivere,8768.0,3279.0,54170.0,58940.0,91.90702409229725,-4770.0,72.78160537893251
Personalsjefer,1316.0,711.0,74980.0,79920.0,93.81881881881881,-4940.0,64.92353231376418
Plante- og husdyrprodusenter (kombinasjonsbruk),379.0,1474.0,29700.0,31840.0,93.27889447236181,-2140.0,20.4533189422558
Politibetjenter mv.,4149.0,7761.0,50270.0,54150.0,92.83471837488459,-3880.0,34.83627204030227
Politikere,343.0,377.0,69980.0,74100.0,94.43994601889338,-4120.0,47.638888888888886
Postbud og postsorterere,781.0,1270.0,38110.0,37980.0,100.34228541337546,130.0,38.078985860555825
Produkt- og klesdesignere,439.0,301.0,50000.0,59170.0,84.50228156160216,-9170.0,59.32432432432433
Programledere i TV og radio,134.0,124.0,53710.0,57350.0,93.65300784655624,-3640.0,51.93798449612403
Programvareutviklere,718.0,5042.0,56510.0,62600.0,90.27156549520767,-6090.0,12.465277777777779
Protese- og tannteknikere,411.0,437.0,44680.0,47580.0,93.90500210172341,-2900.0,48.46698113207547
Psykologer,5975.0,1606.0,54000.0,61000.0,88.52459016393442,-7000.0,78.8154597018863
Radiografer mv.,1840.0,717.0,47580.0,49280.0,96.55032467532467,-1700.0,71.95932733672272
Regissører,417.0,641.0,52770.0,55000.0,95.94545454545454,-2230.0,39.41398865784499
Regnskapsførere,9861.0,5034.0,49590.0,54500.0,90.9908256880734,-4910.0,66.20342396777443
Regnskapsmedarbeidere,9867.0,3228.0,46020.0,46850.0,98.22838847385272,-830.0,75.34936998854525
Reisebyråmedarbeidere mv.,1522.0,735.0,39140.0,41600.0,94.08653846153847,-2460.0,67.43464776251662
Reiseledere og guider,247.0,280.0,34000.0,34420.0,98.77977919814062,-420.0,46.86907020872865
Reklame- og markedsføringsrådgivere,4219.0,2646.0,50010.0,55050.0,90.84468664850137,-5040.0,61.456664238892934
Religiøse yrker,843.0,535.0,43820.0,43740.0,100.18289894833106,80.0,61.1756168359942
Renholdere i virksomheter,18517.0,6397.0,34950.0,34950.0,100.0,0.0,74.32367343662199
Renholdsledere i virksomheter,1201.0,475.0,39580.0,40670.0,97.31989181214654,-1090.0,71.65871121718376
Renovasjonsarbeidere,336.0,4132.0,36120.0,37770.0,95.63145353455124,-1650.0,7.520143240823635
Renseri- og vaskerimaskinoperatører,841.0,532.0,33650.0,33630.0,100.059470710675,20.0,61.25273124544792
Resepsjonister (ekskl. hotell),2140.0,2707.0,36550.0,43450.0,84.11967779056386,-6900.0,44.15102125025789
Reseptarer,1101.0,281.0,45100.0,41920.0,107.58587786259541,3180.0,79.66714905933429
Restaurantsjefer,974.0,1721.0,40500.0,44000.0,92.04545454545455,-3500.0,36.14100185528757
"Revisorer, regnskapsrådgivere",6902.0,6202.0,56350.0,65270.0,86.33369082273633,-8920.0,52.67094017094017
Rådgivere innen kompetanseutvikling,283.0,504.0,52930.0,56250.0,94.09777777777778,-3320.0,35.95933926302414
Rådgivere innen sosiale fagfelt,8292.0,2109.0,46280.0,47360.0,97.7195945945946,-1080.0,79.7231035477358
"Rådgivere/forskere, humanistiske fag",165.0,121.0,47860.0,49360.0,96.96110210696921,-1500.0,57.692307692307686
"Rådgivere/forskere, samfunnsvitenskap",495.0,376.0,58070.0,61870.0,93.8580895425893,-3800.0,56.831228473019515
"Rådgivere/forskere, samfunnsøkonomi",476.0,606.0,57500.0,63490.0,90.56544337690976,-5990.0,43.992606284658045
Rørleggere og VVS-montører,301.0,17423.0,39370.0,44710.0,88.05636322970253,-5340.0,1.69826224328594
Saksbehandlere innen sosiale ytelser,3552.0,1189.0,41590.0,41590.0,100.0,0.0,74.92090276313014
Salgs- og markedssjefer,4061.0,11067.0,69000.0,77030.0,89.57549006880437,-8030.0,26.84426229508197
Salgskonsulenter innen IKT-produkter,131.0,421.0,58100.0,62940.0,92.310136638068,-4840.0,23.731884057971016
Salgskonsulenter innen tekniske og medisinske produkter,314.0,2464.0,62010.0,64270.0,96.4835848763031,-2260.0,11.303095752339813
Selgere (engros),10893.0,28230.0,49580.0,55720.0,88.98061737257717,-6140.0,27.84295682846408
Sentralbordoperatører,482.0,137.0,38530.0,38230.0,100.78472403871305,300.0,77.86752827140549
Serviceelektronikere,155.0,1250.0,45000.0,41730.0,107.83608914450036,3270.0,11.032028469750891
Servicemedarbeidere (bensinstasjon),283.0,366.0,31110.0,35690.0,87.16727374614737,-4580.0,43.6055469953775
Servitører,6265.0,4643.0,30040.0,31430.0,95.57747375119312,-1390.0,57.43491015768244
Sikkerhetsanalytikere mv.,263.0,1407.0,60130.0,65380.0,91.97002141327623,-5250.0,15.748502994011975
Sivilagronomer mv.,177.0,207.0,54230.0,56510.0,95.96531587329676,-2280.0,46.09375
Sivilarkitekter,3054.0,2747.0,60830.0,66670.0,91.2404379781011,-5840.0,52.64609550077572
Sivilingeniører (bygg og anlegg),4340.0,18490.0,60070.0,65000.0,92.41538461538461,-4930.0,19.010074463425315
Sivilingeniører (elektronikk),508.0,3889.0,61690.0,69820.0,88.35577198510455,-8130.0,11.553331817148056
Sivilingeniører (elkraftteknikk),551.0,2714.0,66620.0,70970.0,93.87064957024094,-4350.0,16.875957120980093
"Sivilingeniører (geofag, petro-leumsteknologi, metallurgi mv.)",3106.0,8619.0,77660.0,83590.0,92.90584998205527,-5930.0,26.49040511727079
Sivilingeniører (industri og produksjon),177.0,855.0,54910.0,56790.0,96.6895580207783,-1880.0,17.151162790697676
