yrke,Antall arbeidsforhold med lønnKvinner,Antall arbeidsforhold med lønnMenn,Kvinner,Menn,Kvinners lønn som andel av menns,Kvinners lønn sammenlignet med menns,Andel kvinner
Administrerende direktører,9592.0,31499.0,60000.0,70830.0,84.70986869970352,-10830.0,23.34331118736463
Agroteknikere,270.0,369.0,47160.0,47940.0,98.3729662077597,-780.0,42.25352112676056
Allmennpraktiserende leger,5559.0,4813.0,64200.0,72920.0,88.04168952276467,-8720.0,53.59622059390667
Altmuligmann,965.0,2847.0,33330.0,35920.0,92.78953229398664,-2590.0,25.314795383001048
Ambulansepersonell,2733.0,3453.0,45790.0,48290.0,94.8229447090495,-2500.0,44.180407371484
Andre administrative ledere,11538.0,12983.0,61170.0,70990.0,86.16706578391323,-9820.0,47.053545940214505
Andre bygningsarbeidere,163.0,4984.0,28250.0,38150.0,74.04980340760157,-9900.0,3.1668933359238394
Andre daglige ledere i tjenesteytende virksomheter,644.0,361.0,43850.0,52730.0,83.15949175042671,-8880.0,64.07960199004975
Andre helseyrker,1178.0,827.0,42750.0,42980.0,99.46486738017683,-230.0,58.753117206982544
Andre hjelpearbeidere,1268.0,907.0,31550.0,33810.0,93.31558710440699,-2260.0,58.298850574712645
Andre hjelpearbeidere i industri,1419.0,6357.0,35500.0,39430.0,90.03296981993407,-3930.0,18.248456790123456
Andre ingeniører,5001.0,20540.0,54210.0,57020.0,95.07190459487899,-2810.0,19.58028268274539
Andre juridiske yrker,678.0,365.0,55580.0,60380.0,92.05034779728388,-4800.0,65.00479386385427
Andre ledere av produksjon og tjenesteyting,1984.0,3440.0,65660.0,70910.0,92.59624876604146,-5250.0,36.57817109144543
Andre lærere,1685.0,1830.0,46520.0,49910.0,93.20777399318774,-3390.0,47.93741109530583
Andre musikklærere,2809.0,2275.0,47790.0,47170.0,101.31439474242103,620.0,55.25177025963808
Andre opplysningsmedarbeidere,525.0,411.0,41290.0,36480.0,113.18530701754386,4810.0,56.08974358974359
Andre personlige tjenesteytere,490.0,430.0,30450.0,32800.0,92.83536585365853,-2350.0,53.2608695652174
Andre pleiemedarbeidere,65356.0,20460.0,37870.0,39080.0,96.9037871033777,-1210.0,76.15829215997016
Andre programvare- og applikasjonsutviklere,4272.0,15235.0,57990.0,62500.0,92.784,-4510.0,21.89983082995848
Andre salgsmedarbeidere,1397.0,1606.0,37500.0,39070.0,95.98157153826466,-1570.0,46.52014652014652
Andre sikkerhetsarbeidere,1634.0,2528.0,34590.0,35040.0,98.71575342465754,-450.0,39.25997116770783
Andre sivilingeniører (unntatt elektroteknologi),2626.0,4546.0,63190.0,70850.0,89.18842625264644,-7660.0,36.614612381483546
Andre utøvende kunstneriske yrker,115.0,149.0,39990.0,50000.0,79.97999999999999,-10010.0,43.56060606060606
Andre yrker innen estetiske fag,802.0,1157.0,44580.0,45010.0,99.04465674294602,-430.0,40.939254721796836
Andre yrker innen offentlig forvaltning,5683.0,2797.0,43000.0,45530.0,94.44322424774873,-2530.0,67.01650943396227
Anleggsmaskin- og industrimekanikere,918.0,20768.0,39830.0,43820.0,90.89456869009584,-3990.0,4.233145808355621
Anleggsmaskinførere,752.0,20104.0,38330.0,42680.0,89.80787253983131,-4350.0,3.6056770233985422
Arbeidsformidlere,1522.0,1478.0,42930.0,46670.0,91.98628669380759,-3740.0,50.73333333333333
"Arbeidsleder, bygg og anlegg",305.0,10650.0,51380.0,54870.0,93.63951157280846,-3490.0,2.784116841624829
"Arbeidsleder, industri",247.0,3262.0,47000.0,50000.0,94.0,-3000.0,7.039042462239954
Arbeidsledere for kontorpersonell,4129.0,3079.0,52770.0,61500.0,85.80487804878048,-8730.0,57.283573806881236
Arealplanleggere,584.0,766.0,54730.0,55280.0,99.00506512301013,-550.0,43.25925925925926
Arkivarer og kuratorer,987.0,469.0,46930.0,48630.0,96.50421550483242,-1700.0,67.78846153846155
Arkivassistenter,812.0,278.0,42270.0,42290.0,99.9527074958619,-20.0,74.49541284403671
Audiografer og logopeder,541.0,127.0,44710.0,43080.0,103.78365831012071,1630.0,80.98802395209582
Automatikere,304.0,5582.0,40970.0,49490.0,82.7844008890685,-8520.0,5.164797825348284
"Bakere, konditorer mv.",726.0,997.0,34420.0,38970.0,88.32435206569156,-4550.0,42.13580963435868
Barnehage- og skolefritidsassistenter mv.,91179.0,21911.0,35240.0,33770.0,104.35297601421381,1470.0,80.6251657971527
Bartendere,4635.0,4154.0,29510.0,30850.0,95.65640194489465,-1340.0,52.736375014222325
Befal med sersjant grad,669.0,4109.0,49220.0,58600.0,83.99317406143345,-9380.0,14.001674340728337
Begravelsesbyrå- og krematoriearbeidere,403.0,597.0,43250.0,46070.0,93.87887996527024,-2820.0,40.300000000000004
Betongarbeidere,128.0,11082.0,38290.0,43110.0,88.8192994664811,-4820.0,1.1418376449598573
Bibliotekarer og andre informasjonsarbeidere,2200.0,631.0,44840.0,44400.0,100.99099099099098,440.0,77.71105616389968
Bibliotekassistenter,320.0,135.0,38520.0,36200.0,106.40883977900553,2320.0,70.32967032967034
"Bil-, drosje- og varebilførere",1689.0,15413.0,32740.0,34910.0,93.78401604124893,-2170.0,9.876037890305227
Billettselgere,319.0,142.0,40350.0,40430.0,99.80212713331684,-80.0,69.19739696312365
Bilmekanikere,517.0,21368.0,35320.0,40350.0,87.53407682775712,-5030.0,2.36234864062143
Bilvaskere,411.0,3229.0,30990.0,34030.0,91.06670584778136,-3040.0,11.291208791208792
"Bingoverter, bookmakere mv.",499.0,289.0,31180.0,30730.0,101.46436706801171,450.0,63.3248730964467
Bioingeniører,6637.0,1625.0,45940.0,47360.0,97.0016891891892,-1420.0,80.33163882837086
"Biologer, botanikere, zoologer mv.",751.0,845.0,55830.0,60830.0,91.78037152720697,-5000.0,47.05513784461153
Bioteknikere (ikke-medisinske laboratorier),863.0,522.0,41690.0,43500.0,95.83908045977012,-1810.0,62.31046931407942
Brannkonstabler,524.0,9611.0,45110.0,50670.0,89.02703769488849,-5560.0,5.170202269363592
"Brukerstøtte, IKT",1699.0,3320.0,44190.0,46000.0,96.06521739130434,-1810.0,33.85136481370791
Bud mv.,886.0,3522.0,35090.0,35270.0,99.48965126169549,-180.0,20.099818511796734
Bussjåfører og trikkeførere,1202.0,15354.0,38690.0,38940.0,99.35798664612224,-250.0,7.2602077796569215
Butikkavdelingssjefer,3158.0,2199.0,38990.0,41870.0,93.12156675423931,-2880.0,58.9509053574762
Butikkmedarbeidere,116477.0,66959.0,34910.0,35800.0,97.51396648044692,-890.0,63.497350574587315
Bygningsingeniører,3263.0,15166.0,52860.0,55420.0,95.38072897870805,-2560.0,17.70578978783439
Databasedesignere og -administratorer,136.0,368.0,54020.0,62860.0,85.93700286350621,-8840.0,26.984126984126984
Dataregistrere,303.0,271.0,45000.0,48640.0,92.51644736842105,-3640.0,52.78745644599303
Dekks- og maskinmannskap (skip),293.0,5315.0,38600.0,47560.0,81.16063919259882,-8960.0,5.224679029957204
Dekksoffiserer og loser,207.0,6848.0,54880.0,65980.0,83.17672021824795,-11100.0,2.9340892983699502
"Dirigenter, komponister, musikere og sangere",1190.0,1735.0,51390.0,51910.0,98.99826623001348,-520.0,40.68376068376068
Dommere,420.0,462.0,100420.0,100420.0,100.0,0.0,47.61904761904761
"Driftsteknikere, IKT",2910.0,12697.0,51390.0,53650.0,95.78751164958061,-2260.0,18.64547959249055
Dyrepassere og - trenere mv.,557.0,136.0,30850.0,33000.0,93.48484848484848,-2150.0,80.37518037518038
Egg- og fjærfeprodusenter,141.0,221.0,32480.0,34940.0,92.9593589009731,-2460.0,38.950276243093924
Eiendomsmeglere og - forvaltere,2438.0,3846.0,54930.0,66670.0,82.3908804559772,-11740.0,38.796944621260344
Elektrikere,1009.0,32071.0,40520.0,44690.0,90.66905347952562,-4170.0,3.0501813784764207
Elektronikkingeniører,1429.0,12423.0,56350.0,58290.0,96.6718133470578,-1940.0,10.31619982673982
Elkraftingeniører,583.0,4390.0,55370.0,60080.0,92.16045272969374,-4710.0,11.723305851598633
Energimontører,192.0,4358.0,43010.0,48470.0,88.73530018568187,-5460.0,4.21978021978022
Ergoterapeuter,2751.0,352.0,44980.0,44600.0,100.85201793721974,380.0,88.65613922010958
Ernæringsfysiologer,671.0,155.0,49110.0,56010.0,87.68077129084092,-6900.0,81.23486682808718
Farmasøyter,1429.0,354.0,53110.0,55210.0,96.19634124252853,-2100.0,80.14582164890633
"Feiere, fasaderenholdere mv.",112.0,800.0,37530.0,39790.0,94.32018094998743,-2260.0,12.280701754385964
Fengselsbetjenter,1613.0,2185.0,43760.0,45460.0,96.26044874615046,-1700.0,42.46972090573986
Finans- og investeringsrådgivere,3677.0,4248.0,56810.0,66250.0,85.75094339622642,-9440.0,46.397476340694006
Finans- og økonomisjefer,3870.0,4876.0,72960.0,90170.0,80.91382943329268,-17210.0,44.24879945117768
Finansanalytikere,6607.0,8298.0,56830.0,66310.0,85.7035137988237,-9480.0,44.32740691043274
Finansmeglere,1376.0,2944.0,60400.0,85000.0,71.05882352941177,-24600.0,31.851851851851855
Fiskere,113.0,413.0,35940.0,44650.0,80.49272116461366,-8710.0,21.482889733840306
Flygeledere,124.0,362.0,82120.0,104450.0,78.6213499281953,-22330.0,25.514403292181072
"Flyverter, båtverter mv.",1645.0,528.0,38040.0,37720.0,100.84835630965006,320.0,75.70179475379659
Forfattere mv.,1028.0,661.0,53750.0,57800.0,92.99307958477509,-4050.0,60.86441681468324
Forsikringsagenter,4031.0,4691.0,50760.0,59110.0,85.87379462019963,-8350.0,46.216464113735384
Forsknings- og utviklingsledere,849.0,2273.0,76220.0,83080.0,91.74289841116996,-6860.0,27.194106342088403
Fotografer og filmfotografer,366.0,884.0,41670.0,47960.0,86.88490408673894,-6290.0,29.28
Frisører,8327.0,972.0,32480.0,32420.0,100.18507094386182,60.0,89.54726314657489
Fysikere og astronomer,144.0,304.0,56730.0,65660.0,86.39963448065794,-8930.0,32.142857142857146
Fysioterapeuter,4999.0,1585.0,45510.0,46540.0,97.7868500214869,-1030.0,75.92648845686513
Førskolelærere,31872.0,3485.0,44660.0,43190.0,103.40356564019449,1470.0,90.14339451876573
Førtrykkere,440.0,552.0,40000.0,40300.0,99.25558312655087,-300.0,44.354838709677416
Gartnere,2265.0,4426.0,30490.0,37180.0,82.00645508337816,-6690.0,33.85144223583919
Gatekjøkken- og kafémedarbeidere mv.,8631.0,5729.0,29920.0,30390.0,98.45343863112866,-470.0,60.10445682451253
Geistlige yrker,905.0,1645.0,54630.0,55540.0,98.36154123154483,-910.0,35.490196078431374
Geologer og geofysikere,872.0,1662.0,69500.0,83060.0,83.67445220322658,-13560.0,34.41199684293607
Gjenvinningsarbeidere,118.0,667.0,34280.0,37010.0,92.62361523912456,-2730.0,15.031847133757962
Grafiske- og multimediadesignere,2469.0,2294.0,47210.0,50830.0,92.87822152272281,-3620.0,51.837077472181406
Grunnskolelærere,64186.0,23077.0,49130.0,49200.0,99.85772357723577,-70.0,73.5546566127683
"Gull- og sølvsmeder, gravører mv.",211.0,143.0,38160.0,40060.0,95.25711432850724,-1900.0,59.6045197740113
Handels- og skipsmeglere,111.0,635.0,58330.0,83000.0,70.27710843373494,-24670.0,14.87935656836461
Havbruksarbeidere,1205.0,5806.0,43200.0,48090.0,89.83156581409857,-4890.0,17.187277135929254
Helse- og miljøkontrollører,2321.0,2115.0,50910.0,59480.0,85.59179556153329,-8570.0,52.32191163210099
Helsefagarbeidere,96012.0,19597.0,43320.0,42750.0,101.33333333333334,570.0,83.04889757717825
Helsesekretærer,9719.0,175.0,37470.0,35820.0,104.60636515912898,1650.0,98.23125126339195
Hjelpearbeidere i anlegg,1018.0,17096.0,34930.0,39320.0,88.8351983723296,-4390.0,5.619962459975709
Hjelpearbeidere i bygg,525.0,9138.0,32480.0,35720.0,90.92945128779395,-3240.0,5.433095312014903
Hjelpearbeidere i gartneri mv.,478.0,1519.0,32480.0,35720.0,90.92945128779395,-3240.0,23.935903855783675
Hjelpearbeidere i husdyrproduksjon,670.0,199.0,25000.0,28500.0,87.71929824561403,-3500.0,77.10011507479861
Hjelpearbeidere i kombinasjonsbruk,256.0,552.0,25980.0,29230.0,88.88128634964077,-3250.0,31.683168316831683
Hjelpearbeidere i nyttevekstproduksjon,106.0,194.0,23380.0,25360.0,92.19242902208202,-1980.0,35.333333333333336
Hjemmehjelper,14530.0,3956.0,35550.0,36900.0,96.34146341463415,-1350.0,78.60002163799632
Hotellresepsjonister,6343.0,3136.0,31660.0,32230.0,98.23146137139311,-570.0,66.91634138622217
Hotellsjefer,302.0,379.0,46180.0,44690.0,103.33407921235175,1490.0,44.34654919236417
Håndpakkere mv.,521.0,748.0,34260.0,37020.0,92.54457050243113,-2760.0,41.05594956658786
Høyere saksbehandlere i offentlig og privat virksomhet,52944.0,29597.0,49200.0,54070.0,90.9931570186795,-4870.0,64.14266849202215
Idrettsutøvere,491.0,2006.0,30000.0,37230.0,80.58017727639,-7230.0,19.663596315578694
Industrisyere,711.0,184.0,35780.0,33650.0,106.32986627043091,2130.0,79.44134078212291
Informasjonsrådgivere,2682.0,1664.0,51680.0,54230.0,95.29780564263322,-2550.0,61.71191900598251
Informasjonsskrankemedarbeidere,185.0,285.0,41290.0,41210.0,100.1941276389226,80.0,39.361702127659576
"Ingeniører innen petroleum, bergverk og metallurgi",1873.0,10361.0,61870.0,70000.0,88.38571428571429,-8130.0,15.309792381886545
Inkassomedarbeidere mv.,1051.0,589.0,41410.0,42300.0,97.89598108747045,-890.0,64.08536585365854
Innkjøpere,2563.0,3556.0,50660.0,54300.0,93.29650092081032,-3640.0,41.885929073378
Interiørdesignere og dekoratører,1393.0,370.0,39130.0,44650.0,87.63717805151175,-5520.0,79.01304594441292
Internett-teknikere,129.0,124.0,50000.0,57630.0,86.76036786395974,-7630.0,50.988142292490124
Intervjuere,538.0,487.0,26850.0,26980.0,99.51816160118607,-130.0,52.487804878048784
Journalister,3906.0,4597.0,51930.0,54400.0,95.4595588235294,-2470.0,45.93672821357168
Jurister og advokater,5406.0,4573.0,62930.0,72050.0,87.34212352532963,-9120.0,54.173764906303234
Kiropraktorer mv.,122.0,217.0,50000.0,57200.0,87.41258741258741,-7200.0,35.9882005899705
Kjemiingeniører,1211.0,1336.0,51290.0,59930.0,85.58318037710663,-8640.0,47.54613270514331
Kjemikere,499.0,401.0,63700.0,70570.0,90.2649851211563,-6870.0,55.44444444444444
Kjøkkenassistenter,15724.0,7223.0,31520.0,30040.0,104.92676431424768,1480.0,68.52311849043447
Kjøreskolelærere,454.0,1519.0,45470.0,48390.0,93.96569539160984,-2920.0,23.01064368981247
Kokker,9607.0,13162.0,35150.0,34430.0,102.09119953528901,720.0,42.193333040537574
Konduktører,592.0,843.0,53100.0,55110.0,96.35274904735982,-2010.0,41.254355400696866
Konferanse- og arrangementsplanleggere mv.,501.0,452.0,45170.0,48360.0,93.4036393713813,-3190.0,52.57082896117523
Kontormedarbeidere,51614.0,15689.0,40140.0,41670.0,96.32829373650108,-1530.0,76.68900346195564
Kontrolloperatører ved olje- og naturgassraffineringsanlegg,181.0,1600.0,59060.0,63950.0,92.35340109460516,-4890.0,10.162829870859067
Kopper- og blikkenslagere,145.0,4553.0,32500.0,41220.0,78.84522076661816,-8720.0,3.0864197530864197
Koreografer og dansere,350.0,131.0,41020.0,44330.0,92.53327317843447,-3310.0,72.76507276507277
Kosmetologer mv.,2687.0,236.0,32960.0,34580.0,95.31521110468479,-1620.0,91.92610331850838
Kundebehandlere lån og kreditt,7882.0,6389.0,47770.0,55650.0,85.84007187780772,-7880.0,55.230887814448884
"Kundebehandlere, bank og postkontor",341.0,291.0,39230.0,39170.0,100.15317845289762,60.0,53.95569620253164
Kundesentermedarbeidere,2650.0,2124.0,39460.0,39430.0,100.07608419984784,30.0,55.50900712191035
Lagermedarbeidere og material-forvaltere,7439.0,32822.0,38860.0,40600.0,95.71428571428572,-1740.0,18.47693797968257
"Landmålere, kartografer mv.",449.0,821.0,54230.0,54720.0,99.10453216374269,-490.0,35.35433070866142
Landskapsarkitekter,608.0,272.0,59170.0,65070.0,90.93284155524819,-5900.0,69.0909090909091
Laste- og lossearbeidere,790.0,4950.0,32040.0,37930.0,84.47139467440022,-5890.0,13.763066202090593
Lastebil- og trailersjåfører,796.0,26539.0,37350.0,38970.0,95.84295612009238,-1620.0,2.912017559904884
Ledere av IKT-enheter,828.0,4557.0,77590.0,79170.0,98.00429455601869,-1580.0,15.376044568245126
Ledere av bygge- og anleggsvirksomhet,1121.0,14085.0,59370.0,60000.0,98.95,-630.0,7.372089964487702
Ledere av eldreomsorg,1760.0,597.0,59890.0,64300.0,93.14152410575429,-4410.0,74.67119219346627
Ledere av forsikring og finansvirksomhet,1645.0,3350.0,80750.0,92130.0,87.64788885270814,-11380.0,32.932932932932935
Ledere av helsetjenester,7517.0,2860.0,58740.0,68350.0,85.9400146305779,-9610.0,72.4390478943818
Ledere av industriproduksjon mv.,1410.0,10473.0,70500.0,68760.0,102.53054101221642,1740.0,11.865690482201465
Ledere av logistikk og transport mv.,1409.0,7373.0,65960.0,63000.0,104.6984126984127,2960.0,16.044181279890683
Ledere av olje- og gassutvinning mv.,1563.0,5616.0,97550.0,100500.0,97.06467661691542,-2950.0,21.77183451734225
Ledere av omsorgstjenester for barn,3921.0,455.0,56090.0,58180.0,96.40770024063252,-2090.0,89.60237659963437
Ledere av sosialomsorg,827.0,1000.0,54610.0,57340.0,95.23892570631321,-2730.0,45.26546250684182
Ledere av utdanning og undervisning,6670.0,5078.0,61950.0,63830.0,97.05467648441171,-1880.0,56.77562138236295
"Ledere i skogbruk, gartnerier mv.",252.0,485.0,55830.0,57720.0,96.72557172557173,-1890.0,34.19267299864315
Legespesialister,9437.0,8183.0,84170.0,96030.0,87.64969280433198,-11860.0,53.558456299659476
Lektorer mv. (videregående skole),16414.0,12939.0,52340.0,52070.0,100.51853274438255,270.0,55.91932681497632
Logistikkmedarbeidere,2193.0,6035.0,45000.0,45770.0,98.31767533318768,-770.0,26.65289256198347
Lokomotiv og T-baneførere,211.0,1747.0,52890.0,62460.0,84.67819404418829,-9570.0,10.776302349336058
Lønningsmedarbeidere,1780.0,190.0,47010.0,47330.0,99.32389604901753,-320.0,90.35532994923858
Malere og byggtapetserere,550.0,7862.0,36000.0,38160.0,94.33962264150944,-2160.0,6.538278649548264
Maskiningeniører,598.0,6846.0,54180.0,54430.0,99.54069446996142,-250.0,8.033315421816228
"Matematikere, statistikere mv.",690.0,646.0,51800.0,56430.0,91.79514442672337,-4630.0,51.646706586826355
Melke- og husdyrprodusenter,1784.0,3623.0,30310.0,32150.0,94.27682737169518,-1840.0,32.99426669132606
Metalldreiere mv.,199.0,2842.0,37370.0,40850.0,91.4810281517748,-3480.0,6.54390003288392
Meteorologer,119.0,148.0,52660.0,57180.0,92.09513816019587,-4520.0,44.569288389513105
Miljøarbeidere innen sosiale fagfelt,11239.0,4084.0,44150.0,44220.0,99.84170058796924,-70.0,73.34725575931607
Miljøvernrådgivere,297.0,269.0,52610.0,55480.0,94.82696467195386,-2870.0,52.473498233215544
Montører av elektriske og elektroniske produkter,1138.0,2290.0,37210.0,42540.0,87.47061589092618,-5330.0,33.19719953325554
Møbelsnekkere,172.0,2087.0,34940.0,37420.0,93.37252805986104,-2480.0,7.613988490482515
Møbeltapetserere mv.,129.0,270.0,36670.0,39740.0,92.27478610971313,-3070.0,32.33082706766917
Nett- og multimediautviklere,118.0,460.0,45830.0,50000.0,91.66,-4170.0,20.415224913494807
Offiserer fra fenrik og høyere grad,613.0,5055.0,61290.0,69970.0,87.59468343575818,-8680.0,10.815102328863798
Operatører innen boring mv.,1137.0,12161.0,62940.0,65160.0,96.59300184162063,-2220.0,8.550157918483983
Operatører innen glass- og keramisk produksjon,239.0,1121.0,33990.0,37530.0,90.5675459632294,-3540.0,17.573529411764703
Operatører innen kjemisk industri,1598.0,8036.0,44690.0,49120.0,90.98127035830619,-4430.0,16.58708739879593
Operatører innen metallurgiske prosessfag,1003.0,7078.0,37980.0,40110.0,94.68960359012715,-2130.0,12.411830219032298
Operatører innen næringsmiddelproduksjon,10847.0,17615.0,35170.0,37120.0,94.74676724137932,-1950.0,38.11046307357178
Operatører innen plastprodukter,404.0,2171.0,35770.0,38350.0,93.27249022164277,-2580.0,15.689320388349515
Operatører innen tekstilproduksjon mv.,463.0,536.0,35420.0,37250.0,95.08724832214766,-1830.0,46.346346346346344
Operatører innen treforedling,454.0,2769.0,35420.0,38160.0,92.81970649895179,-2740.0,14.086255041886442
Operatører innen trelastproduksjon,366.0,3732.0,35620.0,36890.0,96.55733261046355,-1270.0,8.931185944363104
Optikere,913.0,488.0,46130.0,50550.0,91.25618199802176,-4420.0,65.16773733047823
Organisasjonsrådgivere mv.,6122.0,7022.0,54170.0,64070.0,84.5481504604339,-9900.0,46.57638466220328
Overflatebehandlere og lakkerere,215.0,3659.0,37990.0,39290.0,96.691270043268,-1300.0,5.54981930820857
"Oversettere, tolker mv.",3249.0,1888.0,42630.0,41460.0,102.82199710564399,1170.0,63.24703134124976
PR- og informasjonssjefer,790.0,943.0,66670.0,69790.0,95.52944547929502,-3120.0,45.585689555683786
"Pakke-, tappe- og etikettmaskinoperatører",286.0,568.0,37000.0,42440.0,87.181903864279,-5440.0,33.48946135831382
Personal- og karriererådgivere,10192.0,3905.0,53580.0,58290.0,91.9197117858981,-4710.0,72.29907072426758
Personalsjefer,1397.0,760.0,74740.0,79400.0,94.1309823677582,-4660.0,64.76587853500232
Plante- og husdyrprodusenter (kombinasjonsbruk),2223.0,5488.0,30000.0,31250.0,96.0,-1250.0,28.82894566204124
Politibetjenter mv.,4269.0,7876.0,50230.0,54110.0,92.8294215486971,-3880.0,35.150267599835324
Politikere,1229.0,1539.0,69980.0,74100.0,94.43994601889338,-4120.0,44.40028901734104
Postbud og postsorterere,1535.0,2140.0,38020.0,37900.0,100.31662269129286,120.0,41.76870748299319
Produkt- og klesdesignere,518.0,351.0,49400.0,58330.0,84.69055374592834,-8930.0,59.60874568469505
Programledere i TV og radio,178.0,182.0,52930.0,54010.0,98.00037030179595,-1080.0,49.44444444444444
Programvareutviklere,821.0,5546.0,55910.0,62500.0,89.456,-6590.0,12.894612847494896
Protese- og tannteknikere,524.0,506.0,44430.0,47370.0,93.79354021532616,-2940.0,50.873786407766985
Psykologer,6907.0,1900.0,54000.0,61380.0,87.97653958944281,-7380.0,78.42625184512319
Radiografer mv.,2274.0,813.0,47430.0,49050.0,96.69724770642202,-1620.0,73.66375121477162
Regissører,564.0,801.0,50660.0,53420.0,94.8333957319356,-2760.0,41.318681318681314
Regnskapsførere,13310.0,6332.0,48930.0,53800.0,90.94795539033457,-4870.0,67.76295692902963
Regnskapsmedarbeidere,15057.0,4548.0,45460.0,46340.0,98.1009926629262,-880.0,76.8018362662586
Reisebyråmedarbeidere mv.,2486.0,1265.0,38410.0,40020.0,95.97701149425288,-1610.0,66.27565982404691
Reiseledere og guider,790.0,644.0,33490.0,33440.0,100.14952153110048,50.0,55.090655509065556
Reklame- og markedsføringsrådgivere,5092.0,3300.0,50000.0,54170.0,92.30201218386561,-4170.0,60.67683508102956
Religiøse yrker,2246.0,1281.0,42390.0,41190.0,102.91332847778587,1200.0,63.68018145732918
