region,Arbeider i regionen,Bor i regionen
Alstahaug,46000.0,46030.0
Alta,45840.0,46500.0
Alvdal,43220.0,42930.0
Alver,46260.0,47360.0
Andøy,47340.0,46220.0
Aremark,46950.0,44740.0
Arendal,46810.0,46930.0
Asker,47730.0,53370.0
Askvoll,45000.0,46960.0
Askøy,45500.0,48000.0
Aukra,45960.0,46010.0
Aure,45880.0,47890.0
Aurland,42090.0,44000.0
Aurskog-Høland,41500.0,43850.0
Austevoll,48550.0,47900.0
Austrheim,44700.0,47430.0
Averøy,44740.0,48440.0
Balsfjord,44100.0,44550.0
Bamble,46030.0,47050.0
Bardu,45640.0,46120.0
Beiarn,40050.0,42790.0
Bergen,48920.0,49000.0
Berlevåg,40000.0,42580.0
Bindal,46420.0,45400.0
Birkenes,42220.0,44600.0
Bjerkreim,44000.0,45400.0
Bjørnafjorden,45200.0,47690.0
Bodø,47580.0,47940.0
Bokn,49490.0,51170.0
Bremanger,46290.0,47000.0
Brønnøy,45350.0,46620.0
Bygland,43260.0,44240.0
Bykle,42670.0,44150.0
Båtsfjord,40590.0,40510.0
Bærum,56430.0,58330.0
Bø,44290.0,43590.0
Bømlo,47580.0,48710.0
Tana,43830.0,44820.0
Dovre,41520.0,41800.0
Drammen,46300.0,46670.0
Drangedal,43390.0,45300.0
Dyrøy,43110.0,43600.0
Dønna,47140.0,47200.0
Eidfjord,45100.0,45630.0
Eidskog,41240.0,42270.0
Eidsvoll,43520.0,45790.0
Eigersund,45470.0,46930.0
Elverum,45260.0,45620.0
Enebakk,41580.0,46020.0
Engerdal,40100.0,40650.0
Etne,42220.0,45830.0
Etnedal,40120.0,43330.0
Evenes,44830.0,43520.0
Evje og Hornnes,42710.0,44170.0
Farsund,44260.0,45240.0
Fauske,44390.0,45830.0
Fitjar,42980.0,46310.0
Fjaler,45220.0,45860.0
Fjord,44290.0,44500.0
Flakstad,40000.0,43030.0
Flatanger,49160.0,45580.0
Flekkefjord,46440.0,47450.0
Flesberg,42390.0,46050.0
Flå,42290.0,42710.0
Folldal,42870.0,42560.0
Fredrikstad,44170.0,45900.0
Frogn,43930.0,51820.0
Froland,43780.0,44500.0
Frosta,36000.0,41310.0
Frøya,45140.0,44250.0
Fyresdal,43810.0,45940.0
Færder,44910.0,49320.0
Gamvik,38310.0,40280.0
Gausdal,42500.0,42910.0
Gildeskål,45610.0,45700.0
Giske,45140.0,46600.0
Gjemnes,44110.0,45290.0
Gjerdrum,43000.0,50000.0
Gjerstad,42950.0,43440.0
Gjesdal,43590.0,46750.0
Gjøvik,44880.0,46040.0
Gloppen,44850.0,45860.0
Gol,42000.0,42810.0
Gran,42390.0,45330.0
Grane,38610.0,40920.0
Gratangen,40650.0,41710.0
Grimstad,45000.0,46510.0
Grong,44760.0,44670.0
Grue,41730.0,42000.0
Gulen,42500.0,44700.0
Kautokeino,44980.0,44910.0
Kåfjord,45510.0,44960.0
Hadsel,45360.0,45280.0
Halden,45810.0,45630.0
Hamar,48060.0,48820.0
Hamarøy,43970.0,45790.0
Hammerfest,46610.0,46650.0
Hareid,47030.0,45210.0
Harstad,45990.0,46600.0
Hasvik,40990.0,40850.0
Hattfjelldal,41060.0,41960.0
Haugesund,48270.0,48630.0
Heim,44940.0,46150.0
Hemnes,44580.0,43530.0
Hemsedal,39860.0,43030.0
Herøy – Møre og Romsdal,48940.0,48310.0
Herøy – Nordland,45310.0,45350.0
Hitra,41560.0,44060.0
Hjartdal,41710.0,45720.0
Hjelmeland,45470.0,45630.0
Hol,40590.0,42390.0
Hole,43000.0,50000.0
Holmestrand,44130.0,46600.0
Holtålen,42220.0,43450.0
Horten,47000.0,46590.0
Hurdal,43640.0,44620.0
Hustadvika,43750.0,44850.0
Hvaler,43440.0,48320.0
Hyllestad,44410.0,45200.0
Hå,44690.0,45470.0
Hægebostad,43750.0,45790.0
Høyanger,42930.0,46240.0
Høylandet,43800.0,45000.0
Ibestad,45670.0,45270.0
Inderøy,42720.0,45890.0
Indre Fosen,43630.0,44530.0
Indre Østfold,42990.0,44650.0
Iveland,41320.0,43840.0
Jevnaker,44130.0,45030.0
Karlsøy,42980.0,43350.0
Karmøy,46210.0,48130.0
Kinn,44000.0,46270.0
Klepp,44690.0,46460.0
Kongsberg,51400.0,50660.0
Kongsvinger,44210.0,45260.0
Kragerø,43960.0,45790.0
Kristiansand,46930.0,47290.0
Kristiansund,45810.0,46280.0
Krødsherad,41670.0,43330.0
Kvam,45640.0,47560.0
Kvinesdal,45400.0,46210.0
Kvinnherad,45750.0,48090.0
Kviteseid,44480.0,46330.0
Kvitsøy,43640.0,46770.0
Kvæfjord,45140.0,44590.0
Kvænangen,46340.0,45300.0
Karasjok,47500.0,46670.0
Larvik,44610.0,45420.0
Lebesby,44550.0,44120.0
Leirfjord,44650.0,45890.0
Leka,48120.0,47900.0
Lesja,38970.0,41530.0
Levanger,45420.0,46000.0
Lier,44580.0,49200.0
Lierne,39960.0,42730.0
Lillehammer,46120.0,47740.0
Lillesand,45650.0,47630.0
Lillestrøm,46560.0,48640.0
Lindesnes,44650.0,46460.0
Lavangen,44590.0,44430.0
Lom,40880.0,42850.0
Loppa,41530.0,44370.0
Lund,43290.0,43840.0
Lunner,43960.0,46440.0
Lurøy,49270.0,49170.0
Luster,40450.0,43720.0
Lyngdal,43840.0,44700.0
Lyngen,43590.0,45060.0
Lærdal,43190.0,44530.0
Lødingen,44600.0,43820.0
Lørenskog,46530.0,48500.0
Løten,42840.0,44230.0
Malvik,45020.0,49230.0
Marker,42680.0,42920.0
Masfjorden,44210.0,46070.0
Melhus,44000.0,45500.0
Meløy,46380.0,47650.0
Meråker,41390.0,42780.0
Midt-Telemark,43710.0,45820.0
Midtre Gauldal,43220.0,43030.0
Modum,46000.0,44660.0
Molde,46360.0,47480.0
Moskenes,38650.0,41350.0
Moss,45320.0,47440.0
Målselv,45360.0,44850.0
Måsøy,39850.0,44220.0
Namsos,45000.0,45980.0
Namsskogan,45180.0,44890.0
Nannestad,43030.0,45070.0
Narvik,46280.0,46750.0
Nes,42380.0,45300.0
Nesbyen,40820.0,43440.0
Nesna,44890.0,45690.0
Nesodden,45180.0,52930.0
Nissedal,43270.0,44650.0
Nittedal,47210.0,50370.0
Nome,43400.0,44860.0
Nord-Aurdal,42880.0,43750.0
Nord-Fron,43230.0,45720.0
Nord-Odal,43470.0,44010.0
Nordkapp,43280.0,44180.0
Nordre Follo,47320.0,52610.0
Nordre Land,40690.0,42500.0
Nordreisa,44670.0,45260.0
Nore og Uvdal,42090.0,42350.0
Notodden,44290.0,45350.0
Nærøysund,44620.0,45920.0
Oppdal,43000.0,44060.0
Orkland,44050.0,44550.0
Os,42130.0,40780.0
Osen,41250.0,43030.0
Oslo,52420.0,51280.0
Osterøy,44630.0,45000.0
Overhalla,44130.0,45000.0
Porsanger,44490.0,44980.0
Porsgrunn,48260.0,47630.0
Rakkestad,40960.0,42560.0
Rana,45110.0,45530.0
Randaberg,46320.0,50000.0
Rauma,43210.0,44330.0
Rendalen,40770.0,42750.0
Rennebu,44820.0,43860.0
Rindal,43470.0,43910.0
Ringebu,41410.0,42390.0
Ringerike,44490.0,44970.0
Ringsaker,43850.0,44450.0
Risør,43460.0,45910.0
Rollag,39290.0,41500.0
Råde,41940.0,45510.0
Rælingen,45440.0,48790.0
Rødøy,49870.0,49830.0
Røros,40020.0,42000.0
Røst,37920.0,40280.0
Salangen,44660.0,45230.0
Saltdal,47020.0,46430.0
Samnanger,43350.0,47350.0
Sande,41900.0,44250.0
Sandefjord,44930.0,45880.0
Sandnes,49710.0,48960.0
Sarpsborg,45000.0,44490.0
Sauda,46690.0,47740.0
Sel,41800.0,42980.0
Selbu,41390.0,43660.0
Seljord,43330.0,45470.0
Senja,44010.0,45000.0
Sigdal,39930.0,42400.0
Siljan,43320.0,45370.0
Sirdal,46720.0,46600.0
Skaun,43840.0,47210.0
Skien,45000.0,46090.0
Skiptvet,43620.0,44060.0
Skjervøy,40330.0,42290.0
Skjåk,39730.0,40000.0
Smøla,45260.0,45580.0
Snåsa,43460.0,44010.0
