region,Kvinner,Menn,Forskjell i lønn nominelt,Forskjell i lønn andel
Aarborte - Hattfjelldal,50000.0,46670.0,3330.0,107.13520462824084
Alstahaug,52340.0,55400.0,-3060.0,94.47653429602887
Alvdal,49940.0,50000.0,-60.0,99.88
Alver,51640.0,59010.0,-7370.0,87.51059142518217
Andøy,50620.0,55460.0,-4840.0,91.27298954201225
Arendal,52630.0,56000.0,-3370.0,93.98214285714286
Askvoll,53430.0,56210.0,-2780.0,95.05426080768547
Askøy,52930.0,58820.0,-5890.0,89.98639918395104
Aukra,50380.0,54370.0,-3990.0,92.66139415118631
Aure,53470.0,55880.0,-2410.0,95.68718682891911
Aurland,48550.0,50420.0,-1870.0,96.29115430384768
Austevoll,52030.0,60960.0,-8930.0,85.35104986876641
Austrheim,50920.0,60000.0,-9080.0,84.86666666666667
Averøy,52230.0,56800.0,-4570.0,91.95422535211267
Bergen,54750.0,59980.0,-5230.0,91.28042680893631
Bindal,52450.0,52300.0,150.0,100.2868068833652
Birkenes,50000.0,52820.0,-2820.0,94.66111321469141
Bjerkreim,51500.0,53620.0,-2120.0,96.04625139873181
Bjørnafjorden,52610.0,58350.0,-5740.0,90.16281062553556
Bodø,54160.0,57280.0,-3120.0,94.55307262569832
Bokn,51850.0,63040.0,-11190.0,82.2493654822335
Bremanger,51620.0,56830.0,-5210.0,90.83230688016893
Brønnøy,51290.0,55070.0,-3780.0,93.1360087161794
Bygland,51700.0,51200.0,500.0,100.9765625
Bykle,51400.0,49650.0,1750.0,103.52467270896273
Bø,50260.0,52460.0,-2200.0,95.80632863133816
Bømlo,52320.0,59950.0,-7630.0,87.27272727272727
Dovre,47240.0,50800.0,-3560.0,92.99212598425197
Dønna,53360.0,55510.0,-2150.0,96.12682399567646
Eidfjord,51710.0,55930.0,-4220.0,92.45485428213838
Eidskog,50590.0,49540.0,1050.0,102.11949939442874
Eigersund,51480.0,56310.0,-4830.0,91.42248268513585
Elverum,52030.0,54360.0,-2330.0,95.71376011773363
Engerdal,50700.0,45140.0,5560.0,112.31723526805494
Etne,51160.0,55350.0,-4190.0,92.42999096657634
Etnedal,52240.0,49360.0,2880.0,105.83468395461912
Evenes,49140.0,54150.0,-5010.0,90.74792243767314
Evje og Hornnes,51360.0,51670.0,-310.0,99.40003870718019
Farsund,50000.0,54720.0,-4720.0,91.37426900584795
Fauske,51290.0,55000.0,-3710.0,93.25454545454545
Fitjar,50790.0,55920.0,-5130.0,90.82618025751073
