,næring (SN2007),foreløpige og endelig tall,statistikkvariabel,måned,value,endring,endring i pst
1,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2016M11,34930.0,-160.0,-0.4559703619264721
2,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2016M12,35740.0,810.0,2.3189235614085257
3,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2017M01,35330.0,-410.0,-1.1471740346950199
4,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2017M02,35390.0,60.0,0.16982734220210016
5,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2017M03,35470.0,80.0,0.2260525572195471
6,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2017M04,35600.0,130.0,0.36650690724555623
7,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2017M05,35610.0,10.0,0.02808988764044784
8,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2017M06,35630.0,20.0,0.05616399887671264
9,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2017M07,35690.0,60.0,0.16839741790626306
10,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2017M08,35820.0,130.0,0.36424768842813204
11,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2017M09,35970.0,150.0,0.41876046901172526
12,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2017M10,35910.0,-60.0,-0.16680567139282232
13,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2017M11,36040.0,130.0,0.36201615148983013
14,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2017M12,36410.0,370.0,1.0266370699222982
15,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2018M01,36310.0,-100.0,-0.27464982147761274
16,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2018M02,36450.0,140.0,0.3855687138529351
17,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2018M03,36250.0,-200.0,-0.5486968449931462
18,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2018M04,36820.0,570.0,1.5724137931034443
19,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2018M05,36730.0,-90.0,-0.2444323737099352
20,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2018M06,36850.0,120.0,0.32670841274162754
21,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2018M07,36530.0,-320.0,-0.8683853459972912
22,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2018M08,36850.0,320.0,0.8759923350670773
23,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2018M09,36970.0,120.0,0.32564450474898976
24,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2018M10,37210.0,240.0,0.6491750067622482
25,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2018M11,37440.0,230.0,0.6181134103735664
26,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2018M12,37660.0,220.0,0.5876068376068355
27,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2019M01,37540.0,-120.0,-0.31864046733934837
28,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2019M02,37940.0,400.0,1.0655301012253648
29,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2019M03,37810.0,-130.0,-0.3426462836056965
30,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2019M04,37900.0,90.0,0.2380322665961332
31,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2019M05,38060.0,160.0,0.4221635883905117
32,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2019M06,38180.0,120.0,0.31529164477142047
33,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2019M07,38400.0,220.0,0.5762179151388214
34,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2019M08,38460.0,60.0,0.15624999999999112
35,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2019M09,38530.0,70.0,0.1820072802912076
36,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2019M10,38720.0,190.0,0.4931222424085169
37,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2019M11,38760.0,40.0,0.10330578512396382
38,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2019M12,38760.0,0.0,0.0
39,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2020M01,39060.0,300.0,0.7739938080495445
40,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2020M02,39200.0,140.0,0.35842293906809264
41,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2020M03,38840.0,-360.0,-0.9183673469387754
42,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2020M04,37990.0,-850.0,-2.1884654994850705
43,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2020M05,38900.0,910.0,2.3953672018952377
44,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2020M06,40630.0,1730.0,4.447300771208229
45,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2020M07,39480.0,-1150.0,-2.8304208712773837
46,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2020M08,39530.0,50.0,0.1266464032421588
47,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2020M09,39490.0,-40.0,-0.10118897040222175
48,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2020M10,39700.0,210.0,0.5317801975183611
49,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2020M11,39660.0,-40.0,-0.1007556675063026
50,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2020M12,40740.0,1080.0,2.7231467473525006
51,Alle næringer,Endelige tall,"Gjennomsnittlig kontantlønn (kr), sesongjustert",2021M01,40390.0,-350.0,-0.8591065292096189
