yrke,2016,2017,2018,2019,2020,Endring sist år,Endring siste 5 år
Akademiske yrker,49740,51040,52550,54420,55090,1.2311650128629181,10.755930840369924
Alle yrker,43640,44660,46010,47720,48750,2.1584241408214586,11.709440879926673
"Bønder, fiskere mv.",32350,33580,34750,35850,36920,2.98465829846583,14.126738794435859
Håndverkere,36570,37490,38440,39810,40640,2.084903290630495,11.129340989882417
Høyskole- og militære yrker,48690,49680,51300,53280,54260,1.8393393393393391,11.43972068186486
Kontoryrker,36770,37680,38810,40080,40990,2.2704590818363273,11.476747348381833
Ledere,64020,65600,67680,70100,71270,1.66904422253923,11.324586066854108
"Prosess- og maskinoperatører, transportarbeidere mv.",37400,38090,39210,40560,41280,1.7751479289940828,10.37433155080214
"Renholdere, hjelpearbeidere mv.",31080,31790,32790,33890,34640,2.2130421953378576,11.454311454311455
Salgs- og serviceyrker,32580,33350,34240,35400,36080,1.92090395480226,10.742786985880908
