yrke,Sist år,Endring sist år,Endring siste 5 år
Administrerende direktører,90460.0,4.917652516817443,14.173924018679793
Advokatsekretær,46530.0,2.1963540522732266,13.515491583313002
Agroteknikere,49550.0,4.2499474016410685,13.153688056633936
Allmennpraktiserende leger,75340.0,3.731240534214512,10.420636083834092
Altmuligmann,37430.0,4.349038193476443,14.08107284364523
Ambulansepersonell,46680.0,3.733333333333334,10.616113744075829
Andre administrative ledere,75300.0,5.152911604524508,13.165013525698827
Andre bygningsarbeidere,39680.0,3.468057366362451,11.523327712197865
Andre daglige ledere i tjenesteytende virksomheter,53690.0,2.677376171352075,6.654747715534366
Andre helseyrker,44790.0,4.090169649082036,11.640079760717846
Andre hjelpearbeidere,34250.0,-1.7780326928591914,7.942010715411282
Andre hjelpearbeidere i industri,41650.0,4.098975256185954,18.122518434486672
Andre håndverkere,34470.0,3.7003610108303246,14.976651100733823
Andre ingeniører,59970.0,4.060385216033316,11.572093023255814
Andre juridiske yrker,66480.0,7.208514755684567,5.223171889838556
Andre kunsthåndverkere,39460.0,0.9723643807574206,15.888399412628488
Andre ledere av produksjon og tjenesteyting,75850.0,3.492973120480284,13.259668508287293
Andre lærere,51810.0,2.31042654028436,10.046728971962617
Andre musikklærere,48790.0,6.019122120817036,12.992125984251967
Andre opplysningsmedarbeidere,41890.0,-1.7819460726846426,10.29489204844655
Andre pleiemedarbeidere,37570.0,4.07202216066482,10.014641288433381
Andre programvare- og applikasjonsutviklere,65480.0,4.31734905209495,14.978050921861282
Andre salgsmedarbeidere,40110.0,2.347537637152335,14.175918018787362
Andre sikkerhetsarbeidere,36500.0,4.644495412844036,14.205256570713393
Andre sivilingeniører (unntatt elektroteknologi),72910.0,2.7046062825750106,9.738109572546659
Andre yrker innen estetiske fag,48520.0,6.28696604600219,13.896713615023474
Andre yrker innen offentlig forvaltning,45780.0,4.401368301026226,13.795674869500374
Anleggsmaskin- og industrimekanikere,44530.0,3.413841151881096,12.421105781368341
Anleggsmaskinførere,43540.0,3.2242769084874348,12.361290322580645
Applikasjonsprogrammerere,62750.0,4.653102068045364,12.535868005738882
Arbeidsformidlere,51340.0,10.885529157667387,41.58852730281302
"Arbeidsleder, bergfag",59990.0,4.548623213663297,10.846267553584626
"Arbeidsleder, bygg og anlegg",56920.0,3.265602322206096,11.78318931657502
"Arbeidsleder, industri",51260.0,3.597413096200485,12.264564169951818
Arbeidsledere for kontorpersonell,61660.0,4.2258282623394186,13.953058584365182
Arealplanleggere,58530.0,5.005382131324004,10.538243626062323
Arkivarer og kuratorer,48590.0,2.66215930699345,11.189931350114417
Arkivassistenter,44100.0,3.0133146461107216,12.557427258805513
Audiografer og logopeder,46260.0,4.330175913396482,15.2753550959382
Automatikere,50070.0,3.621688741721854,10.529801324503312
"Bakere, konditorer mv.",37340.0,5.899035734543392,12.605548854041013
Barnehage- og skolefritidsassistenter mv.,34340.0,4.0606060606060606,11.63849154746424
Bartendere,32120.0,4.150453955901426,18.523985239852397
Befal med sersjant grad,60650.0,16.29913710450623,47.89075835162156
Begravelsesbyrå- og krematoriearbeidere,46960.0,3.8708250387082503,13.980582524271846
Bergfagarbeidere,45660.0,3.186440677966101,10.986874088478366
Betongarbeidere,43990.0,2.7803738317757007,12.10499490316004
Bibliotekarer og andre informasjonsarbeidere,45310.0,3.047532408460314,10.701197165892989
"Bil-, drosje- og varebilførere",36970.0,5.749427917620138,12.234365513054039
Billettselgere,39410.0,2.1513737687921206,11.643059490084987
Bilmekanikere,40130.0,3.561290322580645,12.883263009845288
Bilvaskere,35330.0,4.7746144721233685,14.894308943089433
"Bingoverter, bookmakere mv.",32680.0,2.7027027027027026,9.554140127388536
Bioingeniører,46820.0,4.415700267618198,12.548076923076923
"Biologer, botanikere, zoologer mv.",60720.0,2.758503976984261,10.179640718562874
Bioteknikere (ikke-medisinske laboratorier),44670.0,3.498609823911029,13.203243791180943
Brannkonstabler,51770.0,3.6436436436436437,11.333333333333332
"Brukerstøtte, IKT",50070.0,3.429043586035943,16.740498950804383
Bud mv.,36970.0,10.22659511031604,17.851450430347466
Bussjåfører og trikkeførere,38940.0,4.1454934474458405,10.90857305610937
Butikkavdelingssjefer,43200.0,3.721488595438175,12.97071129707113
Butikkmedarbeidere,36770.0,4.430559500142005,16.545166402535656
Bygningsingeniører,58650.0,4.32230522945571,12.034383954154727
Databasedesignere og -administratorer,63860.0,5.553719008264463,16.13020549190762
Dataregistrere,50880.0,7.614213197969544,25.62962962962963
Dekks- og maskinmannskap (skip),46160.0,3.0587184639428444,11.551474142097632
Dekksoffiserer og loser,68760.0,2.872531418312388,10.262989095574087
Desinfeksjonsarbeidere og skadedyrbekjempere,41330.0,-0.3375934410417169,6.164911379398921
"Dirigenter, komponister, musikere og sangere",53290.0,4.592737978410206,12.402446741193842
Dommere,86040.0,2.6240458015267176,10.138248847926267
"Driftsteknikere, IKT",57230.0,4.970652971386647,14.528717230338204
Dyrepassere og - trenere mv.,34130.0,2.155043400179587,16.60403143149983
Dyrepleiere,35540.0,5.648038049940547,18.38774150566289
Dørselgere,50410.0,11.848236077213224,16.527970411465557
Egg- og fjærfeprodusenter,38620.0,6.0989010989010985,23.34717342702012
Eiendomsmeglere og - forvaltere,76420.0,2.3984992630309527,17.695980286462344
Elektrikere,43920.0,1.7373175816539264,9.498878085265519
Elektronikkingeniører,61720.0,4.116059379217274,11.448176236908632
Elkraftingeniører,62260.0,3.6975349766822116,10.62544420753376
Energikontrolloperatører,59950.0,6.08741815607857,21.998371998371997
Energimontører,46110.0,7.45746912141692,13.042412355969601
Ergoterapeuter,44340.0,5.270655270655271,12.509515351433645
Ernæringsfysiologer,54130.0,4.036133000192197,8.957326892109501
Farmasøyter,55960.0,4.344583255640499,10.59288537549407
"Feiere, fasaderenholdere mv.",40530.0,4.593548387096774,12.33370288248337
Fengselsbetjenter,44140.0,2.3180343069077423,9.528535980148883
Finans- og investeringsrådgivere,69700.0,4.82779365318093,15.206611570247933
Finans- og økonomisjefer,97690.0,7.163229486616937,20.14512360103308
Finansanalytikere,69300.0,4.446119065561416,14.450867052023122
Finansmeglere,104520.0,8.187558223786358,12.194074710176041
Fiskere,45590.0,6.643274853801169,22.389261744966444
Flygeledere,99050.0,4.329049926269223,19.236788250872756
Flygere,94240.0,0.39416213912858206,10.545454545454545
"Flyverter, båtverter mv.",36110.0,-9.725,5.0625545533895835
Forfattere mv.,58540.0,4.089615931721195,11.102676029607137
Forsikrings- og finansmedarbeidere,47550.0,3.257328990228013,10.529986052998606
Forsikringsagenter,62130.0,4.105227882037534,14.041850220264319
Forsknings- og utviklingsledere,89570.0,7.064307912981114,14.862785329571684
Fotografer og filmfotografer,49310.0,3.9418212478920744,15.453055490517443
Frisører,34060.0,6.105919003115265,16.643835616438356
Fyrkjele- og turbinoperatører,46370.0,4.225668689593167,13.512851897184822
Fysikere og astronomer,65530.0,3.148118998898158,8.980542158656245
Fysioterapeuter,45740.0,5.708342962791773,13.922789539227894
Førskolelærere,43690.0,5.049290694878576,12.69022440030952
Førtrykkere,42310.0,2.1980676328502415,9.526274915868497
Gartnere,35350.0,2.434077079107505,7.938931297709924
Gatekjøkken- og kafémedarbeidere mv.,30060.0,4.447533009034052,14.689049980923311
Geistlige yrker,56370.0,5.4236020198242,10.986414648552865
Geologer og geofysikere,89400.0,3.532136653155762,10.152784622966978
Gjenvinningsarbeidere,36520.0,3.1347077096865297,12.855377008652658
Glassarbeidere,40050.0,3.6758995599275175,12.848689771766693
Grafiske- og multimediadesignere,52540.0,4.828411811652035,16.264660323080328
Grunnskolelærere,49070.0,4.962566844919786,10.817524841915086
"Gull- og sølvsmeder, gravører mv.",40320.0,3.6770377989200314,15.66265060240964
Gulv- og flisleggere,41680.0,3.2961586121437425,16.620033575825406
Handels- og skipsmeglere,115060.0,-7.194708824003872,23.866939390677146
Havbruksarbeidere,47820.0,3.3945945945945946,12.04311152764761
Helse- og miljøkontrollører,62030.0,3.5040881027865844,11.46451033243486
Helsefagarbeidere,40070.0,3.8621047174701917,11.522404675758418
Helsesekretærer,37560.0,3.3571821684094663,10.927347903130538
Hjelpearbeidere i anlegg,39870.0,3.263403263403263,12.850268893291819
Hjelpearbeidere i bygg,36480.0,3.9020222158929077,14.178403755868544
