yrke,Sum alle sektorer,Privat sektor og offentlige eide foretak,Statsforvaltningen,Kommuneforvaltningen
Administrerende direktører,96570.0,96430.0,118640.0,86580.0
Allmennpraktiserende leger,78430.0,84060.0,74310.0,79330.0
Altmuligmann,39610.0,39290.0,41790.0,37970.0
Ambulansepersonell,50260.0,61910.0,49710.0,
Andre administrative ledere,78200.0,88480.0,78720.0,65670.0
Andre helseyrker,46880.0,45950.0,,48090.0
Andre ingeniører,62880.0,64300.0,54850.0,55990.0
Andre juridiske yrker,70120.0,75640.0,60080.0,
Andre ledere av produksjon og tjenesteyting,79690.0,84580.0,75450.0,67890.0
Andre lærere,54390.0,55070.0,54060.0,46050.0
Andre pleiemedarbeidere,38830.0,38720.0,39390.0,38760.0
Andre programvare- og applikasjonsutviklere,68270.0,69120.0,54090.0,53890.0
Andre sikkerhetsarbeidere,37770.0,36640.0,,38720.0
Andre sivilingeniører (unntatt elektroteknologi),76780.0,80130.0,65340.0,
Andre yrker innen estetiske fag,50210.0,51800.0,49610.0,44750.0
Andre yrker innen offentlig forvaltning,47950.0,51460.0,51830.0,45820.0
Anleggsmaskin- og industrimekanikere,46850.0,47420.0,34020.0,42620.0
Anleggsmaskinførere,45460.0,45770.0,,43260.0
"Arbeidsleder, bygg og anlegg",59600.0,60310.0,,48090.0
Arbeidsledere for kontorpersonell,65270.0,66890.0,59410.0,61070.0
Arealplanleggere,61300.0,63660.0,,57640.0
Arkivarer og kuratorer,50330.0,49790.0,51950.0,49170.0
Arkivassistenter,46880.0,47580.0,46940.0,45920.0
Audiografer og logopeder,48260.0,51180.0,45150.0,
Barnehage- og skolefritidsassistenter mv.,34970.0,34220.0,47500.0,35160.0
Bibliotekarer og andre informasjonsarbeidere,47270.0,49600.0,47820.0,46440.0
"Bil-, drosje- og varebilførere",38400.0,38150.0,46330.0,40920.0
Bilmekanikere,42030.0,41300.0,55370.0,
Bioingeniører,49230.0,51950.0,48460.0,
"Biologer, botanikere, zoologer mv.",63030.0,64570.0,60520.0,
Bioteknikere (ikke-medisinske laboratorier),46220.0,47450.0,43160.0,
Brannkonstabler,53510.0,55190.0,,53130.0
"Brukerstøtte, IKT",53100.0,53300.0,50760.0,
Bygningsingeniører,61260.0,63710.0,51960.0,57720.0
Dekksoffiserer og loser,71130.0,71140.0,71350.0,
"Dirigenter, komponister, musikere og sangere",53670.0,50380.0,57450.0,51300.0
"Driftsteknikere, IKT",60460.0,63290.0,53650.0,44930.0
Elektrikere,46190.0,46240.0,44710.0,43640.0
Elektronikkingeniører,64540.0,64630.0,62390.0,
Ergoterapeuter,45740.0,47330.0,47760.0,44960.0
Ernæringsfysiologer,56420.0,60200.0,50600.0,
Farmasøyter,57570.0,57580.0,57560.0,
"Feiere, fasaderenholdere mv.",42120.0,38610.0,,42820.0
Finans- og økonomisjefer,101160.0,102900.0,86180.0,71140.0
Finansanalytikere,71550.0,72440.0,56780.0,55900.0
Forfattere mv.,60930.0,59430.0,76060.0,
Forsknings- og utviklingsledere,91890.0,93550.0,83200.0,
Fyrkjele- og turbinoperatører,47970.0,49740.0,,47010.0
Fysikere og astronomer,68380.0,74170.0,58630.0,
Fysioterapeuter,47320.0,52100.0,46360.0,45190.0
Førskole-/barnehagelærere,43640.0,42610.0,,44370.0
Gartnere,37520.0,37050.0,,40010.0
Geistlige yrker,56070.0,48920.0,59130.0,50180.0
Geologer og geofysikere,92570.0,95570.0,63420.0,
Gjenvinningsarbeidere,38010.0,37640.0,,38940.0
Grunnskolelærere,49330.0,48120.0,,49390.0
Helse- og miljøkontrollører,64910.0,70290.0,51340.0,
Helsefagarbeidere,41790.0,41270.0,43490.0,41700.0
Helsesekretærer,39490.0,39540.0,39410.0,39620.0
Hjelpearbeidere i anlegg,42190.0,42280.0,,38180.0
Hjelpearbeidere i gartneri mv.,36930.0,36730.0,,37710.0
Hjemmehjelper,38180.0,38540.0,,37910.0
Høyere saksbehandlere i offentlig og privat virksomhet,56070.0,66990.0,54950.0,54520.0
Informasjonsrådgivere,60330.0,62350.0,56660.0,53210.0
Innkjøpere,59430.0,59520.0,57850.0,
Jordmødre,60290.0,,62600.0,54510.0
Journalister,58860.0,59800.0,56470.0,
Jurister og advokater,77930.0,82150.0,65590.0,70980.0
Kjemiingeniører,61740.0,63050.0,45850.0,
Kjøkkenassistenter,33230.0,32770.0,38630.0,36370.0
Kokker,38860.0,38720.0,41140.0,38880.0
Kontormedarbeidere,45710.0,47210.0,42610.0,41300.0
Kundesentermedarbeidere,43140.0,43090.0,,44290.0
Lagermedarbeidere og material-forvaltere,43780.0,43780.0,43680.0,
"Landmålere, kartografer mv.",57590.0,58830.0,53210.0,59300.0
Ledere av IKT-enheter,90970.0,91730.0,75960.0,
Ledere av bygge- og anleggsvirksomhet,70970.0,71480.0,72710.0,59940.0
Ledere av eldreomsorg,66130.0,,61800.0,67530.0
Ledere av helsetjenester,70910.0,69220.0,78020.0,60660.0
Ledere av logistikk og transport mv.,75060.0,75130.0,73180.0,
Ledere av omsorgstjenester for barn,59460.0,57290.0,70020.0,61040.0
Ledere av sosialomsorg,62420.0,62740.0,,59450.0
Ledere av utdanning og undervisning,67590.0,68000.0,76670.0,66400.0
"Ledere i skogbruk, gartnerier mv.",66620.0,74460.0,,57800.0
Legespesialister,95650.0,101780.0,95040.0,
Lektorer mv. (videregående skole),53120.0,53350.0,,53090.0
Logistikkmedarbeidere,50180.0,50530.0,41410.0,
Lønningsmedarbeidere,50700.0,51340.0,,46810.0
Maskiningeniører,59780.0,59960.0,52010.0,
"Matematikere, statistikere mv.",61940.0,74790.0,54440.0,
Metalldreiere mv.,42500.0,42430.0,,44110.0
Miljøarbeidere innen sosiale fagfelt,46260.0,45740.0,49020.0,45890.0
Organisasjonsrådgivere mv.,72350.0,74110.0,63880.0,51840.0
"Oversettere, tolker mv.",46700.0,46460.0,52350.0,41980.0
PR- og informasjonssjefer,78820.0,78520.0,86920.0,
Personal- og karriererådgivere,62720.0,66160.0,56890.0,54660.0
Personalsjefer,88740.0,90340.0,,73340.0
Politikere,73270.0,58770.0,,78970.0
Psykologer,60270.0,65000.0,61260.0,56230.0
Radiografer mv.,50470.0,49960.0,50560.0,
Regnskapsførere,57330.0,57970.0,51050.0,50090.0
Regnskapsmedarbeidere,51100.0,51110.0,52500.0,48180.0
Religiøse yrker,44710.0,41710.0,,47050.0
Renholdere i virksomheter,37480.0,37680.0,38990.0,36520.0
Renholdsledere i virksomheter,43360.0,43080.0,,43620.0
Renovasjonsarbeidere,40770.0,40670.0,,41100.0
"Revisorer, regnskapsrådgivere",68780.0,72690.0,54310.0,53380.0
Rådgivere innen sosiale fagfelt,48190.0,48230.0,52150.0,47460.0
"Rådgivere/forskere, humanistiske fag",51480.0,52960.0,48150.0,
"Rådgivere/forskere, samfunnsøkonomi",82460.0,101020.0,62610.0,58950.0
Rørleggere og VVS-montører,45740.0,45750.0,,44890.0
Saksbehandlere innen sosiale ytelser,43730.0,46660.0,43320.0,45120.0
Sivilagronomer mv.,58680.0,61870.0,56010.0,
Sivilarkitekter,68190.0,69070.0,,58650.0
Sivilingeniører (bygg og anlegg),71160.0,72770.0,63660.0,59550.0
Sivilingeniører (elektronikk),76840.0,78380.0,61130.0,
"Sivilingeniører (geofag, petro-leumsteknologi, metallurgi mv.)",92250.0,93330.0,71660.0,
Sivilingeniører (industri og produksjon),65700.0,76920.0,58430.0,
Sivilingeniører (kjemi),69210.0,74830.0,53170.0,
Sivilingeniører (maskin- og marin-teknikk),76140.0,77090.0,62360.0,
Sivilingeniører (telekommunikasjon),71150.0,73830.0,64880.0,
Sjefskokker,42420.0,41800.0,49460.0,46110.0
Sjefssekretærer,54790.0,58910.0,47530.0,45500.0
Skoleassistenter,34830.0,34180.0,,35100.0
"Skreddere, buntmakere mv.",40360.0,36830.0,43760.0,
Skuespillere,47810.0,46560.0,47710.0,49630.0
Spesialister i pedagogikk,55840.0,52970.0,,58050.0
Spesiallærere / spesialpedagoger,48600.0,45730.0,52280.0,47580.0
Spesialsykepleiere,55830.0,58270.0,58050.0,51730.0
"Sports-, rekreasjons- og kultursenterledere",59520.0,58580.0,71040.0,58410.0
Strategi- og planleggingssjefer,75140.0,76070.0,75130.0,74940.0
Sykepleiere,49730.0,54010.0,48530.0,49770.0
Systemanalytikere/-arkitekter,70170.0,72000.0,61170.0,56140.0
Tannleger,71220.0,75490.0,,65840.0
Tannpleiere,45000.0,48300.0,,43510.0
Teknikere innen radio og tv,53000.0,52710.0,56310.0,
Tekniske tegnere,56870.0,57140.0,,54390.0
Tele- og IKT-installatører,38950.0,41570.0,39050.0,16560.0
Toppledere i offentlig administrasjon,109030.0,,129200.0,95230.0
