arbeidsgivarorganisasjon,Sist_aar_b,Sist_aar_t,Endring_b,Endring_t,Endring_b_pst,Endring_t_pst
Arbeidsgiverforeningen SPEKTER,262,238000.0,14,17500.0,5.64516129032258,7.936507936507936
Arbeidsgiverorganisasjon for kirkelige virksomheter,430,7800.0,-20,100.0,-4.444444444444445,1.2987012987012987
Arbeidssamvirkenes Landsforening ASV,199,8313.0,-1,-223.0,-0.5,-2.612464854732896
Finans Norge,309,37211.0,52,164.0,20.233463035019454,0.44268091883283395
Fiskebåt,206,,0,,0.0,
Hovedorganisasjonen Virke,24685,303396.0,676,524.0,2.8156108126119372,0.17301038062283738
KS,366,489188.0,-1,10424.0,-0.2724795640326975,2.1772731450150804
Kystrederiene,421,3200.0,27,0.0,6.852791878172589,0.0
Maskinentreprenørenes Forbund,2344,33702.0,141,-4864.0,6.400363141171131,-12.612145413058135
Norges Lastebileier-Forbund,2540,20330.0,-101,6842.0,-3.824308973873533,50.72657176749703
Norges Rederiforbund,125,18229.0,-3,,-2.34375,
Norges Taxiforbund,3032,,-168,,-5.25,
Næringslivets Hovedorganisasjon i alt,29456,668151.0,484,6883.0,1.6705784895761424,1.0408790384533957
Private Barnehagers Landsforbund,2089,35559.0,-48,-596.0,-2.2461394478240524,-1.6484580279352785
Samfunnsbedriftene,593,16265.0,20,41.0,3.4904013961605584,0.2527120315581854
