Landsforening,Sist_aar_m,Endring_m,Endring_m_pst,Sist_aar_y,Endring_y,Endring_y_pst
-  Den norske legeforening,40246,744,1.8834489392942129,32893,-1054,-3.1048398974872597
-  Den norske tannlegeforening,7090,-31,-0.435332116275804,5710,37,0.6522122333862154
-  Den norske veterinærforening,4058,385,10.481894908793901,2784,234,9.176470588235293
-  Econa,29202,674,2.3625911385305667,23553,492,2.1334720957460647
-  Naturviterne,7511,259,3.571428571428571,5429,-21,-0.3853211009174312
-  Norges Juristforbund,22918,911,4.13959194801654,18658,771,4.310393022865768
-  Norsk Lektorlag,8364,-85,-1.0060362173038229,5702,49,0.8667963912966566
-  Norsk Psykologforening,11200,261,2.385958497120395,10434,679,6.960533059969247
-  Samfunnsviterne,18237,877,5.0518433179723505,16604,721,4.539444689290437
-  Tekna,105447,6016,6.050426929227303,84281,5135,6.488009501427741
Akademikerne i alt,265424,10418,4.085394069159157,214656,7334,3.537492403121714
