Landsforening,Sist_aar_m,Endring_m,Endring_m_pst,Sist_aar_y,Endring_y,Endring_y_pst
-  Den Norske Jordmorforening,,,,,,
-  Folkehøgskoleforbundet,547.0,-155.0,-22.07977207977208,488.0,-71.0,-12.701252236135957
-  Junit,,,,,,
-  Lederne,16829.0,343.0,2.0805531966517044,13660.0,407.0,3.0710027918207197
-  Noregs Kristelege Folkehøgskolelag,519.0,-47.0,-8.303886925795052,464.0,-13.0,-2.7253668763102725
-  Norges Farmaceutiske Forening,4795.0,117.0,2.501068832834545,3905.0,54.0,1.4022331861854065
-  Norges Ingeniørorganisasjon NITO,100634.0,4567.0,4.753973789126339,71952.0,3152.0,4.5813953488372094
-  Norsk Filmforbund,1550.0,110.0,7.638888888888889,1465.0,110.0,8.118081180811808
-  Norsk Flygelederforening,900.0,20.0,2.272727272727273,557.0,0.0,0.0
-  Norsk Flytekniker Organisasjon,109.0,-16.0,-12.8,109.0,-16.0,-12.8
-  Norsk Helikopteransattes Forbund,614.0,-43.0,-6.54490106544901,614.0,-26.0,-4.0625
-  Norsk Journalistlag,8307.0,303.0,3.785607196401799,6403.0,223.0,3.608414239482201
-  Norsk Skuespillerforbund,1642.0,9.0,0.5511328842620943,1326.0,-3.0,-0.2257336343115124
-  Norske Dansekunstnere,865.0,59.0,7.320099255583126,834.0,129.0,18.29787234042553
-  Regiforbundet,207.0,0.0,0.0,157.0,-9.0,-5.421686746987952
Andre fagforeiningar i alt,137518.0,4849.0,3.6549608423972444,101934.0,3519.0,3.575674439871971
