Landsforening,2020,2021,2020Y,2021,Sist_aar_m,Sist_aar_y,Endring_m,Endring_y,Endring_m_pst,Endring_y_pst
-  Akademikerforbundet,5228,5475,4558,4702,5475,4702,247,144,4.724560061208876,3.1592803861342693
-  Det norske maskinistforbund,5426,5866,4041,4516,5866,4516,440,475,8.10910431256911,11.754516208859194
-  Forskerforbundet,23780,24177,19573,20045,24177,20045,397,472,1.6694701429772918,2.4114852092167784
-  Norsk Ergoterapeutforbund,4404,4502,3222,3313,4502,3313,98,91,2.2252497729336964,2.824332712600869
-  Norsk Fysioterapeutforbund,10022,10151,8498,8361,10151,8361,129,-137,1.2871682298942326,-1.612144033890327
-  Norsk Radiografforbund,3317,3359,2794,2768,3359,2768,42,-26,1.2662044015676817,-0.9305654974946312
-  Norsk Sykepleierforbund,122279,124789,89113,90727,124789,90727,2510,1614,2.0526827991723846,1.8111835534658245
-  Politiets Fellesforbund,17416,17336,14381,14551,17336,14551,-80,170,-0.45934772622875514,1.18211529100897
-  Utdanningsforbundet,183184,187692,121507,122858,187692,122858,4508,1351,2.460913616909774,1.1118700980190441
UNIO Hovedorganisasjon for universitets- og høyskoleutdannede,380803,388220,271733,275277,388220,275277,7417,3544,1.9477262521566268,1.3042214232353082
