Landsforening,2020,2021,2020Y,2021,Sist_aar_m,Sist_aar_y,Endring_m,Endring_y,Endring_m_pst,Endring_y_pst
-  Akademikerforbundet,5228,5475,4558.0,4702.0,5475,4702.0,247,144.0,4.724560061208876,3.1592803861342693
-  Befalets Fellesorganisasjon,10535,10827,6204.0,6450.0,10827,6450.0,292,246.0,2.7717133364973896,3.9651837524177944
-  Creo,9533,9902,7284.0,7820.0,9902,7820.0,369,536.0,3.870764712052869,7.358594179022515
-  Delta,89713,91453,48862.0,48311.0,91453,48311.0,1740,-551.0,1.939518241503461,-1.12766567066432
-  Den norske lægeforening,37375,38417,27744.0,33568.0,38417,33568.0,1042,5824.0,2.787959866220736,20.9919261822376
-  Den norske tannlegeforening,6665,6962,4868.0,5624.0,6962,5624.0,297,756.0,4.456114028507127,15.52999178307313
-  Den norske veterinærforening,3503,3577,2461.0,2509.0,3577,2509.0,74,48.0,2.1124750214102197,1.950426655830963
-  Det norske maskinistforbund,5426,5866,4041.0,4516.0,5866,4516.0,440,475.0,8.10910431256911,11.754516208859194
-  EL & IT Forbundet,40225,40775,28478.0,29213.0,40775,29213.0,550,735.0,1.3673088875077688,2.5809396727298264
-  Econa,25468,27280,20772.0,22079.0,27280,22079.0,1812,1307.0,7.1148107428930425,6.292124013094551
-  Fagforbundet,396548,401319,248097.0,233602.0,401319,233602.0,4771,-14495.0,1.2031330381189667,-5.842472903743294
-  Fellesforbundet,164679,161650,118134.0,106329.0,161650,106329.0,-3029,-11805.0,-1.8393359201841157,-9.992889430646553
-  Fellesorganisasjonen,31000,32184,23738.0,24745.0,32184,24745.0,1184,1007.0,3.8193548387096774,4.242143398769905
-  Finansforbundet,31551,32095,23516.0,22886.0,32095,22886.0,544,-630.0,1.7241925770973978,-2.679027045415887
-  Folkehøgskoleforbundet,582,702,532.0,559.0,702,559.0,120,27.0,20.618556701030926,5.075187969924812
-  Forbundet for Ledelse og Teknikk,21935,21019,14951.0,15052.0,21019,15052.0,-916,101.0,-4.175974470025074,0.6755400976523309
-  Forskerforbundet,23780,24177,19573.0,20045.0,24177,20045.0,397,472.0,1.6694701429772918,2.4114852092167784
-  Handel og Kontor i Norge,77781,79233,54155.0,55147.0,79233,55147.0,1452,992.0,1.8667798048366566,1.8317791524328317
-  Industri Energi,56220,56165,,38551.0,56165,38551.0,-55,,-0.09782995375311276,
-  Junit,448,418,410.0,418.0,418,418.0,-30,8.0,-6.696428571428571,1.951219512195122
-  Lederne,17789,16486,13016.0,13253.0,16486,13253.0,-1303,237.0,-7.32475125077295,1.8208358942839582
-  Naturviterne,6855,6973,5249.0,5366.0,6973,5366.0,118,117.0,1.7213712618526622,2.22899599923795
-  Negotia,21624,21317,17908.0,17270.0,21317,17270.0,-307,-638.0,-1.4197188309285977,-3.562653562653563
-  Noregs Kristelege Folkehøgskolelag,546,566,450.0,477.0,566,477.0,20,27.0,3.6630036630036633,6.0
-  Norges Farmaceutiske Forening,4543,4678,3679.0,3851.0,4678,3851.0,135,172.0,2.9716046665199207,4.675183473770046
-  Norges Ingeniørorganisasjon NITO,93317,96067,66755.0,68800.0,96067,68800.0,2750,2045.0,2.94694428667874,3.0634409407535017
-  Norges Juristforbund,20743,21251,16389.0,17435.0,21251,17435.0,508,1046.0,2.4490189461505087,6.3823296113246695
-  Norges offisers-og spesialistforbund,8496,9027,6106.0,6269.0,9027,6269.0,531,163.0,6.25,2.669505404520144
