næring,Utførte timeverk,BNP i basisverdi,BNP per timeverk
Bergverksdrift,7.3,3704,507.3972602739726
Bygge- og anleggsvirksomhet,400.9,199821,498.43103018209035
"Elektrisitets-, gass- og varmtvannsforsyning",28.8,57609,2000.3125
"Faglig, vitenskapelig og teknisk tjenesteyting",251.9,170970,678.7217149662564
Fastlands-Norge,4115.4,2622075,637.1373378043447
Finansierings- og forsikringsvirksomhet,80.8,166281,2057.9331683168316
"Fiske, fangst og akvakultur",37.1,30585,824.3935309973045
Forretningsmessig tjenesteyting,185.8,80801,434.8815931108719
Industri,349.3,219685,628.92928714572
Informasjon og kommunikasjon,182.5,150497,824.641095890411
Jordbruk og skogbruk,81.7,19110,233.9045287637699
Omsetning og drift av fast eiendom,46.3,92448,1996.7170626349894
Overnattings- og serveringsvirksomhet,135.1,47092,348.5714285714286
Totalt for næringer,4191.4,3130039,746.7764947272988
Transport utenom utenriks sjøfart,182.8,83331,455.85886214442013
"Utvinning av råolje og naturgass, inkl. tjenester",98.1,564164,5750.9072375127425
Varehandel og reparasjon av motorvogner,455.3,263974,579.7803645947727
