REF_AREA,2023-Q4,2024-Q1,2024-Q2,2024-Q3
Austria,61.12154,61.30868,61.82609,61.50679
Belgium,54.61509,54.4284,54.81973,54.15672
Switerland,68.33192,68.43393,68.50909,68.17101
Colombia,47.92154,47.75239,48.47586,48.48752
Costa Rica,40.00278,43.09216,42.35564,46.20107
Czechia,58.01071,58.88974,59.12001,59.23334
Germany,63.74736,64.0413,63.90312,63.93045
Denmark,65.38451,65.46064,65.80621,65.67369
Spain,53.18316,53.1065,53.51086,53.71162
Estonia,66.7891,66.83282,68.11733,67.00537
EU27,56.55982,56.73383,56.86968,56.95116
Finland,62.85365,62.39273,62.17456,61.33663
France,56.37033,56.52732,56.60624,56.8508
United Kingdom,64.1748,63.82184,64.13295,64.48837
Greece,45.76164,46.08706,46.97759,46.94791
Hungary,59.67567,60.26316,60.17615,60.27766
Ireland,63.15484,63.02521,64.33614,64.70208
Iceland,73.64893,74.59483,76.03596,75.36887
Israel,62.43591,62.94897,63.06695,63.23323
Italy,45.41759,45.60093,45.65614,46.34671
Japan,66.37354,66.59205,66.71273,67.17704
Lithuania,63.97468,63.03247,63.84547,63.485
Luxembourg,59.98386,59.96016,61.7495,60.03968
Latvia,61.54085,61.7779,61.65359,61.84938
Netherlands,69.15689,69.10647,69.32681,69.03594
Norway,67.25168,67.20153,66.71294,66.97865
Poland,55.89863,55.61029,55.83181,56.12685
Portugal,60.51289,60.20731,60.32394,60.49715
Slovak Republic,58.34764,57.9921,58.16434,58.25815
Slovenia,58.8019,59.37917,58.9192,59.09081
Sweden,66.71157,66.83461,67.14337,67.01698
Türkiye,33.43934,34.22642,34.22679,34.3288
United States,61.00179,60.92538,60.84582,60.71762
