REF_AREA,2021,2022,2023
Australia,,79.1727355061662,79.5772246183649
Austria,86.6831440207193,95.1376398297094,
Belgium,94.2128033175529,100.015216520615,
Canada,66.3754350444457,71.8592332021686,
Switerland,90.8482955168957,100.530811667581,
Chile,35.6741441666317,35.6797170507869,
Colombia,19.2629683639843,21.5806917134276,
Costa Rica,29.2509306873221,29.6346185777832,
Czechia,,57.1840900611462,59.9085665853558
Germany,,90.9017080875815,94.0209523423385
Denmark,,104.194243275066,101.890151016544
Spain,,68.804979279623,73.8227326802772
Estonia,52.6479736503799,54.6710776915245,
Finland,78.6837177084385,84.0861051458199,
France,,86.7491172064742,90.6820939082676
United Kingdom,72.9530717922474,76.7230421668929,
Greece,40.152093474823,44.7754720728207,
Hungary,,51.9115079678814,54.1857387718601
Ireland,,162.54048634307,152.352261972667
Iceland,,91.8412970065053,94.6801943816658
Israel,54.6773957097792,58.7288120270621,
Italy,,74.5024292225674,75.6556904901835
Japan,51.0666774443371,53.7060056745464,
Korea,48.4042802969228,50.0916798302413,
Lithuania,58.0246237307746,61.2008267068222,
Luxembourg,,130.742852651722,127.228740661686
Latvia,50.6527818603179,56.6513678402288,
Mexico,22.0358213206535,23.9860701058714,
Netherlands,,91.7822998052309,95.4111217704581
Norway,119.719996526055,161.906285339064,
New Zealand,51.6222859895902,54.0255644067474,
OECD,63.338313,67.469687,
Poland,49.6918492104328,54.2586043256661,
Portugal,49.1365694312158,56.2356380234908,
Slovak Republic,,57.0800829280778,60.6600800343365
Slovenia,,62.1487341481609,65.2173039990962
Sweden,90.2857785865437,95.4225111926068,
Türkiye,53.419571,61.273494,
United States,86.8733905026308,91.4971940362163,
