region,Lives in the region,Works in the region
Alstahaug,44500.0,44680.0
Alta,45000.0,44650.0
Alvdal,42300.0,42510.0
Alver,45660.0,44730.0
Andøy,43880.0,45140.0
Aremark,43670.0,43180.0
Arendal,45150.0,45180.0
Asker,50870.0,46080.0
Askvoll,44500.0,42790.0
Askøy,46570.0,44090.0
Aukra,44520.0,43260.0
Aure,45680.0,44010.0
Aurland,42300.0,41210.0
Aurskog-Høland,42810.0,40940.0
Austevoll,45760.0,46440.0
Austrheim,46010.0,43640.0
Averøy,46000.0,43330.0
Balsfjord,43160.0,42500.0
Bamble,45350.0,43860.0
Bardu,44790.0,44610.0
Beiarn,41330.0,39620.0
Bergen,47250.0,47140.0
Berlevåg,40490.0,39130.0
Bindal,43600.0,44000.0
Birkenes,43120.0,41510.0
Bjerkreim,44150.0,42870.0
Bjørnafjorden,45630.0,43750.0
Bodø,46550.0,46110.0
Bokn,47230.0,46140.0
Bremanger,45000.0,44280.0
Brønnøy,45100.0,43860.0
Bygland,42760.0,42220.0
Bykle,42810.0,41760.0
Båtsfjord,40000.0,40150.0
Bærum,55160.0,53710.0
Bø,42260.0,42980.0
Bømlo,46210.0,45510.0
Tana,43130.0,42870.0
Dovre,40110.0,40180.0
Drammen,45000.0,44820.0
Drangedal,43810.0,41820.0
Dyrøy,42870.0,42530.0
Dønna,45640.0,45430.0
Eidfjord,44650.0,44320.0
Eidskog,41230.0,40530.0
Eidsvoll,44270.0,42090.0
Eigersund,45390.0,44230.0
Elverum,44410.0,44190.0
Enebakk,45000.0,40900.0
Engerdal,39990.0,39770.0
Etne,44270.0,41090.0
Etnedal,41480.0,39810.0
Evenes,42070.0,43700.0
Evje og Hornnes,42980.0,41340.0
Farsund,43710.0,42990.0
Fauske,44520.0,43320.0
Fedje,46890.0,50000.0
Fitjar,44640.0,42590.0
Fjaler,43860.0,43420.0
Fjord,43680.0,43550.0
Flakstad,41620.0,40000.0
Flatanger,43840.0,46360.0
Flekkefjord,45470.0,44870.0
Flesberg,44570.0,42110.0
Flå,41690.0,41670.0
Folldal,41460.0,41650.0
Fredrikstad,44610.0,42980.0
Frogn,49730.0,42640.0
Froland,43470.0,43300.0
Frosta,40590.0,37160.0
Frøya,43090.0,43680.0
Fyresdal,44570.0,42850.0
Færder,47220.0,43450.0
Gamvik,40050.0,38000.0
Gausdal,42030.0,41780.0
Gildeskål,44550.0,44680.0
Giske,45000.0,43050.0
Gjemnes,43590.0,43140.0
Gjerdrum,48320.0,41900.0
Gjerstad,42110.0,41560.0
Gjesdal,45020.0,42310.0
Gjøvik,44480.0,43560.0
Gloppen,44460.0,43590.0
Gol,41430.0,40720.0
Gran,43590.0,41420.0
Grane,40380.0,38420.0
Gratangen,41180.0,40650.0
Grimstad,44990.0,43670.0
Grong,43480.0,43430.0
Grue,41080.0,40830.0
Gulen,43060.0,41410.0
Kautokeino,43950.0,44170.0
Kåfjord,44170.0,44170.0
Hadsel,44510.0,44680.0
Halden,44230.0,44490.0
Hamar,46740.0,46090.0
Hamarøy,44920.0,43280.0
Hammerfest,45260.0,45090.0
Hareid,43850.0,45130.0
Harstad,45000.0,44650.0
Hasvik,40210.0,40540.0
Hattfjelldal,40790.0,40410.0
Haugesund,46670.0,46300.0
Heim,44860.0,43520.0
Hemnes,42750.0,43300.0
Hemsedal,41670.0,38970.0
Herøy – Møre og Romsdal,45690.0,46020.0
Herøy – Nordland,44500.0,43860.0
Hitra,42760.0,40330.0
Hjartdal,43750.0,39130.0
Hjelmeland,44630.0,44120.0
Hol,41290.0,39920.0
Hole,48080.0,42150.0
Holmestrand,45000.0,42860.0
Holtålen,42230.0,42110.0
Horten,45080.0,45660.0
Hurdal,43700.0,42930.0
Hustadvika,43620.0,42810.0
Hvaler,46720.0,42530.0
Hyllestad,43970.0,43590.0
Hå,44010.0,43230.0
Hægebostad,44150.0,42880.0
Høyanger,44480.0,41620.0
Høylandet,43840.0,42370.0
Ibestad,43780.0,44400.0
Inderøy,44540.0,42220.0
Indre Fosen,43130.0,42470.0
Indre Østfold,43080.0,41720.0
Iveland,42830.0,41120.0
Jevnaker,43680.0,42220.0
Karlsøy,42000.0,41510.0
Karmøy,45980.0,44490.0
Kinn,44480.0,42450.0
Klepp,45020.0,43420.0
Kongsberg,48350.0,49270.0
Kongsvinger,43830.0,43110.0
Kragerø,44030.0,42900.0
Kristiansand,45470.0,45140.0
Kristiansund,44560.0,44180.0
Krødsherad,41790.0,40000.0
Kvam,45790.0,43840.0
Kvinesdal,44360.0,43770.0
Kvinnherad,45800.0,44060.0
Kviteseid,44670.0,43580.0
Kvitsøy,44920.0,43370.0
Kvæfjord,43100.0,43750.0
Kvænangen,44600.0,45220.0
Karasjok,44860.0,45260.0
Larvik,44240.0,43400.0
Lebesby,42860.0,43210.0
Leirfjord,44510.0,43190.0
Leka,44840.0,45320.0
Lesja,40590.0,38970.0
Levanger,44760.0,44180.0
Lier,47340.0,43410.0
Lierne,40850.0,39500.0
Lillehammer,45970.0,44970.0
Lillesand,45820.0,44040.0
Lillestrøm,47000.0,45000.0
Lindesnes,44890.0,43590.0
