region,Females,Males,Difference nominally,Difference share
Alstahaug,49090.0,51960.0,-2870.0,94.47652040030793
Alta,49750.0,52410.0,-2660.0,94.9246327036825
Alvdal,47430.0,47410.0,20.0,100.04218519299725
Alver,49360.0,55340.0,-5980.0,89.19407300325261
Andøy,48260.0,54260.0,-6000.0,88.9421304828603
Aremark,48320.0,51570.0,-3250.0,93.69788636804344
Arendal,50000.0,53120.0,-3120.0,94.12650602409639
Asker,56440.0,63410.0,-6970.0,89.00804289544236
Askvoll,50110.0,53590.0,-3480.0,93.50625116626236
Askøy,50280.0,56280.0,-6000.0,89.33901918976545
Aukra,48480.0,51960.0,-3480.0,93.30254041570439
Aure,50660.0,54000.0,-3340.0,93.81481481481482
Aurland,45260.0,49300.0,-4040.0,91.8052738336714
Aurskog-Høland,47500.0,49270.0,-1770.0,96.40755023340776
Austevoll,49140.0,57420.0,-8280.0,85.57993730407524
Austrheim,47970.0,54750.0,-6780.0,87.61643835616438
Averøy,49960.0,54910.0,-4950.0,90.98524858859952
Balsfjord,48000.0,50000.0,-2000.0,96.0
Bamble,49450.0,53860.0,-4410.0,91.81210545859636
Bardu,50160.0,55390.0,-5230.0,90.55786243004152
Bergen,52120.0,56800.0,-4680.0,91.7605633802817
Berlevåg,46470.0,46710.0,-240.0,99.48619139370585
Bindal,48980.0,48340.0,640.0,101.32395531650806
Birkenes,47250.0,49810.0,-2560.0,94.8604697851837
Bjerkreim,48710.0,50470.0,-1760.0,96.51277986922925
Bjørnafjorden,49910.0,55360.0,-5450.0,90.15534682080924
Bodø,51280.0,54650.0,-3370.0,93.83348581884721
Bremanger,48960.0,54280.0,-5320.0,90.19896831245394
Brønnøy,48910.0,52360.0,-3450.0,93.41100076394194
Bygland,48050.0,49980.0,-1930.0,96.13845538215287
Bykle,47650.0,46170.0,1480.0,103.20554472601256
Båtsfjord,42880.0,45480.0,-2600.0,94.28320140721196
Bærum,60470.0,70000.0,-9530.0,86.38571428571429
Bø,47250.0,48710.0,-1460.0,97.00266885649765
Bømlo,49740.0,56980.0,-7240.0,87.29378729378729
Tana,50240.0,49160.0,1080.0,102.19690805532953
Dovre,44780.0,47550.0,-2770.0,94.17455310199789
Drammen,50180.0,52820.0,-2640.0,95.00189322226429
Drangedal,48260.0,50640.0,-2380.0,95.30015797788309
Dyrøy,48730.0,49430.0,-700.0,98.58385595792029
