occupation,Sist år,Endring sist år,Endring siste 5 år
Accountants,73980.0,3.2231059020510675,19.496042642545632
Accounting and bookkeeping clerks,56880.0,5.68561872909699,22.93062459476983
Accounting associate professionals,63840.0,5.555555555555555,20.771850170261068
Actors,54670.0,8.752735229759299,10.332996972754794
Administrative and executive secretaries,60420.0,3.6185902932601612,23.10513447432763
Advertising and marketing professionals,63420.0,5.104408352668213,17.924879137225737
Advertising and public relations managers,86940.0,4.4324324324324325,19.851116625310176
Aged care services managers,72840.0,4.430107526881721,20.97658196312905
Agricultural and forestry production managers,73860.0,4.9147727272727275,23.24378441515101
Agricultural and industrial machinery mechanics and repairers,52270.0,5.149869241601287,21.38875986994891
Agricultural technicians,58110.0,5.252671617460606,22.25962549968441
Air conditioning and refrigeration mechanics,52170.0,3.4913707597698873,15.03858875413451
Air traffic safety electronics technicians,77350.0,3.0097216673325344,23.09038828771483
Aircraft engine mechanics and repairers,67130.0,3.4519956850053934,14.069668649107903
Aircraft pilots and related associate professionals,108930.0,4.429105550762151,16.043464365612017
Ambulance workers,56730.0,6.475225225225226,26.066666666666666
"Announcers on radio, television and other media",70930.0,2.7971014492753623,23.18513372698854
Applications programmers,72380.0,3.770609318996416,20.713809206137427
Aquaculture and fisheries production managers,91160.0,7.792361357455363,26.050884955752213
Aquaculture workers,56290.0,5.01865671641791,21.708108108108107
Archivists and curators,55580.0,3.597390493942218,17.430804986266637
Athletes and sports players,74740.0,4.648557826939233,36.98680351906158
Audiologists and speech therapists,55150.0,6.4877389457424215,24.37979251240415
Authors and related writers,68420.0,4.649739981645763,21.657183499288763
"Bakers, pastry-cooks and confectionery makers",41810.0,3.413306950284442,18.576290414066932
Bank tellers and related clerks,46200.0,6.206896551724138,17.378048780487802
Bartenders,39160.0,5.895078420767982,26.977950713359274
Beauticians and related workers,41450.0,4.302969300452944,19.31491076568797
Bicycle and related repairers,36890.0,3.5072951739618405,8.023426061493412
"Biologists, botanists, zoologists and related professionals",68440.0,3.3836858006042294,15.823320358774751
"Blacksmiths, hammersmiths and forging press workers",47080.0,8.254771211772821,22.032141005702435
"Bookmakers, croupiers and related gaming workers",41060.0,6.043388429752066,29.03834066624764
Bricklayers and related workers,47810.0,4.8924967090829306,20.976720647773277
Broadcasting and audio-visual technicians,58220.0,5.26125474597722,19.205569205569205
Building and related electricians,51950.0,6.783144912641316,20.338197822561966
Building architects,74240.0,4.401631275488679,17.654516640253565
Building caretakers,49780.0,5.131995776135163,22.159509202453986
Building construction labourers,42660.0,5.048017729623246,21.503845058387924
Building frame and related trades workers not elsewhere classified,45940.0,6.416492934908501,19.791395045632335
Building structure cleaners,46710.0,3.961718228355219,20.54193548387097
Bus and tram drivers,45440.0,4.797047970479705,21.529820807702592
Business services and administration managers not elsewhere classified,85370.0,4.147858972794925,19.215193408741797
"Butchers, fishmongers and related food preparers",45100.0,4.543347241539174,22.089875473741202
Buyers,66180.0,5.298329355608592,20.546448087431692
Cabinet makers and related workers,44730.0,5.47040792265975,19.85530546623794
"Car, taxi, van and motorcycle drivers",42160.0,5.2158722236086845,20.59496567505721
Carpenters and joiners,46010.0,5.045662100456621,20.888071466106148
Cartographers and surveyors,61510.0,2.87673524000669,15.403377110694183
Cashiers and ticket clerks,46450.0,7.175819104753114,20.39917055469155
"Cement, stone and other mineral products machine operators",47260.0,5.585344057193923,21.9927723283428
Chefs,46910.0,3.8061518034963484,21.339886187273667
Chemical engineering technicians,68150.0,5.267222737102255,20.04579883741413
Chemical engineers,78550.0,6.091301998919503,20.753266717909298
Chemical processing plant controllers,64560.0,6.65785560878903,21.193917777360618
Chemical products plant and machine operators,55580.0,5.665399239543726,19.475494411006018
Chemists,78100.0,4.2723631508678235,17.00374531835206
Child care services managers,67010.0,5.461126849228832,21.482958665699783
Child care workers,39740.0,5.132275132275133,20.424242424242426
Chiropractors and other related professionals,63430.0,3.390383048084759,24.4701726844584
Civil engineering labourers,47380.0,6.352413019079687,22.714322714322716
Civil engineering technicians,67940.0,4.797161807805028,20.846673781572395
Civil engineers,77500.0,3.8873994638069704,17.79905760753914
"Cleaners and helpers in offices, hotels and other local kinds of activity units",41970.0,5.18796992481203,21.54648132059079
"Cleaning and housekeeping supervisors in offices, hotels and other local kinds of activity units",48660.0,5.5531453362255965,22.84776571572835
Clearing and forwarding agents,60020.0,4.002772483105181,22.614913176710928
Client information workers not elsewhere classified,49830.0,2.86952931461602,16.83470105509965
Commercial sales representatives,68550.0,5.819697437480704,22.040235000890153
Commissioned armed forces officers,85530.0,3.4095030830612987,28.269346130773844
Computer network and systems technicians,71390.0,4.432416617905208,22.895506971940094
"Concrete placers, concrete finishers and related workers",51900.0,6.026557711950971,21.261682242990652
Conference and event planners,62460.0,4.904266039637219,15.581051073279054
Construction managers,78820.0,4.981353223228556,21.131089595819887
