occupation,Average,Median,Difference in NOK,Difference in %
Accountants,68780.0,63200.0,5580.0,8.112823495202095
Accounting and bookkeeping clerks,51100.0,48750.0,2350.0,4.598825831702544
Accounting associate professionals,57330.0,53330.0,4000.0,6.977149834292691
Actors,47810.0,47920.0,-110.0,-0.23007738966743357
Administrative and executive secretaries,54790.0,50000.0,4790.0,8.742471253878445
Advertising and marketing professionals,58140.0,54130.0,4010.0,6.897144822841417
Advertising and public relations managers,78820.0,72180.0,6640.0,8.424257802588176
Aged care services managers,66130.0,64410.0,1720.0,2.600937547255406
Agricultural and forestry production managers,66620.0,59750.0,6870.0,10.312218552987092
Agricultural and industrial machinery mechanics and repairers,46850.0,45960.0,890.0,1.8996798292422628
Agricultural technicians,52110.0,51060.0,1050.0,2.0149683362118593
Air conditioning and refrigeration mechanics,49150.0,50000.0,-850.0,-1.7293997965412005
Air traffic safety electronics technicians,66990.0,66870.0,120.0,0.17913121361397222
Aircraft engine mechanics and repairers,61800.0,57520.0,4280.0,6.925566343042071
Aircraft pilots and related associate professionals,96830.0,100000.0,-3170.0,-3.273778787565837
Ambulance workers,50260.0,51110.0,-850.0,-1.6912057302029448
"Announcers on radio, television and other media",64790.0,61450.0,3340.0,5.155116530328755
Applications programmers,66140.0,62610.0,3530.0,5.337163592379801
Aquaculture and fisheries production managers,79280.0,75000.0,4280.0,5.398587285570131
Aquaculture workers,50330.0,49840.0,490.0,0.9735744089012517
Archivists and curators,50330.0,49710.0,620.0,1.2318696602424002
Athletes and sports players,66620.0,47500.0,19120.0,28.700090063044133
Audiologists and speech therapists,48260.0,46060.0,2200.0,4.5586406962287604
Authors and related writers,60930.0,57880.0,3050.0,5.005744296733957
"Bakers, pastry-cooks and confectionery makers",38630.0,38120.0,510.0,1.3202174475796014
Bank tellers and related clerks,42670.0,40980.0,1690.0,3.960628075931568
Bartenders,34770.0,33460.0,1310.0,3.7676157607132583
Beauticians and related workers,37730.0,35000.0,2730.0,7.235621521335807
Bicycle and related repairers,34970.0,34070.0,900.0,2.573634543894767
"Biologists, botanists, zoologists and related professionals",63030.0,60080.0,2950.0,4.680310963033476
"Blacksmiths, hammersmiths and forging press workers",40700.0,40380.0,320.0,0.7862407862407862
"Bookmakers, croupiers and related gaming workers",33580.0,32960.0,620.0,1.846337105419893
Bricklayers and related workers,43430.0,42220.0,1210.0,2.7860925627446465
Broadcasting and audio-visual technicians,53000.0,51000.0,2000.0,3.7735849056603774
Building and related electricians,46190.0,46900.0,-710.0,-1.5371292487551418
Building architects,68190.0,66030.0,2160.0,3.167619885613726
Building caretakers,44570.0,42200.0,2370.0,5.317478124298856
Building construction labourers,38310.0,37540.0,770.0,2.0099190811798486
Building frame and related trades workers not elsewhere classified,41330.0,40070.0,1260.0,3.0486329542705057
Building structure cleaners,42120.0,41410.0,710.0,1.6856600189933524
Bus and tram drivers,40860.0,40820.0,40.0,0.09789525208027411
