occupation,Sum all sectors,Private sector and public enterprises,Central government,Local government
Accountants,73980.0,77540.0,58710.0,59040.0
Accounting and bookkeeping clerks,56880.0,56900.0,57640.0,54810.0
Accounting associate professionals,63840.0,64540.0,55600.0,55600.0
Actors,54670.0,57300.0,53870.0,
Administrative and executive secretaries,60420.0,64830.0,52830.0,50610.0
Advertising and public relations managers,86940.0,86820.0,93520.0,
Aged care services managers,72840.0,,70150.0,74010.0
Agricultural and forestry production managers,73860.0,80270.0,,65350.0
Agricultural and industrial machinery mechanics and repairers,52270.0,52780.0,39190.0,48050.0
Archivists and curators,55580.0,57280.0,55700.0,54410.0
"Armed forces occupations, other ranks",58080.0,58780.0,58060.0,
Audiologists and speech therapists,55150.0,57640.0,51570.0,57170.0
Authors and related writers,68420.0,66720.0,82380.0,
"Biologists, botanists, zoologists and related professionals",68440.0,70820.0,64470.0,
Broadcasting and audio-visual technicians,58220.0,57660.0,62710.0,
Building and related electricians,51950.0,51910.0,57000.0,49090.0
Building architects,74240.0,75270.0,,64870.0
Building caretakers,49780.0,51840.0,49160.0,46540.0
Building structure cleaners,46710.0,42470.0,,47610.0
Business services and administration managers not elsewhere classified,85370.0,96390.0,85010.0,72680.0
Buyers,66180.0,66330.0,62580.0,
"Car, taxi, van and motorcycle drivers",42160.0,41870.0,51450.0,45880.0
Carpenters and joiners,46010.0,45980.0,55270.0,45870.0
Cartographers and surveyors,61510.0,64630.0,58180.0,62180.0
Chefs,46910.0,46220.0,53130.0,52200.0
Chemical engineering technicians,68150.0,69470.0,49540.0,
Chemical engineers,78550.0,84870.0,58080.0,
Child care services managers,67010.0,65170.0,76350.0,68290.0
Child care workers,39740.0,39450.0,51780.0,39630.0
Civil engineering labourers,47380.0,47480.0,,42730.0
Civil engineering technicians,67940.0,70650.0,56640.0,64080.0
Civil engineers,77500.0,79310.0,68460.0,65590.0
"Cleaners and helpers in offices, hotels and other local kinds of activity units",41970.0,42280.0,42950.0,41030.0
"Cleaning and housekeeping supervisors in offices, hotels and other local kinds of activity units",48660.0,48600.0,,48360.0
Construction managers,78820.0,79480.0,77320.0,67090.0
Construction supervisors,66240.0,66620.0,75060.0,53990.0
Contact centre information clerks,48550.0,48530.0,,48730.0
Cooks,42770.0,42490.0,45440.0,43730.0
Dental assistants and therapists,50070.0,54260.0,,48260.0
Dentists,76890.0,82070.0,,70630.0
Dieticians and nutritionists,61760.0,65830.0,56060.0,
Draughtspersons,62610.0,62890.0,,60170.0
Early childhood teachers,50420.0,50040.0,,50710.0
Earthmoving and related plant operators,50890.0,50830.0,67750.0,48280.0
Economics,83230.0,96340.0,65760.0,65550.0
Education managers,74550.0,75380.0,82660.0,73360.0
Education methods specialists,62240.0,58820.0,,64790.0
Electrical mechanics and fitters,57610.0,57030.0,75430.0,
Electronics engineering technicians,71240.0,71350.0,67360.0,
Electronics engineers,83250.0,85000.0,66770.0,
Engineering professionals not elsewhere classified,81930.0,87210.0,66500.0,
Environmental and occupational health inspectors and associates,72700.0,77830.0,56410.0,59210.0
Ergotherapists,51030.0,52010.0,53330.0,50270.0
"Farming, forestry and fisheries advisers",63480.0,66180.0,60010.0,
Filing and copying clerks,51250.0,54180.0,50260.0,50600.0
Finance managers,113320.0,115130.0,96140.0,80650.0
Financial analysts,79720.0,80890.0,61120.0,61100.0
Fire-fighters,60990.0,64610.0,,60300.0
Garbage and recycling collectors,45630.0,45510.0,,46030.0
Garden and horticultural labourers,40320.0,39670.0,,42700.0
"Gardeners, horticultural and nursery growers",41880.0,41350.0,,44730.0
General office clerks,51240.0,53290.0,46420.0,46640.0
Generalist medical practitioners,87840.0,93150.0,81360.0,91700.0
Geologists and geophysicists,103740.0,107290.0,67430.0,
Government social benefits officials,47700.0,51340.0,47140.0,50200.0
Health associate professionals not elsewhere classified,52890.0,52100.0,,53870.0
Health care assistants,47040.0,45430.0,48490.0,47130.0
Health services managers,77020.0,74490.0,84800.0,67490.0
Home-based personal care workers,42240.0,42240.0,,42240.0
Human resource managers,99170.0,100960.0,,81890.0
Industrial and production engineers,71650.0,83420.0,63720.0,
Information and communication technology operations technicians,65710.0,68830.0,58840.0,49010.0
Information and communication technology user support technicians,59150.0,59320.0,57160.0,
Information and communications technology installers and servicers,43540.0,46730.0,40830.0,18860.0
Information and communications technology service managers,102040.0,102820.0,88620.0,
