occupation,Women,Men,Number of employments with earningsFemales,Number of employments with earningsMales,Women as share of men,Women difference to men,Share women
Accountants,62760.0,70830.0,7479.0,6516.0,88.60652265988988,-8070.0,53.44051446945337
Accounting and bookkeeping clerks,50890.0,51400.0,9690.0,3397.0,99.00778210116732,-510.0,74.04294337892566
Accounting associate professionals,54710.0,60000.0,10318.0,5323.0,91.18333333333334,-5290.0,65.96764912729365
Actors,48890.0,51430.0,242.0,223.0,95.06124829865837,-2540.0,52.04301075268817
Administrative and executive secretaries,51210.0,60000.0,6358.0,2750.0,85.35000000000001,-8790.0,69.80676328502415
Advertising and marketing professionals,54480.0,60000.0,4648.0,2863.0,90.8,-5520.0,61.88257222739981
Advertising and public relations managers,74170.0,77630.0,769.0,850.0,95.5429601958006,-3460.0,47.49845583693638
Aged care services managers,67220.0,70830.0,1610.0,540.0,94.90328956656784,-3610.0,74.88372093023256
Agricultural and forestry production managers,60910.0,64270.0,234.0,393.0,94.77205539131788,-3360.0,37.32057416267943
Agricultural and industrial machinery mechanics and repairers,45180.0,48970.0,919.0,19585.0,92.26056769450685,-3790.0,4.482052282481467
Agricultural technicians,51900.0,54890.0,232.0,284.0,94.55274184733102,-2990.0,44.96124031007752
Ambulance workers,52620.0,56010.0,1900.0,2248.0,93.94750937332618,-3390.0,45.80520732883318
"Announcers on radio, television and other media",64590.0,68160.0,135.0,132.0,94.76232394366197,-3570.0,50.56179775280899
Aquaculture workers,47880.0,54910.0,1029.0,4926.0,87.19723183391004,-7030.0,17.279596977329977
Archivists and curators,52520.0,53420.0,718.0,337.0,98.31523773867465,-900.0,68.0568720379147
Audiologists and speech therapists,49710.0,48890.0,442.0,107.0,101.67723460830436,820.0,80.51001821493625
Authors and related writers,60370.0,65970.0,702.0,435.0,91.51129301197514,-5600.0,61.74142480211082
"Bakers, pastry-cooks and confectionery makers",37670.0,41820.0,639.0,871.0,90.07651841224295,-4150.0,42.317880794701985
Bank tellers and related clerks,43180.0,43060.0,252.0,222.0,100.27868091035764,120.0,53.16455696202531
Bartenders,34640.0,36810.0,758.0,1112.0,94.10486280901928,-2170.0,40.53475935828877
Beauticians and related workers,37200.0,41040.0,1313.0,102.0,90.64327485380117,-3840.0,92.79151943462898
"Biologists, botanists, zoologists and related professionals",60350.0,66380.0,762.0,694.0,90.91593853570352,-6030.0,52.33516483516484
Broadcasting and audio-visual technicians,54180.0,54100.0,216.0,918.0,100.14787430683919,80.0,19.047619047619047
Building and related electricians,44250.0,49510.0,988.0,30102.0,89.3758836598667,-5260.0,3.1778706979736246
Building architects,67000.0,71700.0,3077.0,2679.0,93.44490934449094,-4700.0,53.457261987491314
Building caretakers,43950.0,44950.0,1159.0,14158.0,97.77530589543937,-1000.0,7.5667558921459825
Building construction labourers,37500.0,40130.0,220.0,6050.0,93.44629952653875,-2630.0,3.508771929824561
Bus and tram drivers,43070.0,43280.0,892.0,10511.0,99.51478743068391,-210.0,7.82250285012716
Business services and administration managers not elsewhere classified,68160.0,79620.0,10906.0,11337.0,85.6066314996232,-11460.0,49.031155869262236
"Butchers, fishmongers and related food preparers",36910.0,42220.0,308.0,1476.0,87.4230222643297,-5310.0,17.26457399103139
Buyers,56800.0,60200.0,2512.0,3288.0,94.35215946843853,-3400.0,43.310344827586206
Cabinet makers and related workers,38270.0,41310.0,110.0,1681.0,92.64100702009199,-3040.0,6.141820212171971
"Car, taxi, van and motorcycle drivers",37510.0,39200.0,697.0,8905.0,95.68877551020408,-1690.0,7.258904394917725
Carpenters and joiners,39140.0,43520.0,688.0,45656.0,89.93566176470588,-4380.0,1.4845503193509408
Cartographers and surveyors,56200.0,58290.0,246.0,568.0,96.41447932750043,-2090.0,30.22113022113022
Chefs,42000.0,45210.0,1106.0,1420.0,92.899800928998,-3210.0,43.784639746634994
Chemical engineering technicians,56380.0,65540.0,1115.0,1370.0,86.02380225816295,-9160.0,44.8692152917505
Chemical engineers,62200.0,72730.0,348.0,422.0,85.52179293276502,-10530.0,45.19480519480519
Chemical products plant and machine operators,49270.0,53890.0,1578.0,7670.0,91.42698088699201,-4620.0,17.063148788927336
Chemists,67780.0,74520.0,512.0,364.0,90.95544820182502,-6740.0,58.44748858447488
Child care services managers,62290.0,63920.0,3278.0,427.0,97.44993742177722,-1630.0,88.47503373819163
Child care workers,38340.0,38340.0,34906.0,6788.0,100.0,0.0,83.71948002110615
Civil engineering labourers,40440.0,44150.0,554.0,13385.0,91.59682899207247,-3710.0,3.9744601477867856
Civil engineering technicians,58920.0,61680.0,2872.0,13875.0,95.52529182879378,-2760.0,17.149340180330803
Civil engineers,65800.0,70640.0,4795.0,19911.0,93.14835787089469,-4840.0,19.408240913138506
"Cleaners and helpers in offices, hotels and other local kinds of activity units",38480.0,38560.0,19082.0,6441.0,99.79253112033194,-80.0,74.7639384084943
"Cleaning and housekeeping supervisors in offices, hotels and other local kinds of activity units",43380.0,45950.0,1348.0,450.0,94.4069640914037,-2570.0,74.972191323693
Clearing and forwarding agents,48580.0,52700.0,1454.0,3140.0,92.18216318785579,-4120.0,31.649978232477142
Client information workers not elsewhere classified,48200.0,44000.0,337.0,212.0,109.54545454545455,4200.0,61.384335154826964
Commercial sales representatives,54250.0,61370.0,11686.0,28816.0,88.39824018249959,-7120.0,28.85289615327638
Commissioned armed forces officers,68570.0,78980.0,641.0,4321.0,86.81944796150924,-10410.0,12.918178153970173
Computer network and systems technicians,63900.0,67790.0,106.0,597.0,94.26169051482519,-3890.0,15.078236130867708
"Concrete placers, concrete finishers and related workers",43530.0,48430.0,123.0,9891.0,89.88230435680363,-4900.0,1.2282804074295985
Conference and event planners,50010.0,56520.0,458.0,408.0,88.48195329087048,-6510.0,52.88683602771363
Construction managers,70910.0,67460.0,972.0,13096.0,105.11414171360806,3450.0,6.909297696900768
Construction supervisors,58330.0,60370.0,351.0,10637.0,96.62083816465132,-2040.0,3.1943938842373494
Contact centre information clerks,43510.0,43240.0,2281.0,1905.0,100.62442183163738,270.0,54.49116101290015
Contact centre salespersons,44780.0,45000.0,1065.0,1588.0,99.5111111111111,-220.0,40.14323407463249
Cooks,39520.0,38690.0,5266.0,9874.0,102.14525717239597,830.0,34.78203434610304
Credit and loans officers,54930.0,61900.0,7182.0,6416.0,88.73990306946689,-6970.0,52.816590675099285
Customs and border inspectors,48680.0,52600.0,450.0,559.0,92.54752851711027,-3920.0,44.5986124876115
Data entry clerks,51080.0,57200.0,250.0,260.0,89.3006993006993,-6120.0,49.01960784313725
Database and network professionals not elsewhere classified,67470.0,73700.0,318.0,1445.0,91.54681139755768,-6230.0,18.03743618831537
Database designers and administrators,63470.0,70830.0,140.0,314.0,89.60892277283637,-7360.0,30.837004405286343
Debt collectors and related clerks,43960.0,44170.0,797.0,435.0,99.52456418383518,-210.0,64.69155844155844
Dentists,66670.0,70830.0,1543.0,940.0,94.12678243682055,-4160.0,62.142569472412404
Dieticians and nutritionists,54980.0,62500.0,511.0,160.0,87.968,-7520.0,76.15499254843517
Dispensing opticians,50000.0,55050.0,623.0,387.0,90.82652134423252,-5050.0,61.68316831683168
Draughtspersons,56000.0,57510.0,637.0,1440.0,97.37436967483916,-1510.0,30.669234472797303
Driving instructors,50340.0,53580.0,369.0,1247.0,93.95296752519597,-3240.0,22.834158415841586
Early childhood teachers,48930.0,47430.0,25962.0,3283.0,103.16255534471854,1500.0,88.77414942725252
Earthmoving and related plant operators,42340.0,47200.0,551.0,17613.0,89.70338983050847,-4860.0,3.0334728033472804
Economics,63330.0,70000.0,505.0,598.0,90.47142857142858,-6670.0,45.784224841341796
