region,Total,Change in persons,Change in percent
Agder,162407,1776,1.1056396336946168
Akershus,341428,341428,inf
Buskerud,137153,137153,inf
Finnmark - Finnmárku - Finmarkku,41906,41906,inf
Innlandet,188075,793,0.4234256362063626
Møre og Romsdal,146897,2150,1.4853503008697935
Nordland,130579,650,0.5002732261465878
Oslo,576974,3190,0.555958339723659
Rogaland,293052,4897,1.6994325970397877
Telemark,85399,85399,inf
Troms - Romsa - Tromssa,98939,98939,inf
Trøndelag,266697,3266,1.2397933424691854
Vestfold,121798,121798,inf
Vestland,366467,3877,1.0692517719738548
Østfold,138820,138820,inf
