industry (SIC2007),Total,Change last month,Change last year,Change from feb.20,Change last 3 years,Change last 5 years
Accommodation and food service activities,128724,-178,284,8295,38047,14484
Administrative and support service activities,160230,1014,-8129,-2930,11572,1694
"Agriculture, forestry and fishing",38982,-1889,-224,2680,2460,3178
Construction,251446,-626,-1861,12337,13971,18018
Education,258729,-650,539,10487,7351,16643
"Electricity, water supply, sewerage, waste management",38031,165,1331,3888,3170,4794
Financial and insurance activities,53076,1053,2012,5533,4392,6578
Human health and social work activities,680330,-864,10551,40596,26345,51575
Information and communication,116900,320,372,16913,14522,22387
Manufacture,225849,707,2481,5064,9323,7970
Mining and quarrying,67485,203,2663,5257,5838,10609
Other service activities,129161,-137,1349,11004,17676,14285
"Public adm., defence, soc. security",191641,-747,-252,6162,3931,7899
"Real estate, professional, scientific and technical activities",194332,-733,3607,19238,23351,24097
Transportation and storage,142458,-1428,819,-1234,7672,-637
Wholesale and retail trade: repair of motor vehicles and motorcycles,384505,-919,-615,13722,12384,10357
