region,Total,Change,Change in percent
Alstahaug,4147,141,3.5197204193709433
Alta,12892,664,5.430160287863918
Alvdal,1422,103,7.808946171341925
Alver,12023,466,4.032188284156788
Andøy,2306,21,0.9190371991247264
Aremark,321,-25,-7.225433526011561
Arendal,23025,1249,5.735672299779574
Asker,41669,2622,6.7149845058519215
Askvoll,1129,21,1.895306859205776
Askøy,9614,498,5.462922334357175
Aukra,1442,118,8.91238670694864
Aure,1749,100,6.064281382656155
Aurland,1184,140,13.409961685823754
Aurskog-Høland,6000,277,4.8401188188013275
Austevoll,2985,-2,-0.06695681285570808
Austrheim,1251,96,8.311688311688311
Averøy,2253,128,6.023529411764706
Balsfjord,2506,168,7.18562874251497
Bamble,5749,537,10.303146584804297
Bardu,2150,33,1.5588096362777515
Beiarn,506,24,4.979253112033195
Bergen,188985,11969,6.761535680390473
Berlevåg,444,-16,-3.4782608695652173
Bindal,484,15,3.1982942430703627
Birkenes,1950,61,3.229221810481736
Bjerkreim,1276,28,2.2435897435897436
Bjørnafjorden,9511,448,4.943175548935231
Bodø,32849,1801,5.800695696985313
Bokn,319,-15,-4.491017964071856
Bremanger,1568,3,0.19169329073482427
Brønnøy,4086,134,3.3906882591093117
Bygland,502,30,6.3559322033898304
Bykle,774,75,10.72961373390558
Båtsfjord,1230,15,1.2345679012345678
Bærum,79797,3487,4.569519066963701
Bø (Nordland),1032,0,0.0
Bømlo,5155,128,2.546250248657251
Deatnu - Tana,1411,-2,-0.14154281670205238
Dovre,1338,62,4.858934169278997
Drammen,50596,2914,6.111320833857641
Drangedal,1289,-17,-1.3016845329249618
Dyrøy,382,20,5.524861878453039
Dønna,568,38,7.169811320754717
Eidfjord,498,62,14.220183486238533
Eidskog,2152,80,3.861003861003861
Eidsvoll,7729,363,4.9280477871300565
Eigersund,7521,481,6.832386363636364
Elverum,10990,518,4.946524064171124
Enebakk,3215,129,4.180168502916397
Engerdal,587,11,1.9097222222222223
Etne,1760,118,7.186358099878197
Etnedal,423,1,0.23696682464454977
Evenes - Evenássi,734,94,14.6875
Evje og Hornnes,2000,100,5.263157894736842
Farsund,4229,92,2.223833695914914
Fauske - Fuosko,4382,101,2.359261854706844
Fedje,205,0,0.0
Fitjar,1239,-15,-1.1961722488038278
Fjaler,1394,63,4.7332832456799405
Fjord,1398,32,2.342606149341142
Flakstad,602,20,3.436426116838488
Flatanger,657,1,0.1524390243902439
Flekkefjord,4560,131,2.957778279521337
Flesberg,831,5,0.6053268765133172
Flå,673,40,6.31911532385466
Folldal,553,-6,-1.073345259391771
Fredrikstad,37673,2219,6.2588142381677665
Frogn,5008,347,7.444754344561252
Froland,2225,116,5.500237079184448
Frosta,1043,-18,-1.6965127238454287
Frøya,3571,161,4.7214076246334304
Fyresdal,513,1,0.1953125
Færder,8032,311,4.027975650822432
Gamvik,505,34,7.218683651804671
Gausdal,2314,60,2.6619343389529724
Gildeskål,959,42,4.580152671755725
Giske,2909,263,9.939531368102797
Gjemnes,881,-13,-1.45413870246085
Gjerdrum,1909,191,11.117578579743888
Gjerstad,1136,187,19.704952581664912
Gjesdal,4351,69,1.6113965436711817
Gjøvik,18748,837,4.673105912567696
Gloppen,3018,390,14.840182648401825
Gol,3296,363,12.376406409819298
Gran,6381,395,6.598730370865352
Grane,580,11,1.9332161687170473
Gratangen,546,42,8.333333333333332
Grimstad,10486,284,2.7837678886492845
Grong,1347,93,7.4162679425837315
Grue,1877,107,6.045197740112995
Gulen,1411,124,9.634809634809635
Guovdageaidnu - Kautokeino,1223,76,6.6259808195292065
Gáivuotna - Kåfjord - Kaivuono,834,85,11.348464619492656
Hadsel,4043,136,3.4809316611210646
Halden,14434,561,4.043826137100844
Hamar,22621,820,3.7612953534241553
Hamarøy,1444,97,7.201187824795843
Hammerfest,7323,583,8.64985163204748
Hareid,1887,59,3.2275711159737415
Harstad,13774,685,5.233402093360837
Hasvik,433,-8,-1.8140589569160999
Hattfjelldal,589,7,1.202749140893471
Haugesund,24480,1702,7.472122223197822
Heim,3030,-30,-0.9803921568627451
Hemnes,1718,44,2.6284348864994027
Hemsedal,1763,419,31.175595238095237
Herøy (Møre og Romsdal),4548,95,2.133393218055244
Herøy (Nordland),957,36,3.908794788273615
Hitra,2885,52,1.8355100600070597
Hjartdal,723,8,1.118881118881119
Hjelmeland,1359,68,5.267234701781565
Hol,2699,401,17.449956483899044
Hole,2708,251,10.215710215710216
Holmestrand,8772,647,7.9630769230769225
Holtålen,661,19,2.959501557632399
Horten,12372,780,6.728778467908903
Hurdal,1049,139,15.274725274725276
Hustadvika,5067,276,5.760801502817784
Hvaler,1404,98,7.503828483920367
Hyllestad,630,-186,-22.794117647058822
Hå,9205,385,4.365079365079365
Hægebostad,821,23,2.882205513784461
Høyanger,1868,85,4.767246214245653
Høylandet,494,-40,-7.490636704119851
Ibestad,537,-31,-5.457746478873239
Inderøy,2456,61,2.546972860125261
Indre Fosen,4426,-52,-1.1612326931665922
Indre Østfold,17185,869,5.32606030889924
Iveland,409,-22,-5.104408352668213
Jevnaker,2329,103,4.627133872416891
Karlsøy,1072,27,2.583732057416268
Karmøy,17093,476,2.8645363182283203
Kinn,9759,595,6.492797904845046
Klepp,10108,348,3.5655737704918034
Kongsberg,17080,740,4.528763769889841
Kongsvinger,9431,396,4.38295517432208
Kragerø,4663,281,6.412596987676859
Kristiansand,67519,4714,7.5057718334527515
Kristiansund,12111,441,3.7789203084832903
Krødsherad,1290,178,16.007194244604317
