,industry (SIC2007),preliminary and final figures,contents,month,value
0,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2019M06,2921276.0
1,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2019M07,2929263.0
2,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2019M08,2935363.0
3,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2019M09,2933712.0
4,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2019M10,2940470.0
5,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2019M11,2937029.0
6,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2019M12,2943567.0
7,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2020M01,2939862.0
8,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2020M02,2949606.0
9,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2020M03,2938425.0
10,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2020M04,2842949.0
11,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2020M05,2796798.0
12,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2020M06,2764734.0
13,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2020M07,2786537.0
14,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2020M08,2829668.0
15,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2020M09,2845045.0
16,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2020M10,2865504.0
17,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2020M11,2885467.0
18,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2020M12,2894590.0
19,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2021M01,2879638.0
20,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2021M02,2860795.0
21,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2021M03,2861506.0
22,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2021M04,2850877.0
23,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2021M05,2858539.0
24,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2021M06,2887097.0
25,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2021M07,2935068.0
26,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2021M08,2958233.0
27,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2021M09,2980948.0
28,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2021M10,2998171.0
29,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2021M11,3011122.0
30,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2021M12,3016611.0
31,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2022M01,3014394.0
32,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2022M02,3014535.0
33,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2022M03,3034892.0
34,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2022M04,3045776.0
35,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2022M05,3055034.0
36,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2022M06,3059935.0
37,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2022M07,3063826.0
38,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2022M08,3074157.0
39,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2022M09,3091065.0
40,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2022M10,3088457.0
41,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2022M11,3090363.0
42,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2022M12,3095752.0
43,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2023M01,3097495.0
44,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2023M02,3102507.0
45,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2023M03,3105938.0
46,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2023M04,3101671.0
47,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2023M05,3103522.0
48,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2023M06,3111886.0
49,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2023M07,3114314.0
50,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2023M08,3104885.0
51,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2023M09,3103886.0
52,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2023M10,3114108.0
53,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2023M11,3121354.0
54,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2023M12,3118842.0
55,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2024M01,3135325.0
56,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2024M02,3128050.0
57,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2024M03,3131464.0
58,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2024M04,3133917.0
59,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2024M05,3131528.0
