industry,Hours worked,Value added,Value added per hour worked
Accommodation and food service activities,107.9,29357,272.07599629286375
Administrative and support service activities,180.5,80700,447.09141274238226
Agriculture and forestry,82.4,20023,242.99757281553397
Construction,383.2,196945,513.9483298538622
"Electricity, gas and steam",27.4,55200,2014.5985401459855
Financial and insurance activities,77.9,165485,2124.326059050064
Fishing and aquaculture,35.4,30082,849.7740112994351
Information and communcation,166.5,145379,873.1471471471472
Mainland Norway,3956.2,2469782,624.2813811233002
Manufacturing,341.6,213639,625.4069086651053
Mining and quarrying,7.3,4018,550.4109589041096
Oil and gas extraction including services,92.6,577941,6241.263498920087
"Professional, scientific and and technical activities",230.5,152159,660.1258134490239
Real estate activities,45.9,84200,1834.4226579520698
Total industry,4030.4,3017345,748.6465363239381
Transport activities excl. ocean transport,172.2,55518,322.404181184669
"Wholesale and retail trade, repair of motor vehicles",450.1,266856,592.8815818706954
