national confederation,Sist_aar_m,Endring_m,Endring_m_pst,Sist_aar_y,Endring_y,Endring_y_pst
-  Cabin Crew Union Norway,637.0,-6.0,-0.9331259720062209,572.0,-16.0,-2.7210884353741496
-  Creo,10515.0,210.0,2.037845705967977,8252.0,194.0,2.4075452965996527
-  Electrician and IT Workers Union,42840.0,563.0,1.3316933557253352,30866.0,704.0,2.3340627279358133
-  Norwegian Maritime Officers' Association,7905.0,450.0,6.036217303822937,5542.0,238.0,4.487179487179487
-  Norwegian Seafarers' Union,12044.0,479.0,4.141807176826632,8504.0,352.0,4.317958783120707
-  Norwegian Union of Employees in Commerce and Offices,79700.0,1362.0,1.7386198269039292,56023.0,1330.0,2.431755434881978
-  Norwegian Union of General Workers,36868.0,1328.0,3.7366347777152504,28918.0,1148.0,4.133957508102268
-  Norwegian Union of Government Employees,55951.0,1924.0,3.5611823717770745,33161.0,994.0,3.090123418410172
-  Norwegian Union of Industry and Energy Workers,,,,,,
-  Norwegian Union of Military Officers and Specialists,9773.0,711.0,7.845950121386007,6691.0,358.0,5.65292910153166
-  Norwegian Union of Municipal and General Employees,407044.0,13.0,0.003193859927130857,234337.0,-2141.0,-0.9053696326931047
-  Norwegian Union of School Employees,7461.0,-40.0,-0.5332622317024397,4512.0,-236.0,-4.970513900589722
-  Norwegian Union of Sosial Educators and Sosial Workers,35682.0,1663.0,4.888444692671742,25954.0,384.0,1.5017598748533438
-  The Norwegian Engineers and Managers Association,,,,,,
-  The Norwegian Food and Allied Workers Union,28596.0,347.0,1.2283620659138377,17416.0,273.0,1.5924867292772562
-  The United Federation of Trade Unions,169605.0,5039.0,3.0619933643644495,115177.0,4408.0,3.979452734970976
"The Norwegian Federation of Trade Unions, total",1007451.0,14688.0,1.479507193559792,645319.0,8864.0,1.3927143317280877
