national confederation,Sist_aar_m,Endring_m,Endring_m_pst,Sist_aar_y,Endring_y,Endring_y_pst
-  Finance Sector Union - Norway,32095,544,1.7241925770973978,22886,-630,-2.679027045415887
-  Negotia,21317,-307,-1.4197188309285977,17270,-638,-3.562653562653563
-  Norwegian Public Sector Trade Union,91453,1740,1.939518241503461,48311,-551,-1.12766567066432
-  Parat,40148,-1009,-2.45158782224166,30522,86,0.28256012616638193
-  SAFE,10289,42,0.40987606128623005,8347,-723,-7.971334068357222
-  The Association of School Leaders,4191,15,0.35919540229885055,3233,-2,-0.061823802163833076
-  The Military Officers' Association,10827,292,2.7717133364973896,6450,246,3.9651837524177944
-  Union of Civil Servants,1901,-26,-1.3492475350285418,1546,-26,-1.653944020356234
-  Yrkestrafikkforbundet,12470,258,2.112676056338028,9239,63,0.6865736704446382
"Confederation of Vocational Unions, total",230348,1524,0.6660140544698109,152087,-249,-0.16345446906837516
