national confederation,Sist_aar_m,Endring_m,Endring_m_pst,Sist_aar_y,Endring_y,Endring_y_pst
-  Association of Folk High Schools,702.0,120.0,20.618556701030926,559.0,27.0,5.075187969924812
-  Junit,418.0,-30.0,-6.696428571428571,418.0,8.0,1.951219512195122
-  Norwegian Actors' Equity Association,1633.0,63.0,4.012738853503184,1329.0,37.0,2.863777089783282
-  Norwegian Air Traffic Controllers Association,880.0,298.0,51.20274914089347,557.0,-25.0,-4.29553264604811
-  Norwegian Association of Aircraft Technicians,125.0,-10.0,-7.4074074074074066,125.0,-10.0,-7.4074074074074066
-  Norwegian Association of Christian Folk High Schools,566.0,20.0,3.6630036630036633,477.0,27.0,6.0
-  Norwegian Association of Helicopter Employees,657.0,-7.0,-1.0542168674698795,640.0,4.0,0.628930817610063
-  Norwegian Association of Performing Dancers,806.0,-75.0,-8.51305334846765,705.0,-37.0,-4.986522911051213
-  Norwegian Association of Stage Instructors,207.0,6.0,2.9850746268656714,166.0,1.0,0.6060606060606061
-  Norwegian Association of Supervisors & Managers,16486.0,-1303.0,-7.32475125077295,13253.0,237.0,1.8208358942839582
-  Norwegian Midwives Association,,,,,,
-  Norwegian Society of Engineers,96067.0,2750.0,2.94694428667874,68800.0,2045.0,3.0634409407535017
-  Norwegian Union of Journalists,8004.0,125.0,1.5864957481913948,6180.0,147.0,2.4365987071108903
-  The Norwegian Association of Pharmacists,4678.0,135.0,2.9716046665199207,3851.0,172.0,4.675183473770046
-  The Norwegian Film Makers Association,1440.0,190.0,15.2,1355.0,215.0,18.859649122807017
"Other associations of wage earners, total",132669.0,2282.0,1.7501744805847208,98415.0,2848.0,2.9801081963439264
