employers' associations,Sist_aar_m,Endring_m,Endring_m_pst,Sist_aar_y,Endring_y,Endring_y_pst
Association of Local Authorities,366,-1,-0.2724795640326975,489188.0,10424.0,2.1772731450150804
Coastal Shipowners,421,27,6.852791878172589,3200.0,0.0,0.0
"Confederation of Norwegian Business and Industry, total",29456,484,1.6705784895761424,668151.0,6883.0,1.0408790384533957
Finance Norway,309,52,20.233463035019454,37211.0,164.0,0.44268091883283395
National Federation for Companies providing individually adopted training and jobs ASVL,199,-1,-0.5,8313.0,-223.0,-2.612464854732896
Norwegian Association for Church Employers,430,-20,-4.444444444444445,7800.0,100.0,1.2987012987012987
Norwegian Association of Heavy Equipment Contractors,2344,141,6.400363141171131,33702.0,-4864.0,-12.612145413058135
Private Child Care Institutions Union,2089,-48,-2.2461394478240524,35559.0,-596.0,-1.6484580279352785
Samfunnsbedriftene,593,20,3.4904013961605584,16265.0,41.0,0.2527120315581854
The Employers' Association Spekter,262,14,5.64516129032258,238000.0,17500.0,7.936507936507936
The Enterprise Federation of Norway,24685,676,2.8156108126119372,303396.0,524.0,0.17301038062283738
The Norwegian Fishing Vessel Owners' Association,206,0,0.0,,,
The Norwegian Hauliers Association,2540,-101,-3.824308973873533,20330.0,6842.0,50.72657176749703
The Norwegian Ship-owners' Association,125,-3,-2.34375,18229.0,,
Union of Norwegian Taxi-owners,3032,-168,-5.25,,,
