industry (SIC2007),contents,quarter,value
All industries,"Job vacancies, seasonally adjusted",2018K3,72500
All industries,"Job vacancies, seasonally adjusted",2018K4,64800
All industries,"Job vacancies, seasonally adjusted",2019K1,73000
All industries,"Job vacancies, seasonally adjusted",2019K2,76500
All industries,"Job vacancies, seasonally adjusted",2019K3,70000
All industries,"Job vacancies, seasonally adjusted",2019K4,69500
All industries,"Job vacancies, seasonally adjusted",2020K1,69200
All industries,"Job vacancies, seasonally adjusted",2020K2,54200
All industries,"Job vacancies, seasonally adjusted",2020K3,63900
All industries,"Job vacancies, seasonally adjusted",2020K4,64200
All industries,"Job vacancies, seasonally adjusted",2021K1,72300
All industries,"Job vacancies, seasonally adjusted",2021K2,93500
All industries,"Job vacancies, seasonally adjusted",2021K3,98500
All industries,"Job vacancies, seasonally adjusted",2021K4,93300
All industries,"Job vacancies, seasonally adjusted",2022K1,101400
All industries,"Job vacancies, seasonally adjusted",2022K2,108400
All industries,"Job vacancies, seasonally adjusted",2022K3,102600
All industries,"Job vacancies, seasonally adjusted",2022K4,116500
All industries,"Job vacancies, seasonally adjusted",2023K1,131100
All industries,"Job vacancies, seasonally adjusted",2023K2,118000
All industries,"Job vacancies, seasonally adjusted",2023K3,117500
