industry (SIC2007),"Job vacancies, seasonally adjusted","Job vacancy rate, seasonally adjusted"
Accomommodation and food service activities,4300.0,3.2
Administrative and support service activities,8100.0,4.8
"Agriculture, forestry and fishing",800.0,2.0
"Arts, entertainment and recreation",2100.0,3.1
Construction,6600.0,2.5
"Domestic trade, car repair shop",11200.0,2.8
Education,5900.0,2.2
Financial and insurance activities,1300.0,2.4
Human health activities,9300.0,3.3
Information and communication,4200.0,3.4
Manufacture,5300.0,2.4
Mining and quarrying,1700.0,2.5
Personal service activities,1600.0,2.9
"Power and water supply, sewerage/remediation activities",1200.0,2.9
"Professional, scientific and technical activities",5100.0,3.0
Public administration and defence,5700.0,2.8
Real estate activities,700.0,2.3
Residential care activities,12700.0,6.0
Social work activities without accommodation,8400.0,3.7
Transportation and storage,3700.0,2.4
