industry (SIC2007),Last quarter,Change last quarter,Change last year,Change last 3 years
Accomommodation and food service activities,7000,0,-1800,6000
Administrative and support service activities,7100,-3800,-4900,2400
"Agriculture, forestry and fishing",1900,300,1100,1500
"Arts, entertainment and recreation",1600,0,300,300
Construction,7000,-2400,200,2700
"Domestic trade, car repair shop",12700,-1600,-3400,6100
Education,7300,400,1400,2500
Financial and insurance activities,1200,-300,-300,400
Human health activities,8900,1400,-1400,2900
Information and communication,5300,100,-800,400
Manufacture,5300,-200,0,2500
Mining and quarrying,1700,-100,0,1100
Personal service activities,2000,-300,-1700,800
"Power and water supply, sewerage/remediation activities",1000,-200,-100,400
"Professional, scientific and technical activities",6200,-3000,-1000,1700
Public administration and defence,4800,-500,-600,-200
Real estate activities,1100,200,-200,400
Residential care activities,11800,-1000,1100,4000
Social work activities without accommodation,6800,-800,-800,2700
Transportation and storage,4900,700,1000,2700
